Title,Published At,Duration,View Count,Like Count,Dislike Count,Channel Title,Channel ID,Description,Tags,Category ID,Comment Count,Favorite Count
One of the Most Controversial Vaccines,2024-02-23T20:00:00Z,PT28S,10377,1307,N/A,Candace Owens,UCL0u5uz7KZ9q-pe-VC8TY-w,,,27,94,0
Pediatrician Breaks Up With Mother Who Wouldn't Vax Second Child,2024-02-21T20:00:00Z,PT1M,7393,833,N/A,Candace Owens,UCL0u5uz7KZ9q-pe-VC8TY-w,,,27,66,0
Measles is a potential adverse reaction to the MMR Vaccine?!,2024-02-19T20:00:02Z,PT50S,15084,1521,N/A,Candace Owens,UCL0u5uz7KZ9q-pe-VC8TY-w,,,27,92,0
"It's Not Safe for Young People, so Give It to Old People!",2024-02-17T20:00:02Z,PT1M,11995,871,N/A,Candace Owens,UCL0u5uz7KZ9q-pe-VC8TY-w,,,27,18,0
We All Want to Be the Generation to End Something | @turningpointusa,2024-02-15T20:00:03Z,PT41S,7000,542,N/A,Candace Owens,UCL0u5uz7KZ9q-pe-VC8TY-w,,,27,6,0
Japan BANNED the MMR Vaccine,2024-02-13T20:00:17Z,PT41S,23006,2793,N/A,Candace Owens,UCL0u5uz7KZ9q-pe-VC8TY-w,,,27,94,0
I Believe This Is What Happened to My Grandfather,2024-02-11T20:00:03Z,PT58S,10248,1288,N/A,Candace Owens,UCL0u5uz7KZ9q-pe-VC8TY-w,,,27,92,0
To Defend Men Means to Defend Women | @turningpointusa,2024-02-09T20:00:07Z,PT47S,10363,1080,N/A,Candace Owens,UCL0u5uz7KZ9q-pe-VC8TY-w,,,27,28,0
Human Beings Are Not One-Size-Fits-All,2024-02-07T20:00:01Z,PT59S,12003,1503,N/A,Candace Owens,UCL0u5uz7KZ9q-pe-VC8TY-w,,,27,32,0
Guillain Barré Syndrome Is on the Warning Label of Every Flu Shot,2024-02-05T20:00:18Z,PT1M,15425,1528,N/A,Candace Owens,UCL0u5uz7KZ9q-pe-VC8TY-w,,,27,113,0
The Classroom Environment Has Changed Dramatically | @turningpointusa,2024-02-03T20:00:05Z,PT55S,11170,989,N/A,Candace Owens,UCL0u5uz7KZ9q-pe-VC8TY-w,,,27,33,0
"You Have to Tell Your Children ""No""",2024-02-01T20:00:15Z,PT54S,12160,1008,N/A,Candace Owens,UCL0u5uz7KZ9q-pe-VC8TY-w,,,27,29,0
How Many People Died from Measles and Mumps Pre-Vaccine?,2024-01-30T20:00:16Z,PT1M,14237,1334,N/A,Candace Owens,UCL0u5uz7KZ9q-pe-VC8TY-w,,,27,75,0
What Is Guillain Barré Syndrome?,2024-01-28T20:00:12Z,PT56S,35137,1748,N/A,Candace Owens,UCL0u5uz7KZ9q-pe-VC8TY-w,,,27,89,0
I Believe the Climate Changes! | @turningpointusa,2024-01-24T23:00:24Z,PT1M,573580,50124,N/A,Candace Owens,UCL0u5uz7KZ9q-pe-VC8TY-w,,,27,2141,0
You CAN Separate Politics from Culture,2024-01-17T20:00:08Z,PT48S,17130,1055,N/A,Candace Owens,UCL0u5uz7KZ9q-pe-VC8TY-w,,,27,14,0
Google Censors Information About Vaccines,2024-01-10T20:00:10Z,PT1M,15780,1416,N/A,Candace Owens,UCL0u5uz7KZ9q-pe-VC8TY-w,,,27,64,0
Feminism Is Really Not About Equality | @turningpointusa,2024-01-03T20:00:07Z,PT58S,18735,1599,N/A,Candace Owens,UCL0u5uz7KZ9q-pe-VC8TY-w,,,27,32,0
What's With Self-Hating White People?,2023-12-27T20:00:28Z,PT58S,41742,2514,N/A,Candace Owens,UCL0u5uz7KZ9q-pe-VC8TY-w,,,27,179,0
Common Adverse Reactions to the Flu Shot,2023-12-13T20:00:19Z,PT56S,32193,2056,N/A,Candace Owens,UCL0u5uz7KZ9q-pe-VC8TY-w,,,27,143,0
