Title,Published At,Duration,View Count,Like Count,Dislike Count,Channel Title,Channel ID,Description,Tags,Category ID,Comment Count,Favorite Count
Nikki Haley’s TRUE Intentions EXPOSED — Why She Refuses to Drop Out,2024-02-27T00:57:37Z,PT13M1S,69718,4619,N/A,Charlie Kirk,UCfaIu2jO-fppCQV_lchCRIQ,"For daily episodes, insight, and analysis like this, SUBSCRIBE to The Charlie Kirk Show TODAY: https://apple.co/2VCxGsh

And for EVEN MORE—tune in to The Charlie Kirk Show LIVE on Salem Radio Network affiliates across the country, 5 days a week from 12—3PM ET

For members-only content, exclusive interviews, my column, supporter zoom calls, and MORE, become a member at members.charliekirk.com today!

🇺🇸

#CharlieKirk #TPUSA #News #Politics #Debate #College #Liberal #Conservative",charlie kirk,25,734,0
🦗🦗🦗,2024-02-26T19:29:19Z,PT17S,102470,8253,N/A,Charlie Kirk,UCfaIu2jO-fppCQV_lchCRIQ,"For daily episodes, insight, and analysis like this, SUBSCRIBE to The Charlie Kirk Show TODAY: https://apple.co/2VCxGsh

And for EVEN MORE—tune in to The Charlie Kirk Show LIVE on Salem Radio Network affiliates across the country, 5 days a week from 12—3PM ET

For members-only content, exclusive interviews, my column, supporter zoom calls, and MORE, become a member at members.charliekirk.com today!

🇺🇸

#CharlieKirk #TPUSA #News #Politics #Debate #College #Liberal #Conservative",charlie kirk,25,503,0
Marxist Student Gets Lesson on Simple Economics,2024-02-25T19:15:01Z,PT58S,197178,17731,N/A,Charlie Kirk,UCfaIu2jO-fppCQV_lchCRIQ,"For daily episodes, insight, and analysis like this, SUBSCRIBE to The Charlie Kirk Show TODAY: https://apple.co/2VCxGsh

And for EVEN MORE—tune in to The Charlie Kirk Show LIVE on Salem Radio Network affiliates across the country, 5 days a week from 12—3PM ET

For members-only content, exclusive interviews, my column, supporter zoom calls, and MORE, become a member at members.charliekirk.com today!

🇺🇸

#CharlieKirk #TPUSA #News #Politics #Debate #College #Liberal #Conservative",charlie kirk,25,747,0
"Teacher Unions are a Legalized Cartel, Prove me Wrong",2024-02-25T17:45:00Z,PT57S,138390,11898,N/A,Charlie Kirk,UCfaIu2jO-fppCQV_lchCRIQ,"For daily episodes, insight, and analysis like this, SUBSCRIBE to The Charlie Kirk Show TODAY: https://apple.co/2VCxGsh

And for EVEN MORE—tune in to The Charlie Kirk Show LIVE on Salem Radio Network affiliates across the country, 5 days a week from 12—3PM ET

For members-only content, exclusive interviews, my column, supporter zoom calls, and MORE, become a member at members.charliekirk.com today!

🇺🇸

#CharlieKirk #TPUSA #News #Politics #Debate #College #Liberal #Conservative",charlie kirk,25,357,0
"Work Hard, Live Free, & Get Rich",2024-02-25T16:25:53Z,PT37S,223647,15679,N/A,Charlie Kirk,UCfaIu2jO-fppCQV_lchCRIQ,"For daily episodes, insight, and analysis like this, SUBSCRIBE to The Charlie Kirk Show TODAY: https://apple.co/2VCxGsh

And for EVEN MORE—tune in to The Charlie Kirk Show LIVE on Salem Radio Network affiliates across the country, 5 days a week from 12—3PM ET

For members-only content, exclusive interviews, my column, supporter zoom calls, and MORE, become a member at members.charliekirk.com today!

🇺🇸

#CharlieKirk #TPUSA #News #Politics #Debate #College #Liberal #Conservative",charlie kirk,25,307,0
"Start a Business, Ditch College",2024-02-24T20:07:58Z,PT51S,250932,17302,N/A,Charlie Kirk,UCfaIu2jO-fppCQV_lchCRIQ,"For daily episodes, insight, and analysis like this, SUBSCRIBE to The Charlie Kirk Show TODAY: https://apple.co/2VCxGsh

And for EVEN MORE—tune in to The Charlie Kirk Show LIVE on Salem Radio Network affiliates across the country, 5 days a week from 12—3PM ET

For members-only content, exclusive interviews, my column, supporter zoom calls, and MORE, become a member at members.charliekirk.com today!

🇺🇸

#CharlieKirk #TPUSA #News #Politics #Debate #College #Liberal #Conservative",charlie kirk,25,426,0
Childish Lib Student Can't Stand Simple Facts,2024-02-24T19:58:53Z,PT9M6S,495519,15672,N/A,Charlie Kirk,UCfaIu2jO-fppCQV_lchCRIQ,"For daily episodes, insight, and analysis like this, SUBSCRIBE to The Charlie Kirk Show TODAY: https://apple.co/2VCxGsh

And for EVEN MORE—tune in to The Charlie Kirk Show LIVE on Salem Radio Network affiliates across the country, 5 days a week from 12—3PM ET

For members-only content, exclusive interviews, my column, supporter zoom calls, and MORE, become a member at members.charliekirk.com today!

🇺🇸

#CharlieKirk #TPUSA #News #Politics #Debate #College #Liberal #Conservative",charlie kirk,25,3756,0
AI is a Clear and Present Danger,2024-02-24T00:30:39Z,PT54S,27580,3169,N/A,Charlie Kirk,UCfaIu2jO-fppCQV_lchCRIQ,"For daily episodes, insight, and analysis like this, SUBSCRIBE to The Charlie Kirk Show TODAY: https://apple.co/2VCxGsh

And for EVEN MORE—tune in to The Charlie Kirk Show LIVE on Salem Radio Network affiliates across the country, 5 days a week from 12—3PM ET

For members-only content, exclusive interviews, my column, supporter zoom calls, and MORE, become a member at members.charliekirk.com today!

🇺🇸

#CharlieKirk #TPUSA #News #Politics #Debate #College #Liberal #Conservative #ai #artificialintelligence #google #gemini","charlie kirk,artificialintelligence,ai,google,gemini",25,210,0
Ai Goes WOKE: The Dirty Secret Behind the Campaign to Twist the Minds of the Next Generation,2024-02-24T00:30:12Z,PT8M19S,18088,1561,N/A,Charlie Kirk,UCfaIu2jO-fppCQV_lchCRIQ,"For daily episodes, insight, and analysis like this, SUBSCRIBE to The Charlie Kirk Show TODAY: https://apple.co/2VCxGsh

And for EVEN MORE—tune in to The Charlie Kirk Show LIVE on Salem Radio Network affiliates across the country, 5 days a week from 12—3PM ET

For members-only content, exclusive interviews, my column, supporter zoom calls, and MORE, become a member at members.charliekirk.com today!

🇺🇸

#CharlieKirk #TPUSA #News #Politics #Debate #College #Liberal #Conservative #ai #artificialintelligence #google #gemini","charlie kirk,ai,artificial intelligence,google,gemini",25,267,0
"Education is Broken, College is a Scam",2024-02-23T21:46:15Z,PT57S,485675,38376,N/A,Charlie Kirk,UCfaIu2jO-fppCQV_lchCRIQ,"For daily episodes, insight, and analysis like this, SUBSCRIBE to The Charlie Kirk Show TODAY: https://apple.co/2VCxGsh

And for EVEN MORE—tune in to The Charlie Kirk Show LIVE on Salem Radio Network affiliates across the country, 5 days a week from 12—3PM ET

For members-only content, exclusive interviews, my column, supporter zoom calls, and MORE, become a member at members.charliekirk.com today!

🇺🇸

#CharlieKirk #TPUSA #News #Politics #Debate #College #Liberal #Conservative #scam #learning #education",charlie kirk,25,1129,0
"Can You Prove it, Lib?",2024-02-22T23:16:14Z,PT44S,643533,37434,N/A,Charlie Kirk,UCfaIu2jO-fppCQV_lchCRIQ,"For daily episodes, insight, and analysis like this, SUBSCRIBE to The Charlie Kirk Show TODAY: https://apple.co/2VCxGsh

And for EVEN MORE—tune in to The Charlie Kirk Show LIVE on Salem Radio Network affiliates across the country, 5 days a week from 12—3PM ET

For members-only content, exclusive interviews, my column, supporter zoom calls, and MORE, become a member at members.charliekirk.com today!

🇺🇸

#CharlieKirk #TPUSA #News #Politics #Debate #College #Liberal #Conservative",charlie kirk,25,1942,0
