Title,Published At,Duration,View Count,Like Count,Dislike Count,Channel Title,Channel ID,Description,Tags,Category ID,Comment Count,Favorite Count
5 Missed Ways Putin Hinted at How America ACTUALLY Works,2024-02-15T19:57:50Z,PT51M31S,46161,4409,N/A,John Doyle,UCzZpgppwC_XQMe8lFiI77-Q,"Go to https://www.itargetpro.com/ and use Offer Code: DOYLE20 for 20% off + Free Shipping! 

Following Tucker Carlson's interview with Russian President Vladimir Putin last week in Moscow, many were quick to dismiss the contents of the discussion entirely so that they may continue to follow mainstream media narratives. Others were too distracted by Putin's hour-long history lesson to understand the implications of the things that he was saying. So what was he saying? And to whom was he saying it? 

The Unpopular but Correct Take on Ukraine, Russia, & American Decline: https://youtu.be/m6ocOL_rFt4?si=-XxNSpArXtRAoWlR

#tuckercarlson #interview #politics 

Please subscribe to my channel! Like this video and share it with your friends!

SUPPORT THE CHANNEL: https://heckoffcommie.com/membership/

GET MERCHANDISE: https://heckoffcommie.com/

ACCESS THE PRIVATE DISCORD SERVER: https://heckoffcommie.com/membership/

Follow me on Twitter: https://twitter.com/comradedoyie
Like my page on Facebook: https://facebook.com/comradedoyle
Follow me on Instagram: https://instagram.com/johndoyle.jpg

Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use. No copyright infringement intended.","John doyle,heck off commie,tucker putin,tucker Putin interview,fox news,Michael knowles,tucker Putin interview highlights,trump Putin interview,Michael knowles show,the daily wire,timcast irl,John doyle debate,tucker Carlson,tucker Carlson interview",24,836,0
Why Conservatives Can't Make Culture,2024-01-12T21:43:06Z,PT53M17S,84694,6482,N/A,John Doyle,UCzZpgppwC_XQMe8lFiI77-Q,"American Conservatives have long fought a CULTURE WAR against their ideological opponents, with some of these attempts and efforts being channeled into simply making ""their own culture,"" which would hopefully compete successfully with the predominant one, or at least provide themselves with an alternative that is not incessantly ""Woke."" Simultaneously, they suppose that they can channel their efforts into boycotting companies which GO WOKE, so that they will abandon these progressive crusades in the future. Can this be achieved? Can Conservatives actually MAKE CULTURE? Do they even know what it is?? Does boycotting actually work??? SO MANY QUESTIONS. THE ONLY WAY FORWARD IS TO CONSUME THIS VIDEO CONTENT. 🇺🇸🇺🇸🇺🇸

#culturewar #culture  #politics 

Please subscribe to my channel! Like this video and share it with your friends!

SUPPORT THE CHANNEL: https://heckoffcommie.com/membership/

GET MERCHANDISE: https://heckoffcommie.com/

ACCESS THE PRIVATE DISCORD SERVER: https://heckoffcommie.com/membership/

Follow me on Twitter:  https://twitter.com/ComradeDoyIe
Like my page on Facebook:  https://facebook.com/ComradeDoyle
Follow me on Instagram:  https://instagram.com/johndoyle.jpg

Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use. No copyright infringement intended.","making culture,conservative culture,right wing culture,culture war,woke capitalism,woke corporations,DEI corporations,DEI,culture war speech,woke hollywood,parallel economy,Michael knowles show,matt walsh show,win culture war",25,1761,0
How We Got to Men Buying Babies Together,2023-12-23T23:14:38Z,PT1H8M54S,93607,8741,N/A,John Doyle,UCzZpgppwC_XQMe8lFiI77-Q,"Go to https://www.itargetpro.com/ and use Offer Code: DOYLE20 for 20% off + Free Shipping! 

Go to https://Undertac.com/ and use Offer Code: DOYLE20 for 20% off your order!

Muscular Christianity: https://bit.ly/4aJqfU6 

#politics #surrogacy #family 

🔍🏳️‍🌈 It is time. We're breaking down the Left's latest obsession with surrogacy, featuring none other than the recent Shane Dawson story, in this eye-opening video. Join us as we dissect the trend of gay couples opting for surrogacy as opposed to the previous goal of just adoption, and the surprising twist of even nominally conservative figures jumping on the bandwagon to vocalize their support -- or participation! (Uh oh!) 

In this CRUCIAL deep dive, we're not just sharing the facts, we are QUESTIONING the motives and unveiling the hidden agenda behind this growing trend. We navigate the curious phenomenon of conservative media personalities embracing surrogacy. We'll explore how and why we are incapable of pushing back against these agendas, and why so many on our side audiences are buying into it! A LOT going on here! 

👊👶 Are surrogacy decisions actually genuine expressions of love and family-building, or is there a larger narrative at play? Get ready for the unpopular but correct take on the reasons behind this surrogacy surge and the potential consequences for our cultural landscape.

🔊 Ready for EPIC truth bombs? Hit play now and join the conversation. Don't forget to subscribe, share, and leave a comment! I know you're reading this. Don't ignore me. 

🎤💥 #SurrogacyAgenda #Feminism #ShaneDawson #TruthMatters
#Surrogacy #entertainment 

Please subscribe to my channel! Like this video and share it with your friends!

SUPPORT THE CHANNEL: https://heckoffcommie.com/membership/

GET MERCHANDISE: https://heckoffcommie.com/

ACCESS THE PRIVATE DISCORD SERVER: https://heckoffcommie.com/membership/

Follow me on Twitter: https://twitter.com/ComradeDoyIe
Like my page on Facebook: https://facebook.com/ComradeDoyle
Follow me on Instagram: https://www.instagram.com/johndoyle.jpg/

Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use. No copyright infringement intended.",,25,1974,0
Top 5 IMPLICITLY Right-Wing Halloween Movies,2023-11-02T08:45:39Z,PT1H9M51S,80831,6986,N/A,John Doyle,UCzZpgppwC_XQMe8lFiI77-Q,"Go to https://undertac.com/ and use Offer Code: DOYLE20 for 20% off your order!

The horror genre has always been one of the most politicized forms of media, and so for the sake of Halloween and The World, we must consider a list of 5 Implicitly Right-Wing Halloween films for the mirth, merriment, and otherwise general enjoyment of the American People. 

UNIVERSITY OF SOUTH CAROLINA DEBATE INFORMATION: https://uncensoredamerica.us/doyle-vs-wu-usc/

#Halloween #Movies #Politics

Please subscribe to my channel! Like this video and share it with your friends!

SUPPORT THE CHANNEL: https://heckoffcommie.com/membership/

GET MERCHANDISE: https://heckoffcommie.com/

ACCESS THE PRIVATE DISCORD SERVER: https://heckoffcommie.com/membership/

Follow me on Twitter:  https://twitter.com/ComradeDoyIe
Like my page on Facebook:  https://facebook.com/ComradeDoyle
Follow me on Instagram: https://instagram.com/johndoyle.jpg

Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use. No copyright infringement intended.","john doyle,heck off commie,hoc,right wing horror movies,right wing themes,right wing themes in horror movies,most conservative movies,conservative scary movies,political horror movies,right wing movies,matt walsh show,michael knowles show,michael knowles speech,horror movie theories,scary movie theories",25,1464,0
The Most Significant Photograph in All History,2023-08-28T04:28:03Z,PT25M9S,103626,10573,N/A,John Doyle,UCzZpgppwC_XQMe8lFiI77-Q,"Go to https://getundertac.com/ and use Offer Code: DOYLE20 for 20% off your order!

With President Donald Trump's recent arrest and booking on 13 felony counts related to what is described as alleged attempts to overturn the results of the Georgia Presidential Election, the American public has finally received the much-anticipated Donald J. Trump mugshot. Some view it as humiliating, others view it as a powerful image that can unify and energize The American People. Never has there been so much at stake in a single photograph. As we approach the 2024 Election, we must disregard those without conviction and vision, and embrace those who can inspire greatness and excellence. FORWARD!

#Trump #2024Election #History

Please subscribe to my channel! Like this video and share it with your friends!

SUPPORT THE CHANNEL: https://heckoffcommie.com/membership/

GET MERCHANDISE: https://heckoffcommie.com/

ACCESS THE PRIVATE DISCORD SERVER: https://heckoffcommie.com/membership/

Follow me on Twitter: https://twitter.com/ComradeDoyIe
Like my page on Facebook: https://www.facebook.com/ComradeDoyle
Follow me on Instagram: https://www.instagram.com/johndoyle.jpg

Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use. No copyright infringement intended.","John doyle,heck off commie,hoc,Donald Trump mugshot,trump arrest Georgia,2024 election outlook,2024 election predictions,trump mugshot reaction,trump arrest reaction,trump mug shot,trump mugshot Michael knowles,Michael knowles trump arrest,ben Shapiro trump arrest,ben Shapiro trump mugshot",25,1710,0
America Is NOT Racist at THE HBCU | Change My Mind (Police Called!),2023-06-27T23:00:04Z,PT2H48S,434996,23829,N/A,John Doyle,UCzZpgppwC_XQMe8lFiI77-Q,"Go to https://www.iTargetPro.com​​ and use Offer Code: DOYLE to get 10% off + Free Shipping!

Go to https://undertac.com/ and use Offer Code: DOYLE20 for 20% off your order!

John Doyle heads to The College Campus once again, this time to North Carolina Agricultural & Technological University which is considered by many to be the best HBCU in the country, to engage students in the debate surrounding racial politics in America. Is America racist? Are the people racist? Are the institutions racist? Is racism even real? So much to discuss! A timeless holiday classic for your Black History Month and/or Juneteenth enjoyment. 

The Erased Truth about MLK & the Civil Rights Movement: https://youtu.be/IXyUZS05GoE

Debunking the MYTH of ""Systemic Racism"": https://youtu.be/glAGBlmYlLk

Refuting EVERY Argument about Police Racism: https://youtu.be/LmhJ78eYJZU 

#America #Debate #Politics

SOURCES:

https://www.pewsocialtrends.org/2019/04/09/the-role-of-race-and-ethnicity-in-americans-personal-lives/
https://link.springer.com/article/10.1023/A:1024500514834
https://journals.sagepub.com/doi/abs/10.1177/0272431699019003001
https://journals.sagepub.com/doi/abs/10.1177/074355489272003
https://journals.sagepub.com/doi/10.1177/0272431600020001003
https://www.ljzigerell.com/?p=9002
https://www.pewsocialtrends.org/wp-content/uploads/sites/3/2019/04/PewResearchCenter_RaceStudy_Topline.pdf
https://journals.sagepub.com/doi/full/10.1177/2053168017753862
https://onlinelibrary.wiley.com/doi/abs/10.1111/sjop.12288
https://www.jstor.org/stable/2096392
https://personal.lse.ac.uk/kanazawa/pdfs/MDE2005.pdf
https://www.taxpolicycenter.org/publications/racial-disparities-education-finance-going-beyond-equal-revenues
https://twitter.com/ZachG932/status/1100501799260311553
https://www.heritage.org/education/report/the-myth-racial-disparities-public-school-funding
https://pdfs.semanticscholar.org/2920/416b4d4832b2b9b0471ca2f6b51b9189e182.pdf
https://sejdemyr.github.io/docs/ejdemyr_shores_schoolineq.pdf
http://www.finaid.org/scholarships/20110902racescholarships.pdf
https://lendedu.com/blog/who-is-paying-for-college/
http://www.finaid.org/scholarships/20110902racescholarships.pdf
https://global.eatonvance.com/includes/loadDocument.php?fn=28607.pdf&dt=fundPDFs
https://sci-hub.wf/10.1177/000312240607100404
http://www.pewresearch.org/fact-tank/2017/01/10/blacks-and-hispanics-face-extra-challenges-in-getting-home-loans/
https://www.researchgate.net/publication/264555748_Racial_Discrepancy_in_Mortgage_Interest_Rates
https://www.federalreserve.gov/boarddocs/rptcongress/creditscore/performance.htm
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3352876
https://www.aeaweb.org/conference/2017/preliminary/1758?page=4&per-page=50
https://academic.oup.com/sf/article-abstract/96/4/1411/4735110?redirectedFrom=fulltext&login=false
http://www.equality-of-opportunity.org/assets/documents/race_paper.pdf
http://conference.iza.org/conference_files/SUMS_2013/dal_borgo_m5011.pdf
https://quillette.com/2018/07/19/black-american-culture-and-the-racial-wealth-gap/
https://link.springer.com/content/pdf/10.1007/s10888-019-09413-x.pdf
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5436311/
https://www.nber.org/papers/w9227.pdf
http://journals.sagepub.com/doi/abs/10.1177/001979399905200206?fbclid=IwAR0oId6JJhhSmc41BUmbFEvs4PqZpcji0q_ZqL_xnY71Z8B3RCDxVBtsW-Y&journalCode=ilra
https://journals.sagepub.com/doi/abs/10.1177/0096144212436724
https://journals.sagepub.com/doi/abs/10.1177/0096144212436724
https://www.nber.org/digest-202102/searching-origins-redlining-black-neighborhoods
https://sci-hub.wf/10.1177/009614428000600404
https://repository.upenn.edu/cgi/viewcontent.cgi?article=1007&context=cplan_papers
https://journals.sagepub.com/doi/pdf/10.1177/0096144218819429
https://www.nber.org/digest-202102/searching-origins-redlining-black-neighborhoods
https://journals.sagepub.com/doi/pdf/10.1177/0096144218819429

Please subscribe to my channel! Like this video and share it with your friends!

SUPPORT THE CHANNEL: https://heckoffcommie.com/membership/

GET MERCHANDISE: https://heckoffcommie.com/

ACCESS THE PRIVATE DISCORD SERVER: https://heckoffcommie.com/membership/

Follow me on Twitter: https://twitter.com/ComradeDoyIe
Like my page on Facebook: https://www.facebook.com/ComradeDoyle
Follow me on Instagram: https://www.instagram.com/johndoyle.jpg

Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use. No copyright infringement intended.","john doyle,hoc,heck off commie,change my mind,college debate,man on the street,systemic racism debate,systemic racism debunked,is america racist,the daily wire,lwc,mug club,ben shapiro debate,michael knowles debate,matt walsh debate",25,16309,0
They Arrested Your President. What Happens Next?,2023-04-08T03:09:00Z,PT32M33S,113140,9065,N/A,John Doyle,UCzZpgppwC_XQMe8lFiI77-Q,"Go to https://www.iTargetPro.com​​ and use Offer Code: DOYLE to get 10% off + Free Shipping!

Following the historic indictment of former President Donald J. Trump, many Americans wonder if they have witnessed nothing more than due process of law, or the irreversible step into their country being classified as a banana republic. Can this continue, and if so, for how long? 

The Plotted Undoing of the Trump Revolution -- BE CAREFUL!: https://youtu.be/l14ECaU8ffw

#Trump #indictment #politics 

Please subscribe to my channel! Like this video and share it with your friends!

SUPPORT THE CHANNEL: https://heckoffcommie.com/membership/

GET MERCHANDISE: https://heckoffcommie.com/

ACCESS THE PRIVATE DISCORD SERVER: https://heckoffcommie.com/membership/

Follow me on Twitter: https://twitter.com/ComradeDoyIe
Like my page on Facebook: https://www.facebook.com/ComradeDoyle
Follow me on Instagram: https://www.instagram.com/johndoyle.jpg

Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use. No copyright infringement intended.","John Doyle,heck off commie,hoc,trump indictment,daily wire trump indictment,Michael knowles trump indictment,trump arrest Michael knowles,the daily wire,trump 2024,Michael knowles show,matt walsh show,Michael knowles speech,Michael knowles trump,trump Michael knowles,Michael knowles",25,1565,0
Angry and Clueless Feminists @ Women's March 2023,2023-02-18T00:30:40Z,PT25M45S,305434,21010,N/A,John Doyle,UCzZpgppwC_XQMe8lFiI77-Q,"The 2023 Women's March was not only scarcely attended, the people that did attend weren't even sure why they were there, and a lot of them weren't even protesting in the name of women. It was all one grand display of creative poster-making and virtue signaling.

#protest #politics #feminism 

Please subscribe to my channel! Like this video and share it with your friends!

SUPPORT THE CHANNEL: https://heckoffcommie.com/membership/

GET MERCHANDISE: https://heckoffcommie.com/

ACCESS THE PRIVATE DISCORD SERVER: https://heckoffcommie.com/membership/

Follow me on Twitter: https://twitter.com/ComradeDoyIe
Like my page on Facebook: https://www.facebook.com/ComradeDoyle
Follow me on Instagram: https://www.instagram.com/johndoyle.jpg

Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use. No copyright infringement intended.","john doyle,heck off commie,womens march,triggered feminist protest,triggered feminist compilation,womens march triggered,womens march compilation,feminist protest triggered,matt walsh,what is a woman,daily wire,Michael knowles,Michael knowles compilation,the daily wire",25,5452,0
The Plotted Undoing of the Trump Revolution -- BE CAREFUL!,2022-11-07T15:22:24Z,PT2H18M56S,212104,13884,N/A,John Doyle,UCzZpgppwC_XQMe8lFiI77-Q,"Go to https://getundertac.com/ and use Offer Code: DOYLE20 for 20% off your order!

Go to https://www.iTargetPro.com​​ and use Offer Code: DOYLE to get 10% off + Free Shipping!

As the Midterm cycle of the Biden Administration passes, there is increasingly talk about what the direction of the GOP is to be in 2024. The Establishment GOP would like to return to the business-as-usual format of the pre-Trump right that they enjoyed before 2016, but the base still loves Donald Trump who has been persecuted at a higher systematic level than any other figure in American political history. Why is this? Why does our political establishment seem to legitimately fear Donald J. Trump? What are the implications of this? Who will be the nominee in 2024? So much to discuss -- do stay tuned! 

DEBATE ON NOVEMBER 14TH: https://uncensoredamerica.us/doyle-vs-avallone-utk/ 

What Happens if Trump Loses?: https://youtu.be/wV6BSmibGAw

#Trump #DeSantis #2024

Please subscribe to my channel! Like this video and share it with your friends!

SUPPORT THE CHANNEL: https://heckoffcommie.com/membership/

GET MERCHANDISE: https://heckoffcommie.com/

ACCESS THE PRIVATE DISCORD SERVER: https://heckoffcommie.com/membership/

Follow me on Twitter: https://twitter.com/ComradeDoyIe
Like my page on Facebook: https://www.facebook.com/ComradeDoyle
Follow me on Instagram: https://www.instagram.com/johndoyle.jpg

Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use. No copyright infringement intended.","John doyle,heck off commie,hoc,the daily wire,daily wire,Michael knowles,Michael knowles show,matt walsh show,matt walsh,Michael knowles compilation,DeSantis 2024,Michael knowles Trump,Matt walsh desantis,ben Shapiro 2024,Trump DeSantis,Trump vs DeSantis",25,4001,0
"The Unpopular but Correct Take on Ukraine, Russia, & American Decline",2022-04-06T23:14:59Z,PT1H45M45S,392839,25045,N/A,John Doyle,UCzZpgppwC_XQMe8lFiI77-Q,"Go to https://www.iTargetPro.com​​ and use Offer Code: DOYLE to get 10% off + Free Shipping!

Go to https://getundertac.com/ and use Offer Code: DOYLE20 for 20% off your order!

Following the invasion of Ukraine by neighboring Russia, the ruling class has mobilized all its resources to convince the American People that it is imperative that we are in support of Ukraine and therefore are willing to make sacrifices for them at a scale which they will determine for us (as experts). But why did Russia invade Ukraine? What led to this? Whose fault is it? Is this the beginning of the collapse of Western Civilization? So many questions -- do stay tuned! 

#Ukraine #Russia #America

Please subscribe to my channel! Like this video and share it with your friends!

SUPPORT THE CHANNEL: https://heckoffcommie.com/membership/

GET MERCHANDISE: https://heckoffcommie.com/

ACCESS THE PRIVATE DISCORD SERVER: https://heckoffcommie.com/membership/

Follow me on Twitter: https://twitter.com/ComradeDoyIe
Like my page on Facebook: https://www.facebook.com/ComradeDoyle
Follow me on Instagram: https://www.instagram.com/johndoyle.jpg

Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use. No copyright infringement intended.","John doyle,heck off commie,hoc,John doyle ukraine,John doyle russia,the daily wire,daily wire,Michael knowles,Michael knowles show,Michael knowles Ukraine,ben Shapiro ukraine,matt walsh ukraine,matt walsh show,matt walsh,Michael knowles compilation",25,9372,0
