Title,Published At,Duration,View Count,Like Count,Dislike Count,Channel Title,Channel ID,Description,Tags,Category ID,Comment Count,Favorite Count
How the Sun Will Power Your Home | Dr. Dennis Whyte | EP 424,2024-02-19T22:00:07Z,PT1H41M18S,77706,2636,N/A,Jordan B Peterson,UCL_f53ZEJxp8TtlOkHwMV9Q,"Dr. Jordan Peterson speaks with nuclear fusion expert Dr. Dennis Whyte. They walk through how fusion differs from fission, the harnessable energy found at the center of the sun, how to recreate it on earth, the fourth state of matter known as plasma, and facing the consequences of technology while acknowledging that we must push forward.

Dennis Whyte is the Hitachi America Professor of Engineering, and prior director of the Plasma Science and Fusion Center at MIT (He stepped down in November 2023). Whyte is considered a leader and innovator in fusion research, and currently leads the project SPARC - a compact, high-field, net fusion energy fusion device.

This episode was filmed on January 17th, 2024

Dr. Peterson's extensive catalog is available now on DailyWire+: https://bit.ly/3KrWbS8


- Sponsors -

Birch Gold: Text ""JORDAN"" to 989898 for your no-cost, no-obligation, FREE information kit

Shopify: Get a $1/ month FREE trial with full access to Shopify's entire suite of features: https://shopify.com/jbp

Mizzen & Main: Get 25% off your purchase of $130 or more at https://www.MizzenandMain.com promo code Jordan


- Links -

2024 tour details can be found here https://jordanbpeterson.com/events   

Peterson Academy https://petersonacademy.com/  


For Dennis Whyte:

On facebook ​​https://www.facebook.com/mit.psfc/ 

On Instagram https://www.instagram.com/mit.psfc/ 

On Linkedin https://www.linkedin.com/company/plasma-science-and-fusion-center-at-mit/ 

On Youtube https://www.youtube.com/@mitplasmasciencefusioncenter


- Chapters -

(0:00) Tour info 2024
(0:41) Coming up
(1:03) Intro
(3:00) What fusion is and how it differs from fission
(7:06) The conditions under which fusion is possible
(15:34) Does fusion rely on chain reactions?
(19:00) It’s temperature, not energy
(21:27) What is actually happening to the atoms during fusion? A different phase of matter
(27:54) Calculating how much power results from fusion
(31:13) How to recreate the Sun’s temperatures on earth
(39:30) Magnetic fields and condensing hydrogen into plasma
(48:39) With physical isolation of the systems, where is the energy and how do we access it?
(58:30) Fission and fusion are not competing power sources, we need both
(1:06:56) Where are we really at with fusion? Timeline and likelihood
(1:19:18) What happens to the electrons?
(1:22:13) The end of abject poverty?
(1:30:03) Breakthroughs and optimism: “We have quite a world waiting for us if we’re sensible and fortunate”
 

// LINKS //
All links: https://linktr.ee/drjordanbpeterson
Website: https://jordanbpeterson.com
Tour Locations: https://jordanbpeterson.com/events
X: https://twitter.com/jordanbpeterson
Instagram: https://instagram.com/jordan.b.peterson
Facebook: https://facebook.com/drjordanpeterson
Telegram: https://t.me/DrJordanPeterson
Newsletter: https://mailchi.mp/jordanbpeterson.com/youtubesignup

// COURSES //
Discovering Personality: https://jordanbpeterson.com/personality
Self Authoring Suite: https://selfauthoring.com
Understand Myself (personality test): https://understandmyself.com

// BOOKS //
Beyond Order: 12 More Rules for Life: https://jordanbpeterson.com/Beyond-Order
12 Rules for Life: An Antidote to Chaos: https://jordanbpeterson.com/12-rules-for-life
Maps of Meaning: The Architecture of Belief: https://jordanbpeterson.com/maps-of-meaning

#JordanPeterson #JordanBPeterson #DrJordanPeterson #DrJordanBPeterson #DailyWirePlus","Jordan Peterson,Jordan B Peterson,psychology,psychoanalysis,existentialism,maps of meaning,free speech,freedom of speech,personality lectures,personality and transformations,Jordan perterson,Dr Peterson",27,507,0
"Conceptualizing Christ, the Beauty of the Church & Miracles",2024-02-17T18:33:20Z,PT1H6M43S,327927,15173,N/A,Jordan B Peterson,UCL_f53ZEJxp8TtlOkHwMV9Q,"This is the full video of Dr. Peterson's panel with Bishop Barron and Father Mike Schmitz. Filmed in November of 2022.

In this panel Dr. Peterson, Bishop Barron, and Father Mike Schmitz delve into the intersection of faith, culture, and philosophy.

Dr. Peterson's extensive catalog is available now on DailyWire+: https://bit.ly/3KrWbS8

//CHAPTERS//
00:00:00 Introduction
00:05:36 How does Dr. Peterson relate his own conception of Christ to the orthodox Christian conception?
00:17:24 How can Catholics make a case for the objectivity of beauty in a culture awash with relativism and the celebration of ugliness?
00:34:24 How can Catholics speak about the Bible and miracles in ways that young people will find both attractive and convincing?

// LINKS //
All links: https://linktr.ee/drjordanbpeterson
Website: https://jordanbpeterson.com
Tour Locations: https://jordanbpeterson.com/events
X: https://twitter.com/jordanbpeterson
Instagram: https://instagram.com/jordan.b.peterson
Facebook: https://facebook.com/drjordanpeterson
Telegram: https://t.me/DrJordanPeterson
Newsletter: https://mailchi.mp/jordanbpeterson.com/youtubesignup

// COURSES //
Discovering Personality: https://jordanbpeterson.com/personality
Self Authoring Suite: https://selfauthoring.com
Understand Myself (personality test): https://understandmyself.com

// BOOKS //
Beyond Order: 12 More Rules for Life: https://jordanbpeterson.com/Beyond-Order
12 Rules for Life: An Antidote to Chaos: https://jordanbpeterson.com/12-rules-for-life
Maps of Meaning: The Architecture of Belief: https://jordanbpeterson.com/maps-of-meaning

#JordanPeterson #JordanBPeterson #DrJordanPeterson #DrJordanBPeterson #DailyWirePlus","Jordan Peterson,Jordan B Peterson,psychology,psychoanalysis,existentialism,maps of meaning,free speech,freedom of speech,personality lectures,personality and transformations,Jordan perterson,Dr Peterson",27,1784,0
"Greatness, Marriage, Parenthood, & Climbing New Mountains | @ChrisBumstead  | EP 423",2024-02-15T22:00:17Z,PT1H48M40S,424971,18247,N/A,Jordan B Peterson,UCL_f53ZEJxp8TtlOkHwMV9Q,"Dr. Jordan B. Peterson speaks with five-time consecutive Mr. Olympia Classic Physique champion, businessman, and public speaker, Chris Bumstead. They discuss how Chris was introduced to bodybuilding, how he combatted anxiety and a speech impediment in his upbringing and early career, where he’s at now following a five-year win streak, and how he balances his values between sport, business, marriage, and soon-to-be fatherhood.

Hailing from Canada, Chris Bumstead (AKA “CBUM”) has taken the fitness world by storm, becoming a five-time Mr. Olympia Classic Physique Champion. With his unmatched physique, unwavering dedication, and infectious enthusiasm, Chris has become a true icon of the sport. With over 22 million followers, Chris is an inspiration for individuals worldwide.

Chris is a proud owner of RAW Nutrition, a premium sports nutrition line, as well as BUM Energy, an exciting new lifestyle energy drink.

This episode was recorded on January 19th, 2024

Dr. Peterson's extensive catalog is available now on DailyWire+: https://bit.ly/3KrWbS8


- Sponsors -

Shopify: Get a $1/ month FREE trial with full access to Shopify's entire suite of features: https://shopify.com/jbp

Preborn: Help save 11,000 babies from abortion: https://preborn.com/Jordan

American Financing: Call (888)804-0303 for a FREE mortgage review, or visit https://www.americanfinancing.net/


- Links -

2024 tour details can be found here https://jordanbpeterson.com/events   

Peterson Academy https://petersonacademy.com/  


For Chris Bumstead:

On X https://twitter.com/c_bumstead?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor 

On Youtube https://www.youtube.com/channel/UC4514FwdRy5gI6CdC9GPb0w 

CBUM Energy (Website) https://bum.energy/ 

CBUM Fitness On Instagram https://www.instagram.com/cbumfitness/?hl=en 

Raw Nutrition (website) https://getrawnutrition.com/?gad_source=1&gclid=CjwKCAiAibeuBhAAEiwAiXBoJGHoS15gfHGkSKXMTvKTHSF1Evv923Il9ZARCStHv231dN7KNM4VRRoChtYQAvD_BwE 


- Chapters -

(0:00) Tour update 2024
(0:40) Coming up
(1:10) Intro
(2:59) Debuting as a professional bodybuilder, the structure and hierarchy of the sport
(4:52) How the Classic Physique division differs from others, the Arnold years
(7:06) The dietary regimen of the five-time consecutive Mr. Olympia
(8:58) Bodybuilding is a sport that hinges on aesthetics
(9:55) Starting at 14 and seeing early success
(14:04) Building discipline by following passion, finding solace in the gym
(18:04) Getting over feeling self-conscious in the gym: “It’s not as judgmental as people think.”
(19:57) The precursor to the redeemer is the fool, how to become an honest master at something
(21:53) Chris Bumstead struggled with public speaking—how he got past the fear
(24:40) The radical biological change that happens when you make the conscious choice to improve
(28:22) Growing up with a speech impediment, how Chris found his voice and self identity
(31:42) If people like the false front you present, that’s all they like about you
(34:09) Say what you believe regardless of the consequences
(36:07) Why you feel butterflies in your stomach when you’re nervous, heightened non-specific arousal
(41:06) The difference between nervousness over judgment and expectation
(44:21) Conquering fear is not the absence of fear, there’s nothing brave about security
(47:40) Why continue after attaining wild success? When to find the next challenge
(55:05) The Future Authoring program: Can you imagine yourself five years in the future?
(59:02) One of Jordan Peterson's greatest personal motivators
(59:44) True mastery is marked by the spirit of play, how this applies to parenting
(1:00:50) Where Chris is headed: “Bodybuilding was never forever.”
(1:07:36) Jocko Willink, self-development and the meaning found in helping others develop
(1:12:16) The vastly undersold advantage of emotional honesty
(1:16:55) Married life and negotiating commitment toward truth in a relationship
(1:26:27) The true reward in triumph isn’t the prize, but those who saw it through alongside you
(1:28:29) Chris asks Jordan for advice for new parents
(1:36:59) Managing jealousy and resentment within a family
(1:40:14) Thinking long-term, planned togetherness, and taking on new mountains



// LINKS //
All links: https://linktr.ee/drjordanbpeterson
Website: https://jordanbpeterson.com
Tour Locations: https://jordanbpeterson.com/events
X: https://twitter.com/jordanbpeterson
Instagram: https://instagram.com/jordan.b.peterson
Facebook: https://facebook.com/drjordanpeterson
Telegram: https://t.me/DrJordanPeterson
Newsletter: https://mailchi.mp/jordanbpeterson.com/youtubesignup

// COURSES //
Discovering Personality: https://jordanbpeterson.com/personality
Self Authoring Suite: https://selfauthoring.com
Understand Myself (personality test): https://understandmyself.com","Jordan Peterson,Jordan B Peterson,psychology,psychoanalysis,existentialism,maps of meaning,free speech,freedom of speech,personality lectures,personality and transformations,Jordan perterson,Dr Peterson",27,845,0
Using Keto To Treat Epilepsy,2024-02-13T18:19:29Z,PT29S,67432,2792,N/A,Jordan B Peterson,UCL_f53ZEJxp8TtlOkHwMV9Q,"Dr. Peterson's extensive catalog is available now on DailyWire+: https://bit.ly/3KrWbS8

// LINKS //
All links: https://linktr.ee/drjordanbpeterson
Website: https://jordanbpeterson.com
Tour Locations: https://jordanbpeterson.com/events
X: https://twitter.com/jordanbpeterson
Instagram: https://instagram.com/jordan.b.peterson
Facebook: https://facebook.com/drjordanpeterson
Telegram: https://t.me/DrJordanPeterson
Newsletter: https://mailchi.mp/jordanbpeterson.com/youtubesignup

// COURSES //
Discovering Personality: https://jordanbpeterson.com/personality
Self Authoring Suite: https://selfauthoring.com
Understand Myself (personality test): https://understandmyself.com

// BOOKS //
Beyond Order: 12 More Rules for Life: https://jordanbpeterson.com/Beyond-Order
12 Rules for Life: An Antidote to Chaos: https://jordanbpeterson.com/12-rules-for-life
Maps of Meaning: The Architecture of Belief: https://jordanbpeterson.com/maps-of-meaning

#JordanPeterson #JordanBPeterson #DrJordanPeterson #DrJordanBPeterson #DailyWirePlus #keto #carnivore","Jordan Peterson,Jordan B Peterson,psychology,psychoanalysis,existentialism,maps of meaning,free speech,freedom of speech,personality lectures,personality and transformations,Jordan perterson,Dr Peterson",27,115,0
"Keto and Carnivore: Treating Schizophrenia, Depression, and Cancer | Dr. Chris Palmer | EP 422",2024-02-12T22:00:06Z,PT1H42M56S,232940,9654,N/A,Jordan B Peterson,UCL_f53ZEJxp8TtlOkHwMV9Q,"Dr. Jordan B. Peterson speaks with author, researcher, and psychiatrist Chris Palmer. They discuss how metabolic and mental disorders might be linked, depression's purpose as a biological corrective measure, how metabolism might directly tie to mental disorders, the use of fasting for medical and spiritual breakthroughs, and the research showing we have vastly undervalued the mitochondria when it comes to mental wellness.

Chris Palmer, MD is a medical doctor and psychiatric researcher working in the areas of addiction and sleep. He is also the author of 2022’s “Brain Energy,” in which he argues that mental disorders are metabolic disorders of the brain.

This episode was recorded on January 22nd, 2024

Dr. Peterson's extensive catalog is available now on DailyWire+: https://bit.ly/3KrWbS8


- Sponsors -

Balance of Nature: 35% off Your Preferred Order + FREE Fiber & Spice, Promo Code ‘JORDAN’ at https://balanceofnature.com/

Shopify: Get a $1/ month FREE trial with full access to Shopify's entire suite of features: https://shopify.com/jbp

Hallow: Try Hallow for 3 months FREE: https://hallow.com/jordan


- Links -

2024 tour details can be found here https://jordanbpeterson.com/events   

Peterson Academy https://petersonacademy.com/  


For Dr. Chris Palmer

Brain Energy: A Revolutionary Breakthrough in Understanding Mental Health--and Improving Treatment for Anxiety, Depression, OCD, PTSD, and More (Book) https://www.amazon.com/Brain-Energy-Revolutionary-Understanding-Health/dp/1637741588/ref=asc_df_1637741588/?tag=hyprod-20&linkCode=df0&hvadid=680422841264&hvpos=&hvnetw=g&hvrand=2059281934683270123&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9013190&hvtargid=pla-1665213950074&psc=1&mcid=e623ac2681463a208fc7ee1a7cb17d1a 


- Chapters -

(0:00) Tour update 2024, coming up
(1:18) Intro
(3:50) Mental disorder, social dysfunction, skill deficit, and metabolic disorder
(9:14) The two broad classes of depression: those suffering with obvious cause and those suffering without apparent cause
(14:09) How to tell when your depression is caused by disorder versus circumstance
(18:45) The relationship between hierarchical status, dependency on social integration, and serotonin levels
(21:06) Crossing off physiological agents before diagnosing a mental disorder
(27:21) Why Dr. Palmer turned to diet for treating depression
(30:50) Treating a paranoid schizoaffective patient for weight loss and realizing that the ketogenic diet resolved much of his mental disorder
(35:03) Schizoaffective disorder versus schizotypal personality disorder
(37:21) The keto diets effect on mitochondrial function challenges the currently held notion that schizophrenia is caused by too much dopamine
(42:41) The metabolic theory explains all manner of disorders that are often considered unsolvable or genetic
(47:48) The classic understanding of mitochondrial function: power production, molecular breakdown for cell creation, and the generation of heat
(53:09) How 20 years of research have shattered our understanding of mitochondrial function—what we know now
(58:44) The Peterson family’s experimentation with the carnivore diet
(1:00:38) Using an elimination diet to parse out symptoms and potential causes, how the ketogenic diet tricks the body into a false starvation mode
(1:03:35) The two big issues with ill effects from our foods, autophagy versus mytophagy
(1:05:47) The use of fasting across cultures and time for religious and health intervention, starvation periods are when our bodies heal
(1:08:44) Differences in diet choice, knowing your body and choosing the appropriate course
(1:14:56) It’s not as simple as one solution fits all, a good start is a short-term water-only fast to assess change
(1:21:10) You only need fiber in your diet if you do this
(1:23:31) Tammy’s rare form of cancer, the ability to “starve” cancer in order to fight it, and where the line is for treatment
(1:30:50) Dr. Palmer started through his anecdotal experience, but the evidence is mounting


// LINKS //
All links: https://linktr.ee/drjordanbpeterson
Website: https://jordanbpeterson.com
Tour Locations: https://jordanbpeterson.com/events
X: https://twitter.com/jordanbpeterson
Instagram: https://instagram.com/jordan.b.peterson
Facebook: https://facebook.com/drjordanpeterson
Telegram: https://t.me/DrJordanPeterson
Newsletter: https://mailchi.mp/jordanbpeterson.com/youtubesignup

// COURSES //
Discovering Personality: https://jordanbpeterson.com/personality
Self Authoring Suite: https://selfauthoring.com
Understand Myself (personality test): https://understandmyself.com

// BOOKS //
Beyond Order: 12 More Rules for Life: https://jordanbpeterson.com/Beyond-Order
12 Rules for Life: An Antidote to Chaos: https://jordanbpeterson.com/12-rules-for-life
Maps of Meaning: The Architecture of Belief: https://jordanbpeterson.com/maps-of-meaning

#JordanPeterson #JordanBPeterson #DrJordanPeterson #DrJordanBPeterson #DailyWirePlus","Jordan Peterson,Jordan B Peterson,psychology,psychoanalysis,existentialism,maps of meaning,free speech,freedom of speech,personality lectures,personality and transformations,Jordan perterson,Dr Peterson",27,1414,0
"Fitness, Motivation, Mentorship, and Life's Calling | @MorePlatesMoreDates | EP 421",2024-02-08T22:00:30Z,PT1H47M41S,422148,14827,N/A,Jordan B Peterson,UCL_f53ZEJxp8TtlOkHwMV9Q,"Dr. Jordan B. Peterson sits down in-person with Derek from the “More Plates More Dates Podcast.” They discuss Derek's journey into the fitness industry, how he became a main player in the “manosphere,” developing self motivation, effective ways to find a mentor, and how to recognize when the adventure of your life is calling.

Derek is the founder of the “More Plates More Dates” YouTube channel, where he discusses strategies to optimize your health and nutrition. He is also a co-founder of the preventative medicine company called Marek Health.

This episode was recorded on January 29th, 2024

Dr. Peterson's extensive catalog is available now on DailyWire+: https://bit.ly/3KrWbS8


- Sponsors -

ExpressVPN: Get 3 Months FREE of ExpressVPN: https://expressvpn.com/jordan 

NetSuite: Make better business decisions with NetSuite https://www.NetSuite.com/JBP 

American Financing: Call (888)804-0303 for a FREE mortgage review, or visit https://www.americanfinancing.net/.


- Links -

2024 tour details can be found here https://jordanbpeterson.com/events  

Peterson Academy https://petersonacademy.com/ 


For Derek:

YouTube: https://www.youtube.com/c/MorePlatesMoreDates
Instagram: https://www.instagram.com/moreplatesmoredates/
Twitter: https://twitter.com/Derek_Fitness
TikTok: https://www.tiktok.com/@moreplates
Blog: https://moreplatesmoredates.com/
Gorilla Mind: https://gorillamind.com/
Marek Health: https://marekhealth.com/
Intelligent Shop: https://intelligent.shop/ 


- Chapters -

(0:00) Tour update 2024
(0:40) Coming up
(1:06) Intro
(2:51) Derek started the “More Plates More Dates” blog, which evolved into his YouTube channel and podcast 
(5:21) Early advice from Victor Pride, the value of a like-minded mentor, staying in tune with new tech in order to  grow an online viewership
(7:23) Derek’s need to write due to personal injury, how the manipulation of search algorithms has led to lapsed credibility even when fact-checked 
(13:12) Feelings of greater calling, forming a covenant with the spirit that guides you
(15:48) The interplay of true calling and relative success
(18:28) Why Derek turned to writing, connections to the “Manosphere”
(20:11) Jocko Willink, acknowledging your capability for harm in order to evoke positive change in others
(21:54) Realizing what you’re supposed to write about, positioning yourself to avoid obstacles
(28:04) Balancing quality with the necessity of communication
(30:18) 2022 Elvis Biopic: how Presley paired a culturally suppressed music style with the emerging popularity of rock’n roll
(31:35) Respect for your audience needs to be aligned with the desire to broaden influence
(32:13) Be obsessed with your interests until you are the expert, insights on male stubbornness gained from the Future Authoring Program
(35:14) When abstract knowledge stacks on genuine expertise
(38:06) Feeling weak, using objective metrics to stay motivated against fatigue
(40:23) Tempering expertise for the communication of ideas to early zones of proximal development
(43:59) The Acton Academy’s philosophy on mentorships
(46:20) Positioning yourself as competent so a prospective mentor will be excited to say “yes”
(51:43) What working ten percent longer will do immediately for your paycheck, and long-term for your career
(54:48) How Derek weaponized early mornings, silence, and fasting to stay mentally dialed-in to his writing goals
(58:11) Outgrowing the 23-year-old mindset, underlying importance of symmetry and optimized health in sexual attraction
(1:01:26) How Derek grew to appreciate mental and cognitive health in addition to physical health
(1:04:45) The core attractor that is seldom taught to men
(1:07:40) How writing helps streamline the facilitation process of ideas
(1:11:08) Everything has gone spectacularly well when you can end it on a punchline, have a problem in mind you genuinely want to solve
(1:11:50) Market testing: the audience will tell you what they want
(1:12:43) From writing to video, hyper-accelerated exposure, and how the bottleneck effect comes into play for cross-platform content
(1:14:02) Aligning personal interest with broader necessity for understanding
(1:16:50) The feminine imagery in “Sleeping Beauty,” building fortitude against the harsh scrutiny of the dating market
(1:18:01) How Derek’s growth on YouTube led to multiple positive business ventures
(1:19:19) Plunging the depths, the symbolism of the essence of being as it appears in Moses’ encounter with the burning bush
(1:22:30) Reaching a point of expertise that allows for ease of growth and spontaneous innovation
(1:25:13) Proofing self-confidence against potential delusion and error
(1:29:46) How Marek Health prioritizes curative and preventive treatment over last-resort symptom suppression
(1:41:41) Death statistics among bodybuilders, Marek's plans to tackle the root cause
(1:44:43) Holding on to calling and progressing toward your best potential","Jordan Peterson,Jordan B Peterson,psychology,psychoanalysis,existentialism,maps of meaning,free speech,freedom of speech,personality lectures,personality and transformations,Jordan perterson,Dr Peterson",27,1140,0
What Moves You Will Move the World | Jocko Willink | EP 420,2024-02-05T22:00:16Z,PT1H56M31S,461778,15677,N/A,Jordan B Peterson,UCL_f53ZEJxp8TtlOkHwMV9Q,"Dr. Jordan B. Peterson sits down in-person with retired Navy SEAL, author, speaker, and podcaster, Jocko Willink. They discuss Jocko’s new speaking tour, the catharsis and upward momentum gained from genuine connection, the morality of a soldier, what a real leader is, and how to become one yourself.

Jocko Willink is a retired U.S. Navy SEAL officer, co-author of the #1 New York Times bestseller Extreme Ownership: How U.S. Navy SEALs Lead and Win, Dichotomy of Leadership, host of the top-rated Jocko Podcast, and co-founder of Echelon Front, where he serves as Chief Executive Officer, leadership instructor, speaker, and strategic advisor. Jocko spent 20 years in the SEAL Teams, starting as an enlisted SEAL and rising through the ranks to become a SEAL officer. As commander of SEAL Team Three’s Task Unit Bruiser during the battle of Ramadi, he orchestrated SEAL operations that helped the “Ready First” Brigade of the U.S. Army’s First Armored Division bring stability to the violent, war-torn city. Task Unit Bruiser became the most highly decorated Special Operations Unit of the Iraq War.

This episode was recorded on December 29th, 2023

Dr. Peterson's extensive catalog is available now on DailyWire+: https://bit.ly/3KrWbS8


- Sponsors -

Birch Gold: ​​Text ""JORDAN"" to 989898 for your no-cost, no-obligation, FREE information kit.

Shopify: Get a $1/ month FREE trial with full access to Shopify's entire suite of features: https://shopify.com/jbp 


- Links -

2024 tour details can be found here https://jordanbpeterson.com/events  

Peterson Academy https://petersonacademy.com/ 


For Jocko Willink:

On X https://twitter.com/jockowillink?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor 

Website https://jocko.com/ 

Jocko Podcast https://www.youtube.com/@JockoPodcastOfficial 

Extreme Ownership: How Navy SEALS Lead and Win (Book) https://www.amazon.com/Extreme-Ownership-U-S-Navy-SEALs/dp/1250067057 


- Chapters -

(0:00) Tour Update 2024
(0:40) Coming up
(1:20) Intro
(3:40) Jocko on tour
(6:46) PTSD, regret, and dealing with dramatic mistakes
(12:34) Extreme Ownership
(15:11) The fundamental attribution error
(16:48) When to discipline your child
(18:04) Why matters more than what
(19:08) Meet and greets, lecturing, live Q&A’s
(30:28) The real thing, Vivek Ramaswamy, Donald Trump
(32:32) Relaxation is not the greatest reward for success
(35:25) Know your prime motivators, the joy in helping others succeed
(39:07) Survival strategy, mosquitos versus humans
(45:39) Sacrifice and investment creates heightened returns
(50:31) “Intent has a smell”
(53:14) Your guiding star will manifest itself in everything you do
(56:31) Everyone sees what you’re doing
(59:56) How to get people to listen to you
(1:06:04) The fourth law of combat leadership
(1:07:29) Group division arises from ego
(1:10:04) The antithesis to power and force
(1:14:29) Psychological reactance
(1:17:04) the narrative theme of nearly all female pornography
(1:18:07) All traits become toxic if taken to an extreme
(1:20:09) Virtue is not reducible to one aspect
(1:23:40) Leadership is like woodworking
(1:26:16) Knowing when to let others communicate for you
(1:30:36) Self-consciousness is a facet of negative emotion
(1:35:11) The authoritarian mindset within the military
(1:39:21) Skimming, culture, and openness
(1:43:53) Leaving Bill Maher speechless, ARC
(1:45:54) How the military prioritizes targets
(1:48:00) Understand the why, and lead by invitation

// LINKS //
All links: https://linktr.ee/drjordanbpeterson
Website: https://jordanbpeterson.com
Tour Locations: https://jordanbpeterson.com/events
X: https://twitter.com/jordanbpeterson
Instagram: https://instagram.com/jordan.b.peterson
Facebook: https://facebook.com/drjordanpeterson
Telegram: https://t.me/DrJordanPeterson
Newsletter: https://mailchi.mp/jordanbpeterson.com/youtubesignup

// COURSES //
Discovering Personality: https://jordanbpeterson.com/personality
Self Authoring Suite: https://selfauthoring.com
Understand Myself (personality test): https://understandmyself.com

// BOOKS //
Beyond Order: 12 More Rules for Life: https://jordanbpeterson.com/Beyond-Order
12 Rules for Life: An Antidote to Chaos: https://jordanbpeterson.com/12-rules-for-life
Maps of Meaning: The Architecture of Belief: https://jordanbpeterson.com/maps-of-meaning

#JordanPeterson #JordanBPeterson #DrJordanPeterson #DrJordanBPeterson #DailyWirePlus","Jordan Peterson,Jordan B Peterson,psychology,psychoanalysis,existentialism,maps of meaning,free speech,freedom of speech,personality lectures,personality and transformations,Jordan perterson,Dr Peterson",27,1107,0
JBP X @JockoPodcastOfficial | Today @ 5pm EST,2024-02-05T17:28:33Z,PT33S,137035,7962,N/A,Jordan B Peterson,UCL_f53ZEJxp8TtlOkHwMV9Q,"Dr. Peterson's extensive catalog is available now on DailyWire+: https://bit.ly/3KrWbS8

// LINKS //
All links: https://linktr.ee/drjordanbpeterson
Website: https://jordanbpeterson.com
Tour Locations: https://jordanbpeterson.com/events
X: https://twitter.com/jordanbpeterson
Instagram: https://instagram.com/jordan.b.peterson
Facebook: https://facebook.com/drjordanpeterson
Telegram: https://t.me/DrJordanPeterson
Newsletter: https://mailchi.mp/jordanbpeterson.com/youtubesignup

// COURSES //
Discovering Personality: https://jordanbpeterson.com/personality
Self Authoring Suite: https://selfauthoring.com
Understand Myself (personality test): https://understandmyself.com

// BOOKS //
Beyond Order: 12 More Rules for Life: https://jordanbpeterson.com/Beyond-Order
12 Rules for Life: An Antidote to Chaos: https://jordanbpeterson.com/12-rules-for-life
Maps of Meaning: The Architecture of Belief: https://jordanbpeterson.com/maps-of-meaning

#JordanPeterson #JordanBPeterson #DrJordanPeterson #DrJordanBPeterson #DailyWirePlus","Jordan Peterson,Jordan B Peterson,psychology,psychoanalysis,existentialism,maps of meaning,free speech,freedom of speech,personality lectures,personality and transformations,Jordan perterson,Dr Peterson",27,157,0
Rap Mapped and Unwrapped,2024-02-03T19:01:31Z,PT54S,1016068,42354,N/A,Jordan B Peterson,UCL_f53ZEJxp8TtlOkHwMV9Q,"Dr. Peterson's extensive catalog is available now on DailyWire+: https://bit.ly/3KrWbS8

// LINKS //
All links: https://linktr.ee/drjordanbpeterson
Website: https://jordanbpeterson.com
Tour Locations: https://jordanbpeterson.com/events
X: https://twitter.com/jordanbpeterson
Instagram: https://instagram.com/jordan.b.peterson
Facebook: https://facebook.com/drjordanpeterson
Telegram: https://t.me/DrJordanPeterson
Newsletter: https://mailchi.mp/jordanbpeterson.com/youtubesignup

// COURSES //
Discovering Personality: https://jordanbpeterson.com/personality
Self Authoring Suite: https://selfauthoring.com
Understand Myself (personality test): https://understandmyself.com

// BOOKS //
Beyond Order: 12 More Rules for Life: https://jordanbpeterson.com/Beyond-Order
12 Rules for Life: An Antidote to Chaos: https://jordanbpeterson.com/12-rules-for-life
Maps of Meaning: The Architecture of Belief: https://jordanbpeterson.com/maps-of-meaning

#JordanPeterson #JordanBPeterson #DrJordanPeterson #DrJordanBPeterson #DailyWirePlus","Jordan Peterson,Jordan B Peterson,psychology,psychoanalysis,existentialism,maps of meaning,free speech,freedom of speech,personality lectures,personality and transformations,Jordan perterson,Dr Peterson",27,1222,0
A Psychological Breakdown of a Rap Song,2024-02-03T17:00:10Z,PT51M31S,1294289,89004,N/A,Jordan B Peterson,UCL_f53ZEJxp8TtlOkHwMV9Q,"Dr. Peterson delves into the psychological nuances behind @BenShapiro and @TomMacDonaldOfficial's hit song ""Facts"".

Identity: Individual and the State Versus the Subsidiary Hierarchy of Heaven https://www.arc-research.org/research-papers/the-subsidiary-hierarchy 

Dr. Peterson's extensive catalog is available now on DailyWire+: https://bit.ly/3KrWbS8

Jordan's 'We Who Wrestle With God' Tour Tickets - https://jordanbpeterson.com/events

// LINKS //
All links: https://linktr.ee/drjordanbpeterson
Website: https://jordanbpeterson.com
Tour Locations: https://jordanbpeterson.com/events
X: https://twitter.com/jordanbpeterson
Instagram: https://instagram.com/jordan.b.peterson
Facebook: https://facebook.com/drjordanpeterson
Telegram: https://t.me/DrJordanPeterson
Newsletter: https://mailchi.mp/jordanbpeterson.com/youtubesignup

// COURSES //
Discovering Personality: https://jordanbpeterson.com/personality
Self Authoring Suite: https://selfauthoring.com
Understand Myself (personality test): https://understandmyself.com

// BOOKS //
Beyond Order: 12 More Rules for Life: https://jordanbpeterson.com/Beyond-Order
12 Rules for Life: An Antidote to Chaos: https://jordanbpeterson.com/12-rules-for-life
Maps of Meaning: The Architecture of Belief: https://jordanbpeterson.com/maps-of-meaning

#JordanPeterson #JordanBPeterson #DrJordanPeterson #DrJordanBPeterson #DailyWirePlus","Jordan Peterson,Jordan B Peterson,psychology,psychoanalysis,existentialism,maps of meaning,free speech,freedom of speech,personality lectures,personality and transformations,Jordan perterson,Dr Peterson,facts reaction tom macdonald,facts reaction ben shapiro,facts reaction jordan peterson,music video reaction,tom macdonald,ben shapiro",27,11047,0
