Title,Published At,Duration,View Count,Like Count,Dislike Count,Channel Title,Channel ID,Description,Tags,Category ID,Comment Count,Favorite Count
U.S. Airman Burned Himself Alive In Support of...Palestine!? | Louder with Crowder,2024-02-26T16:17:18Z,PT1H3M24S,80598,4343,N/A,StevenCrowder,UCIveFvW-ARp_B_RckhweNJw,"Donald Trump dominated Nikki Haley in South Carolina on Saturday, U.S. Airman Aaron Bushnell burned himself alive in support of Palestine, we’ve also got the full story on the illegal migrant who murdered a 22-year-old Georgia college student on campus last week, and more!

GUEST: Josh Firestine

Today's sources https://www.louderwithcrowder.com/sources-february-26-2024

Join MugClub to watch this show every day! http://louderwithcrowder.com/mugclub

NEW MERCH! https://officialcrowdershop.com/ 

Subscribe to my podcast: https://rss.com/podcasts/louder-with-crowder/

FOLLOW ME:
Website: https://louderwithcrowder.com
Twitter: https://twitter.com/scrowder
Instagram: http://www.instagram.com/louderwithcrowder
Facebook: https://www.facebook.com/stevencrowderofficial

Music by @Pogo","steven crowder,crowder,stephen crowder,louder with crowder,LwC,mug club,Change My Mind,Crowder Confronts,comedy,politics,news,liberal,libertarian,funny conservative,current events,fake news,Google Ai,Ben Shapiro,Daily Wire,Candace Owens,AI,artificial intelligence,Gen Z,Black History month,Greg Abbott,Masculinity,Google,Generation Z,steven crowder vs lgbtq,white privilege,Live show,GOP,Republican,Donald Trump",23,758,0
AI Confirms Google HATES White People! | Louder with Crowder,2024-02-22T16:20:16Z,PT1H16M3S,83635,4254,N/A,StevenCrowder,UCIveFvW-ARp_B_RckhweNJw,"We ran some tests and can confirm OpenAI’s ChatGPT and Google’s Gemini are racist, a new poll shows Governor Greg Abbott is performing well with Gen-Z voters, Black History Month facts, and more! 

GUEST: Josh Firestine

Today's sources https://www.louderwithcrowder.com/sources-february-22-2024

Join MugClub to watch this show every day! http://louderwithcrowder.com/mugclub

NEW MERCH! https://officialcrowdershop.com/ 

Subscribe to my podcast: https://rss.com/podcasts/louder-with-crowder/

FOLLOW ME:
Website: https://louderwithcrowder.com
Twitter: https://twitter.com/scrowder
Instagram: http://www.instagram.com/louderwithcrowder
Facebook: https://www.facebook.com/stevencrowderofficial

Music by @Pogo","steven crowder,crowder,stephen crowder,louder with crowder,LwC,mug club,Change My Mind,Crowder Confronts,comedy,politics,news,liberal,libertarian,funny conservative,current events,fake news,Google Ai,Ben Shapiro,Daily Wire,Candace Owens,AI,artificial intelligence,Gen Z,Black History month,Greg Abbott,Masculinity,Google,Generation Z,steven crowder vs lgbtq,white privilege,Live show,GOP,Republican,Donald Trump",23,420,0
Trump Town Hall Analysis: Did He Just Pick His VP?!,2024-02-21T16:10:46Z,PT1H9M39S,106797,5188,N/A,StevenCrowder,UCIveFvW-ARp_B_RckhweNJw,"We’ve got the inside baseball on the American Red Cross blood controversy, also we're breaking down Donald Trump’s South Carolina Town Hall yesterday, highlighting the media's malpractice for the Kansas City Super Bowl parade shooting and so much more.

GUEST: Josh Firestine

Today's sources https://www.louderwithcrowder.com/sources-february-21-2024

Join MugClub to watch this show every day! http://louderwithcrowder.com/mugclub

NEW MERCH! https://officialcrowdershop.com/ 

Subscribe to my podcast: https://rss.com/podcasts/louder-with-crowder/

FOLLOW ME:
Website: https://louderwithcrowder.com
Twitter: https://twitter.com/scrowder
Instagram: http://www.instagram.com/louderwithcrowder
Facebook: https://www.facebook.com/stevencrowderofficial

Music by @Pogo","steven crowder,crowder,stephen crowder,louder with crowder,LwC,mug club,Change My Mind,Crowder Confronts,comedy,politics,news,liberal,libertarian,funny conservative,current events,fake news,Donald Trump,South Carolina,Donald,Trump,Migrant,Migrants,Migrant Crisis,Conservative,Republican,Joe Biden,Joe Biden Vs. Donald Trump,CNN Low Ratings,CNN,MSNBC,Rumble,Free Speech,Pro Gun,2 Genders",23,600,0
Foreign Invaders Are Destroying The US From Within & Attending Nikki Haley's Dallas Rally!,2024-02-20T16:18:16Z,PT1H12M56S,79504,4664,N/A,StevenCrowder,UCIveFvW-ARp_B_RckhweNJw,"A Professor at Harvard did a study on police bias showing that the entire BLM movement is based on a lie, we sent a team to Nikki Haley's Dallas rally, also foreign nationals working on American election commissions, and more! 

GUEST: Josh Firestine 

Today's sources https://www.louderwithcrowder.com/sources-february-20-2024

Join MugClub to watch this show every day! http://louderwithcrowder.com/mugclub

NEW MERCH! https://officialcrowdershop.com/ 

Subscribe to my podcast: https://rss.com/podcasts/louder-with-crowder/

FOLLOW ME:
Website: https://louderwithcrowder.com
Twitter: https://twitter.com/scrowder
Instagram: http://www.instagram.com/louderwithcrowder
Facebook: https://www.facebook.com/stevencrowderofficial

Music by @Pogo","steven crowder,crowder,stephen crowder,louder with crowder,LwC,mug club,Change My Mind,Crowder Confronts,comedy,politics,news,liberal,libertarian,funny conservative,current events,fake news",23,381,0
Putin's Biggest Rival Alexei Navalny Dies in Gulag! Was He Russia's Trump?!,2024-02-19T16:13:33Z,PT50M52S,75061,4192,N/A,StevenCrowder,UCIveFvW-ARp_B_RckhweNJw,"We’re highlighting the double standard of Friday’s $355M Fraud ruling against President Trump, we’ve got the whole story on longtime Putin critic Alexei Navalny who recently died in a Siberian prison colony, how the American Left falsely equates Trump to Putin, and more! 

GUEST: Josh Firestine

Sources https://www.louderwithcrowder.com/sources-february-19-2024 

NEW MERCH! https://officialcrowdershop.com/ 

Subscribe to my podcast: https://rss.com/podcasts/louder-with-crowder/

FOLLOW ME:
Website: https://louderwithcrowder.com
Twitter: https://twitter.com/scrowder
Instagram: http://www.instagram.com/louderwithcrowder
Facebook: https://www.facebook.com/stevencrowderofficial

Music by @Pogo","steven crowder,crowder,stephen crowder,louder with crowder,LwC,mug club,Change My Mind,Crowder Confronts,comedy,politics,news,liberal,libertarian,funny conservative,current events,fake news",23,565,0
Super Bowl Parade Mass Shooting Cover Up & Putin Claims Biden Better Than Trump!,2024-02-15T16:23:24Z,PT1H15M30S,185019,6941,N/A,StevenCrowder,UCIveFvW-ARp_B_RckhweNJw,"Yesterday, there was a mass shooting at the Kansas City Chief’s victory parade, Russian President Vladimir Putin told a Russian television interviewer he would prefer Joe Biden be America’s President, a Florida Police Officer and his partner shot up a car with an unarmed, handcuffed suspect inside after being spooked by a falling acorn, and more! 

GUEST: Bryan Callen & Josh Firestine

Sources https://www.louderwithcrowder.com/sources-february-15-2024

Join MugClub to watch this show every day! http://louderwithcrowder.com/mugclub

NEW MERCH! https://officialcrowdershop.com/ 

Subscribe to my podcast: https://rss.com/podcasts/louder-with-crowder/

FOLLOW ME:
Website: https://louderwithcrowder.com
Twitter: https://twitter.com/scrowder
Instagram: http://www.instagram.com/louderwithcrowder
Facebook: https://www.facebook.com/stevencrowderofficial

Music by @Pogo","steven crowder,crowder,stephen crowder,louder with crowder,LwC,mug club,Change My Mind,Crowder Confronts,comedy,politics,news,liberal,libertarian,funny conservative,current events,fake news",23,676,0
Mayorkas Impeached & Migrants Are The New Slaves!,2024-02-14T16:25:57Z,PT1H19M30S,71022,4163,N/A,StevenCrowder,UCIveFvW-ARp_B_RckhweNJw,"Alejandro Mayorkas was impeached by House Republicans while Democrats flipped George Santos’ seat! We also discuss RFK Jr’s viral comments on the economics of the Russo-Ukrainian war & our favorite Valentine’s Day couples, and more! 

Guest: Bryan Callen

Today's sources https://www.louderwithcrowder.com/sources-february-14-2024

Join MugClub to watch this show every day! http://louderwithcrowder.com/mugclub

Watch the FREE show on MugClub NOW: 

GET TODAY'S SHOW NOTES with SOURCES: https://www.louderwithcrowder.com/sources/ 

NEW MERCH! https://crowdershop.com/ 

Subscribe to my podcast: https://rss.com/podcasts/louder-with-crowder/

FOLLOW ME:
Website: https://louderwithcrowder.com
Twitter: https://twitter.com/scrowder
Instagram: http://www.instagram.com/louderwithcrowder
Facebook: https://www.facebook.com/stevencrowderofficial

Music by @Pogo","steven crowder,crowder,stephen crowder,louder with crowder,LwC,mug club,Change My Mind,Crowder Confronts,comedy,politics,news,liberal,libertarian,funny conservative,current events,fake news,cleanslate,conservative,conservative comedy,breaking news,ben shapiro,daily wire,trump,liberalism,biden,trump news,crowder bits,republican,liberals,rumble",23,348,0
Dems Plot To Remove Trump Camouflaged in NEWLY PASSED $95B Ukraine Bill!,2024-02-13T16:19:46Z,PT1H14M1S,92079,5295,N/A,StevenCrowder,UCIveFvW-ARp_B_RckhweNJw,"The Senate approved a $95B “National Security Act” bill with a clause to target Trump. Also, here is everything we know so far about the trans Hamas supporter who shot up Joel Osteen’s Lakewood Church on Sunday & Hawaii is restricting gun rights despite the Constitution, and more!

Guest: Josh Firestine

Today's sources https://www.louderwithcrowder.com/sources-february-13-2024

Get the ""Fight Like Hell"" shirt Steven and Gerald are wearing here: https://crowdershop.com/products/fight-like-hell-long-sleeve (edited)

Join MugClub to watch this show every day! http://louderwithcrowder.com/mugclub

Watch the FREE show on MugClub NOW: 

GET TODAY'S SHOW NOTES with SOURCES: https://www.louderwithcrowder.com/sources/ 

NEW MERCH! https://crowdershop.com/ 

Subscribe to my podcast: https://rss.com/podcasts/louder-with-crowder/

FOLLOW ME:
Website: https://louderwithcrowder.com
Twitter: https://twitter.com/scrowder
Instagram: http://www.instagram.com/louderwithcrowder
Facebook: https://www.facebook.com/stevencrowderofficial

Music by @Pogo","steven crowder,crowder,stephen crowder,louder with crowder,LwC,mug club,Change My Mind,Crowder Confronts,comedy,politics,news,liberal,libertarian,funny conservative,current events,fake news,conservative,conservative comedy,breaking news,ben shapiro,daily wire,trump,liberalism,biden,trump news,crowder bits,republican,liberals,us news,joe biden,cnn news,political news,nashville manifesto,rumble,latest news,Trump,Putin,Tucker Carlson,Donald Trump",23,529,0
UPDATE: Chippewa Falls School Responds: Debunking Their Bullsh*t!,2024-02-08T16:10:24Z,PT56M28S,110804,5714,N/A,StevenCrowder,UCIveFvW-ARp_B_RckhweNJw,"Chippewa Falls School District doubled down on its decision not to tell the parents after we leaked the police report. We have major updates for you. Also, Biden is holding Americans hostage over the border crisis. Tune in. 

Guest: Nick Di Paolo 

Sources: https://www.louderwithcrowder.com/sources-february-8-2024

Get the ""Fight Like Hell"" shirt Steven and Gerald are wearing here: https://crowdershop.com/products/fight-like-hell-long-sleeve (edited)

Join MugClub to watch this show every day! http://louderwithcrowder.com/mugclub

Watch the FREE show on MugClub NOW: 

GET TODAY'S SHOW NOTES with SOURCES: https://www.louderwithcrowder.com/sources/ 

NEW MERCH! https://crowdershop.com/ 

Subscribe to my podcast: https://rss.com/podcasts/louder-with-crowder/

FOLLOW ME:
Website: https://louderwithcrowder.com
Twitter: https://twitter.com/scrowder
Instagram: http://www.instagram.com/louderwithcrowder
Facebook: https://www.facebook.com/stevencrowderofficial

Music by @Pogo","steven crowder,crowder,stephen crowder,louder with crowder,LwC,mug club,Change My Mind,Crowder Confronts,comedy,politics,news,liberal,libertarian,funny conservative,current events,fake news,cleanslate,conservative,conservative comedy,breaking news,ben shapiro,daily wire,trump,liberalism,biden,trump news,crowder bits,republican,liberals,us news,joe biden,cnn news,political news,nashville manifesto,rumble,latest news,Jordan,Trump,Putin,Tucker Carlson",23,395,0
EXCLUSIVE: Wisconsin School Covers Up “Columbine” Style Manifesto!,2024-02-07T16:58:39Z,PT1H33M26S,142714,8885,N/A,StevenCrowder,UCIveFvW-ARp_B_RckhweNJw,"BREAKING! Mug Club Undercover has obtained an extremely disturbing police report concerning a manifesto written by a middle schooler in Wisconsin that was hidden from the public, Nikki Haley is a loser in Nevada, and El Salvador’s President Nayib Bukele has transformed the country but how?! Tune in! 

GUEST: Nick Di Paolo 

Sources: https://www.louderwithcrowder.com/sources-february-7-2024","steven crowder,crowder,stephen crowder,louder with crowder,LwC,mug club,Change My Mind,Crowder Confronts,comedy,politics,news,liberal,libertarian,funny conservative,current events,fake news,cleanslate,conservative,conservative comedy,breaking news,ben shapiro,daily wire,trump,liberalism,biden,trump news,crowder bits,republican,liberals,us news,joe biden,cnn news,political news,nashville manifesto,rumble,latest news,Jordan,Trump,Putin,Tucker Carlson",23,854,0
