Title,Published At,Duration,View Count,Like Count,Dislike Count,Channel Title,Channel ID,Description,Tags,Category ID,Comment Count,Favorite Count
Mikaeli Hitting Metal - Day 94,2024-03-03T11:18:14Z,PT1M,42457,3627,N/A,Adrian Gray Comedy,UCvulgQYQPPUMwCs7tKMXO0g,"Mikaeli, you successfully hit metal 17 times, so, you are now proud owner of this: photograph of motorcar.",,23,118,0
Mikaeli Hitting Metal (Day 89-93),2024-02-27T14:38:34Z,PT1M,38307,2320,N/A,Adrian Gray Comedy,UCvulgQYQPPUMwCs7tKMXO0g,"Support the Mikaeli project and receive early access to key files:
https://www.patreon.com/adriangraycomedy
https://ko-fi.com/adriangraycomedy

#mikaeli #comedy #parody",,23,106,0
Mikaeli Hitting Metal (Day 86-88),2024-02-24T10:36:49Z,PT59S,30751,2399,N/A,Adrian Gray Comedy,UCvulgQYQPPUMwCs7tKMXO0g,"Support the Mikaeli project and receive early access to key files:
https://www.patreon.com/adriangraycomedy
https://ko-fi.com/adriangraycomedy

#mikaeli #comedy #parody",,23,93,0
Mikaeli Hitting Metal - Day 82-85,2024-02-20T13:04:28Z,PT45S,69550,5209,N/A,Adrian Gray Comedy,UCvulgQYQPPUMwCs7tKMXO0g,"Support the Mikaeli project and receive early access to key files:
https://www.patreon.com/adriangraycomedy
https://ko-fi.com/adriangraycomedy

#mikaeli #comedy #parody",,23,67,0
Mikaeli Hitting Metal (Day 78-81),2024-02-16T10:46:51Z,PT56S,51158,3630,N/A,Adrian Gray Comedy,UCvulgQYQPPUMwCs7tKMXO0g,"Support the Mikaeli project and receive early access to key files:
https://www.patreon.com/adriangraycomedy
https://ko-fi.com/adriangraycomedy

#mikaeli #comedy #parody",,23,83,0
Mikaeli Hitting Metal (Day 75-77),2024-02-13T11:00:13Z,PT49S,56193,4389,N/A,Adrian Gray Comedy,UCvulgQYQPPUMwCs7tKMXO0g,"Support the Mikaeli project:
https://ko-fi.com/adriangraycomedy
https://www.patreon.com/adriangraycomedy

#mikaeli #comedy #parody",,23,94,0
Mikaeli Hitting Metal (Day 72-74),2024-02-10T13:59:42Z,PT49S,95806,7296,N/A,Adrian Gray Comedy,UCvulgQYQPPUMwCs7tKMXO0g,"Support the Mikaeli project:
https://ko-fi.com/adriangraycomedy
https://www.patreon.com/adriangraycomedy

#mikaeli #comedy #parody",,23,114,0
Mikaeli Hitting Metal Lore (Days 1-71),2024-02-07T13:54:39Z,PT8M50S,146437,12637,N/A,Adrian Gray Comedy,UCvulgQYQPPUMwCs7tKMXO0g,"Every day, for more than a month Mikaeli hit metal 17 times then got arrested for owning a photograph of a motorcar. Then something changed. 

#mikaeli #fairenough #series",,23,577,0
Saddam Hussein has dad energy,2024-01-11T15:16:48Z,PT1M,3192367,260058,N/A,Adrian Gray Comedy,UCvulgQYQPPUMwCs7tKMXO0g,"https://ko-fi.com/adriangraycomedy
https://www.patreon.com/adriangraycomedy

When Saddam Hussein became a father, his vibes changed and people became less afraid of him. 

#history #parody #dubbed #satire",,23,2041,0
Mikaeli Hits Metal 17 Times (Original),2023-12-27T17:03:23Z,PT12S,8290709,448136,N/A,Adrian Gray Comedy,UCvulgQYQPPUMwCs7tKMXO0g,"If my video made you laugh, consider supporting me!
https://www.patreon.com/adriangraycomedy
https://ko-fi.com/adriangraycomedy

#comedy #satire #parody",,23,3217,0
