Title,Published At,Duration,View Count,Like Count,Dislike Count,Channel Title,Channel ID,Description,Tags,Category ID,Comment Count,Favorite Count
What if the Chernobyl Disaster Was Far Worse?,2024-03-01T16:40:44Z,PT20M21S,331175,21026,N/A,AlternateHistoryHub,UClfEht64_NrzHf8Y0slKEjw,"The Chernobyl disaster was a mess, but what if we dial that up to 11? Yes what if we took this already bad event and made it even worse. That is the video. 

Patreon: https://www.patreon.com/AlternateHistoryHub  (To watch, suggest and vote on bonus content videos)
Discord: https://discord.gg/KYAdxWbGEP (Build your own empire.)

Chapters:
Intro: 00:00
Patreon Discord: 00:46
Disaster Day: 03:02
Weeks After : 08:05
Months After: 11:01
Year After: 15:54
Decade After: 18:56","Chernobyl,Chernobyl disaster,Chernobyl alternate history,alternatehistoryhub,what if chernobyl was far worse,chernobyl ussr,chernobyl show,chernobyl radioactive,chernobyl radiation,chernobyl timeline,nuclear meltdown,nuclear disaster,soviet alternate history",27,1557,0
The US State Anthems Tier List (PART 1),2024-02-19T17:25:14Z,PT24M51S,338852,25055,N/A,AlternateHistoryHub,UClfEht64_NrzHf8Y0slKEjw,"🌏 Get exclusive NordVPN deal here ➵  https://NordVPN.com/althist It’s risk free with Nord’s 30 day money-back guarantee!✌

Did you know that US states have anthems? I didn't until like a month ago. And now its taken over my life. Just like national anthems I went down a rabbit hole. To make up for that wasted time, lets talk about them all, and rank them too.

Twitter: https://twitter.com/AltHistoryHub
Patreon: https://www.patreon.com/AlternateHistoryHub
Discord: https://discord.gg/cxFNC6BV

State Song Playlist: https://youtube.com/playlist?list=PL7DTipO5UGUuNgNU1XqVv98TrXhAJ_FlK&si=CZuBdbbjsguIGDGO

Rick Pickren Songs: https://www.youtube.com/playlist?list=PLW3cmwVtglbX6PuAGAw1siLtI5vsGmaOE

Music MIDI by Tyler of Whimsu: https://www.youtube.com/@UCvg_4SPPEZ7y4pk_iB7z6sw 

Special Thanks to DN Anthems for collecting these songs. https://www.youtube.com/@UC-g2Rb_rM1j6fj0H23lEiXg 

Chapters:

00:00 Intro
01:05 Alabama
02:30 Alaska
03:34 Arizona
04:08 Arkansas
06:11 California
07:10 Colorado
08:00 Connecticut 
09:05 Delaware
09:38 Florida
11:17 Georgia
12:22 Hawaii
12:47 Idaho
13:12 Illinois
13:45 Indiana
14:29 Iowa
15:10 Kansas
16:10 Kentucky
16:34 Louisiana
17:35 Maine
18:11 Maryland
19:22 Michigan
21:05 Minnesota
21:39 Mississippi 
22:44 Conclusion",,27,3348,0
What if the Mongol Empire Never Existed?,2024-02-09T15:47:09Z,PT22M46S,386065,28344,N/A,AlternateHistoryHub,UClfEht64_NrzHf8Y0slKEjw,"The Mongol Empire transformed the world. It was all started by one man. So what if that man had lost early on? What would the world look like? This is one scenario. 

Sign up for a 14-day free trial and enjoy all the amazing features MyHeritage has to offer.  https://bit.ly/AlternateHistoryHub_MH

Support the channel and watch/vote for exclusive bonus full videos: https://www.patreon.com/AlternateHistoryHub/membership

Join the discord community and create your dream state : https://discord.gg/aRE5D746jE","AlternateHistoryHub,alternate history,what if genghis khan didnt exist,no mongol empire,mongol empire,mongol history,mongol alternate history,mongol alternate history hub,no genghis khan,what if genghis died young,what if genghis khan never existed,what if the mongol empire never existed,mongol empire alternate history",27,1538,0
What if Cortez Lost to the Aztecs?,2024-01-07T20:10:38Z,PT21M29S,429215,26287,N/A,AlternateHistoryHub,UClfEht64_NrzHf8Y0slKEjw,"Download Warpath today using code SNIPER24: https://bit.ly/AFKAlternateHistoryHub
And join the Warpath Tank Tower 2 mini-game: https://tanktower2-warpath.lilith.com/

When Cortez came across the Aztecs, it was a clash between two worlds. And Cortez's won. But what if he didn't. What if the Aztecs beat the Spanish and held on? How drastically would this have changed colonization in Latin America. Would there be Latin America?

Twitter: https://twitter.com/AltHistoryHub
Instagram: www.instagram.com/althisthub
Facebook: www.facebook.com/alternatehistoryhub 

Chapters:
Intro: 00:00
Pondering: 02:03
Prophecy: 04:54
The Aztecs:  06:41
The Columbian Exchange: 10:36
Spain Comes Back?: 11:30
Charles V: 12:54
Privateers: 16:01
Scramble: 19:20","What if Cortez Lost to the Aztecs?,Cortez,Aztecs,Spanish Empire,Conquistadors,Cortez and Aztecs,What if Cortez Lost,What if the Aztecs won,aztecs win,AlternateHistoryHub,alternate history,alternate history cortez,alternate history aztecs",27,1935,0
The Time Napoleon Almost Exploded on Christmas,2023-12-14T17:22:42Z,PT7M59S,221563,18049,N/A,AlternateHistoryHub,UClfEht64_NrzHf8Y0slKEjw,"On Christmas Eve 1800, Napoleon took a ride through Paris. And then something exploded. This is the tale of how Napoleon narrowly escaped a grim fate before he even led his armies across Europe. 

Twitter: https://twitter.com/AltHistoryHub

Sources:
https://www.nationalgeographic.co.uk/history-and-civilisation/2019/12/the-christmas-eve-plot-to-blow-up-napoleon

https://www.napoleon-series.org/research/miscellaneous/c_infernal.html

Also check out the book 'Killing Napoleon' by Jonathan North","AlternateHistoryHub,Christmas,Napoleon,Napoleon Christmas,Napoleon Christmas Plot,Napoleon history,French history,Infernal machine plot,funny history,funny napoleon,alternate history hub,alternatehistoryhub napoleon,history christmas,history napoleon,the time napoleon almost exploded on christmas,the time napoleon,napoleon plot,napoleon movie,napoleon ridley scott,napoleon review,napoleon accurate",27,891,0
Altremer: What if the Fourth Crusade Sailed to Egypt?,2023-12-08T16:05:02Z,PT39M13S,128201,8863,N/A,AlternateHistoryHub,UClfEht64_NrzHf8Y0slKEjw,"War Thunder is a highly detailed vehicle combat game containing over 2000 playable tanks, aircraft and ships spanning over 100 years of development. Immerse yourself completely in dynamic battles with an unparalleled combination of realism and approachability.   https://playwt.link/alternatehistoryhub

Altremer is not just the answer to a very interesting “What If” question. It’s an entire world, a branched timeline from our own, in which storytelling collides with beautiful visuals. The big scale geopolitical medieval world blends with personal tales. 

In this grand medieval world of geopolitical intrigue, narratives unfold on both macro and personal scales. Immerse yourself in the compelling tales of over a dozen characters, brought to life by the extraordinary performances of talented voice actors. Their arcs weave a tapestry that stretches from the heart of Paris to the exotic landscapes of Alexandria.

Witness the 13th-century world in a way you've never seen before, meticulously illustrated by a team of five skilled artists. Altremer ventures into uncharted territory, introducing a new genre that pays homage to the best of historical and fantasy storytelling.

For bonus mini-episodes, behind the scenes and outtakes, a vibrant card collection, cast member interviews and more join our Patreon: https://www.patreon.com/Altremer 

For memes, news and sneak peaks make sure to check out our socials: 
Facebook: https://www.facebook.com/alternatehistoryhub/
Instagram: https://www.instagram.com/AltHistHub

Featured Channels For This Episode

Animation: Toni Kamran: https://www.youtube.com/@historyrhymes1701
Animation. Machinima and Philip II: Terminator: https://www.youtube.com/@TheTerminatorGaming
Original music and Blanche: Merrigan: https://www.youtube.com/@Merriganmusic
Louis of Blois: https://www.youtube.com/@ThePacificWarChannel","Altremer,Altremer AlternateHistoryHub,AlternateHistoryHub,history fantasy,history campaign,altremer story,what if the fourth crusade sailed to egypt,history,alternate history,fourth crusade,what if the fourth crusade succeeded,fourth crusade succeeded,medieval,medieval fantasy,medieval rpg,byzantium,constantinople,role playing game,chivalry II,altremer series,alternate history altremer",27,591,0
The Crusade That Could Have Destroyed the Ottomans,2023-12-02T14:32:43Z,PT21M5S,410554,25998,N/A,AlternateHistoryHub,UClfEht64_NrzHf8Y0slKEjw,"In 1444 there was a clash at Varna that could have changed the course of European history. Might have saved an empire. Might have ruined another. Yet in our time it only solidified the Ottomans. What if it had gone another way?

Buckle up, because while the regular type of content will remain unchanged  a new wave of content that we have tirelessly worked for is coming:

Altremer: A 10-episode alternative history narrative centered around the fourth crusade
Patreon: https://www.patreon.com/Altremer Exclusive access to numerous perks you will find nowhere else
Discord: A thriving community featuring contests, watch parties, quiz nights, alternative history roleplay, debate shows, writing contests and live shows!
Facebook and Instagram social media for funny memes and special interactions

Instagram (https://www.instagram.com/AltHistHub) Facebook (https://www.facebook.com/alternatehistoryhub)

Chapters:

00:00 Intro
01:17 Altremer
04:25 The Ottomans In A Pickle
09:24 Europe Getting Stronger
13:45 A Stalemate
14:54 The Battle
17:27 What if It Went the Other Way?","1444,The Crusade That Could Have Destroyed the Ottomans,Crusade Ottomans,AlternateHistoryHub,Battle of Varna,Varna 1444,Varna Alternate history,Ottoman history,Ottoman Empire,Ottomans,Balkans,Ottoman alternate history,Altremer,Crusade Destroyed Ottomans,Poland,Polish history,Byzantine history,alternate history crusades,crusade history,Mehmed II,Fall of Constantinople",27,1172,0
What if Quebec Had Voted For Independence?,2023-11-29T19:17:11Z,PT19M31S,589109,30762,N/A,AlternateHistoryHub,UClfEht64_NrzHf8Y0slKEjw,"🌏 Get exclusive NordVPN deal here ➵  https://NordVPN.com/althist It’s risk free with Nord’s 30 day money-back guarantee!✌

Quebec. A French state in an English world. Quebec has often wished to go its own way, and it almost did in 1995. But then they didnt. So what if they had voted to leave? Probably would have caused a lot of headaches. 

Twitter: https://twitter.com/AltHistoryHub
Patreon: https://www.patreon.com/AlternateHistoryHub

Edited by: Martin Stamatov","Quebec,Quebec Independence,What if Quebec Was Independent?,What if Quebec Had Voted For Independence?,quebec was independent,independent quebec,quebec seperation canada,quebec 1995 vote,quebec alternate history,alternatehistoryhub,alternatehistoryhub quebec,canada,canada alternate history,canada and quebec",27,5822,0
The Most Underrated Era in History (In My Opinion),2023-10-20T17:26:51Z,PT16M38S,1699813,78095,N/A,AlternateHistoryHub,UClfEht64_NrzHf8Y0slKEjw,"Use code althist at https://incogni.com/althist to get an exclusive 60% off an annual Incogni plan.

Everyone has their favorite period in history. Mine happens to be a period not too long ago. But everyone dressed really weird so I think we all collectively agreed to forget. The early modern period. A time when Poland was a superpower. The Ottomans ruled half the Mediterranean. And the Holy Roman Empire was, existing...barely.

Twitter: https://twitter.com/AltHistoryHub
Patreon: https://www.patreon.com/AlternateHistoryHub

SandRhomanHistory: https://www.youtube.com/c/SandRhomanHistory
PancreasNoWork: https://www.youtube.com/@pancreasnowork9939","Alternatehistoryhub,alternate history,pike and shot,early modern period,shakespeare,the most underrated era in history,underrated era,alternate history hub underrated,pilgrims,pointlesshub,national anthems",27,5976,0
The Weirdo Who Made the First Media Empire,2023-09-30T20:26:14Z,PT26M11S,410870,21958,N/A,AlternateHistoryHub,UClfEht64_NrzHf8Y0slKEjw,"🌏 Get exclusive NordVPN deal here ➵  https://NordVPN.com/althist It’s risk free with Nord’s 30 day money-back guarantee!✌

There once was a rich man who was so weird they made a movie about him. That movie was Citizen Kane. I am not kidding. This is the story of William Hearst. A early media mogul and absolute weirdo. 

Twitter: https://twitter.com/AltHistoryHub

Edited by Tyler Franklin
https://www.youtube.com/@UC2_KC8lshtCyiLApy27raYw 
https://www.youtube.com/@UCvg_4SPPEZ7y4pk_iB7z6sw","hearst,citizen kane,the weirdo who made the first media empire,media empire,media,yellow journalism,william hearst,william randolph hearst,alternatehistoryhub,alternate history,history of hearst,uss maine,alternate history hub,pointlesshub",27,780,0
