Title,Published At,Duration,View Count,Like Count,Dislike Count,Channel Title,Channel ID,Description,Tags,Category ID,Comment Count,Favorite Count
Netflix's Avatar Got Zuko Right (And Not Much Else),2024-02-29T23:01:26Z,PT13M3S,106581,5087,N/A,captainmidnight,UCROQqK3_z79JuTetNP3pIXQ,"This video is sponsored by Ground News. Compare news coverage. Spot media bias. Avoid algorithms. Try Ground News today and get 40% off your subscription by going to https://ground.news/captainmidnight
The Netflix Avatar: The Last Airbender show is out and it is a very mixed bag. In this video I go over where the show went from with Aang, Katara and Sokka while also going over what I like about Zuko, Iroh and the Fire Nation cast.
Music by Epidemic Sound (http://www.epidemicsound.com)
Follow me on Twitter: https://twitter.com/midnightcap
Follow me on Facebook: https://www.facebook.com/midnightcap
Special thanks to Andrew Elliott (Stalli111: https://www.youtube.com/user/Stalli111  ) for editing this video.","Avatar,Avatar The Last Airbender,The Last Airbender,ATLA,Netflix,Review,Zuko,Iroh,Aang,Katara,Sokka,Captain Midnight,captainmidnight",22,703,0
Madame Web is Awful For The Marvel Cinematic Universe,2024-02-26T22:30:52Z,PT10M45S,265020,11085,N/A,captainmidnight,UCROQqK3_z79JuTetNP3pIXQ,"This video is sponsored by Nebula. Get a GREAT deal on Nebula now: https://go.nebula.tv/captainmidnight
Watch Taboo on Screen: https://nebula.tv/taboo?ref=captainmidnight
Sony's Spider-Man Universe is impacting Disney/Marvel's MCU plan to mostly take 2024 off in ways that ways that we may not fully understand yet. Will Dakota Johnson's Madame Web make the MCU's reputation worse, despite not being an MCU movie?
Music by Epidemic Sound (http://www.epidemicsound.com)
Follow me on Twitter: https://twitter.com/midnightcap
Follow me on Facebook: https://www.facebook.com/midnightcap
Special thanks to Andrew Elliott (Stalli111: https://www.youtube.com/user/Stalli111  ) for editing this video.","Madame Web,MCU,Marvel,Sony,Dakota Johnson,2024,Movies,Marvel Cinematic Universe,Review,Commentary,Disney,Captain MIdnight,captainmidnight",22,1240,0
Madame Web is a Trainwreck,2024-02-16T20:56:00Z,PT12M31S,486281,19309,N/A,captainmidnight,UCROQqK3_z79JuTetNP3pIXQ,"This video is sponsored by Brilliant. Go to https://brilliant.org/Midnight/ and sign up for free 30 day trial, the first 200 people that go to that link will get 20% off the annual Premium subscription.
Madame Web is a terrible movie. In this video, I go over my thoughts on Dakota Johnson's performance, the baffling plot, Morbius, and so much more. Sony. Please Stop.
Music by Epidemic Sound (http://www.epidemicsound.com)
Follow me on Twitter: https://twitter.com/midnightcap
Follow me on Facebook: https://www.facebook.com/midnightcap
Special thanks to Andrew Elliott (Stalli111: https://www.youtube.com/user/Stalli111  ) for editing this video","Madame Web,Review,Sony,Marvel,Dakota Johnson,Spider-Man,Spiderman,MCU,Captain Midnight,captainmidnight,Uncle Ben,Ben Parker,Sydney Sweeney,commentary",22,1581,0
Disney's Percy Jackson Hates Action,2024-02-09T22:26:44Z,PT11M25S,112684,5738,N/A,captainmidnight,UCROQqK3_z79JuTetNP3pIXQ,"This video is sponsored by Incogni. Use code CAPTAINMIDNIGHT at the link below to get an exclusive 60% off an annual Incogni plan: https://incogni.com/captainmidnight
The new Percy Jackson and the Olympians on Disney Plus does a lot right, from making Luke a better character than the movies did, to having some fun material for Grover and the others. But where it falls flat on its face is the action and suspense. In this video, I go over why.
Music by Epidemic Sound (http://www.epidemicsound.com)
Follow me on Twitter: https://twitter.com/midnightcap
Follow me on Facebook: https://www.facebook.com/midnightcap
Special thanks to Andrew Elliott (Stalli111: https://www.youtube.com/user/Stalli111  ) for editing this video","Percy Jackson,Percy Jackson and the Olympians,Disney+,Disney Plus,Captain Midnight,captainmidnight,Walker Scobell,Review,Commentary,The Lightning Thief,Luke,Annabeth,Grover,Disney",22,810,0
"The Beauty of Star Trek's Most Low-Key Episode - TNG's ""Family""",2024-01-31T23:16:48Z,PT11M58S,41652,1551,N/A,captainmidnight,UCROQqK3_z79JuTetNP3pIXQ,"This video is sponsored by NordVPN. Check it out at https://nordvpn.com/captainmidnight
Star Trek: The Next Generation is a generally a fantastic action series, but in season 4's ""Family"", TNG took a different approach. This episode sees Picard return home to France and visit his brother. I go over why I love this episode SO much.
Music by Epidemic Sound (http://www.epidemicsound.com)
Follow me on Twitter: https://twitter.com/midnightcap
Follow me on Facebook: https://www.facebook.com/midnightcap
Special thanks to Andrew Elliott (Stalli111: https://www.youtube.com/user/Stalli111  ) for editing this video","Star Trek,TNG,The Next Generation,Family,Season 4,S4,Picard,Borg,Best of Both Worlds,best episode,Redlettermedia,Review,analysis",22,147,0
I'm Worried About Netflix's Avatar: The Last Airbender,2024-01-26T23:04:57Z,PT9M2S,85619,4888,N/A,captainmidnight,UCROQqK3_z79JuTetNP3pIXQ,"This video is sponsored by Brilliant. Go to https://brilliant.org/Midnight/ and sign up for free 30 day trial, the first 200 people that go to that link will get 20% off the annual Premium subscription.
Let's talk about a trailer! Netflix's latest animated adaptation is about to release, a new version of Nickelodeon's classic Avatar: The Last Airbender. I go over Aang, Sokka and the rest of the gang.
My The Last Airbender (2010) review: https://www.youtube.com/watch?v=NBmu43feIM4&t=3s&ab_channel=captainmidnight
Music by Epidemic Sound (http://www.epidemicsound.com)
Follow me on Twitter: https://twitter.com/midnightcap
Follow me on Facebook: https://www.facebook.com/midnightcap
Special thanks to Andrew Elliott (Stalli111: https://www.youtube.com/user/Stalli111  ) for editing this video","Avatar,TLA,The Last Airbender,Netflix,Nickelodeon,Aang,Katara,Zuko,Sokka,Captain Midnight,captainmidnight",22,1126,0
What Happened to Peter Jackson?,2024-01-19T21:38:58Z,PT10M10S,256510,8934,N/A,captainmidnight,UCROQqK3_z79JuTetNP3pIXQ,"Peter Jackson has had an interesting career post-Lord of the Rings, but not the one many expected him to have. So what happened? In this video, I go over why he didn't become the next James Cameron or Spielberg.
Music by Epidemic Sound (http://www.epidemicsound.com)
Follow me on Twitter: https://twitter.com/midnightcap
Follow me on Facebook: https://www.facebook.com/midnightcap
Special thanks to Andrew Elliott (Stalli111: https://www.youtube.com/user/Stalli111  ) for editing this video","Peter Jackson,Lord of the Rings,Fellowship of the Ring,Two Towers,Return of the King,The Hobbit,Get Back,analysis,review,commentary",22,942,0
Netflix Won The Streaming Wars,2023-12-29T19:51:36Z,PT11M29S,445716,13650,N/A,captainmidnight,UCROQqK3_z79JuTetNP3pIXQ,"This video is sponsored by Nebula. Get a GREAT deal on Nebula now: https://go.nebula.tv/captainmidnight
https://nebula.tv/videos/patrickhwillems-star-wars-holiday-special?ref=captainmidnight
Netflix has been fending off Disney Plus, Max, Peacock and more for years now. But it is really looking like they cannot be knocked off their perch.
Music by Epidemic Sound (http://www.epidemicsound.com)
Follow me on Twitter: https://twitter.com/midnightcap
Follow me on Facebook: https://www.facebook.com/midnightcap
Special thanks to Andrew Elliott (Stalli111: https://www.youtube.com/user/Stalli111  ) for editing this video","Netflix,streaming,Disney,Disney+,Max,New Netflix,TV,shows,trailers,Peacock,Paramount,Hulu,streaming wars",22,1651,0
Marvel Dialogue HAS to Change,2023-12-23T00:03:54Z,PT11M10S,265345,11294,N/A,captainmidnight,UCROQqK3_z79JuTetNP3pIXQ,"This video is sponsored by Givewell. Go to https://www.givewell.org/ pick YouTube and enter ""captainmidnight""
Well into Phase Five, the MCU needs a change. They've used the same style of dialogue for so long now, is it time for something new? I argue that, yeah, probably!
Music by Epidemic Sound (http://www.epidemicsound.com)
Follow me on Twitter: https://twitter.com/midnightcap
Follow me on Facebook: https://www.facebook.com/midnightcap
Special thanks to Andrew Elliott (Stalli111: https://www.youtube.com/user/Stalli111  ) for editing this video","Marvel,MCU,Iron Man,Joss Whedon,Phase 5,Phase 4,captain midnight,captainmidnight,Disney,Kang,Avengers,Secret Wars,Godzilla,Minus One",22,892,0
The Uncertain Future of A24,2023-12-11T17:02:03Z,PT8M37S,203391,10348,N/A,captainmidnight,UCROQqK3_z79JuTetNP3pIXQ,"This video is sponsored by Adam and Eve. Go to AdamandEve.com and use code MIDNIGHT to get 50% 1 item and free shipping in the US and Canada, some exclusions apply.
A24 has produced some of the most daring movies of the last decade, but they're looking to change the way they operate. In this video, I go over some of the grim realities of trying to make money in movies.
Music by Epidemic Sound (http://www.epidemicsound.com)
Follow me on Twitter: https://twitter.com/midnightcap
Follow me on Facebook: https://www.facebook.com/midnightcap
Special thanks to Andrew Elliott (Stalli111: https://www.youtube.com/user/Stalli111  ) for editing this video","A24,Captain Midnight,captainmidnight,movies,film",22,653,0
