Title,Published At,Duration,View Count,Like Count,Dislike Count,Channel Title,Channel ID,Description,Tags,Category ID,Comment Count,Favorite Count
Honestly whoever did it should just own up,2024-02-26T18:00:22Z,PT49S,1574529,129555,N/A,Dude Perfect,UCRijo3ddMTht_IHyNSNXpNQ,,"dude perfect,dude perfect stereotypes,dude perfect water bottle flip,bottle flip,water bottle flip,dude perfect bottle flip,dude perfect basketball,dp,dude perfect world record,edition,nerf,trick shots,trick shot,family,ping pong,bowling,clean,family friendly,bubble wrap,soccer,football,spinner,spinners,fidget spinners,dude",17,813,0
Office Stereotypes | Dude Perfect,2024-02-24T15:00:01Z,PT13M18S,4292205,136036,N/A,Dude Perfect,UCRijo3ddMTht_IHyNSNXpNQ,"Office Stereotypes… Love ‘em or hate ‘em, we all know ‘em!
Big candy bowl game changer. Get your REESE'S Big Cup with Caramel.
https://www.hersheyland.com/reeses

► Thanks for subscribing! - http://bit.ly/SubDudePerfect

NEXT LEVEL STUFF 
-------------------------------------------
🎒 NEW Merch - http://bit.ly/DPStore
📱 Text us - (469) 205-7005
🔔 Hit the bell next to Subscribe so you don't miss a video!
👨🏻‍💻 Watch our newest vids! - http://bit.ly/NewDPVids
📕 Read our Book - ""101 Tips, Tricks and Cool Stuff"" - https://bit.ly/NewDPBook

Follow our Instagrams so we can be best friends 
-------------------------------------------
🏆 http://Instagram.com/DudePerfect
🧔🏻 http://Instagram.com/TylerNToney
👱🏻‍♂️ http://Instagram.com/Cody_Jones_
🙋🏻‍♂️ http://Instagram.com/CobyCotton
👨‍🦰 http://Instagram.com/GarrettHilbert
⛹🏻‍♂️ http://Instagram.com/CoryCotton
-------------------------------------------
Bonus points if you're still reading this! 
Comment: What stereotype should we do next?

Click here to learn more about Dude Perfect:
http://bit.ly/AboutDudePerfect

As always...Go Big and God Bless!
- Your friends at Dude Perfect

Business or Media, please contact us at: 
Dude@DudePerfect.com

------------

5 Best Friends and a Panda.
If you like Sports + Comedy, come join the Dude Perfect team!

Best known for trick shots, stereotypes, battles, bottle flips, ping pong shots and all-around competitive fun, Dude Perfect prides ourselves in making the absolute best family-friendly entertainment possible! Welcome to the crew! 

Pound it 👊🏻 Noggin 🙇🏻‍♂️ 
- Dude Perfect","dude perfect,dude perfect stereotypes,dude perfect water bottle flip,bottle flip,water bottle flip,dude perfect bottle flip,dude perfect basketball,dp,dude perfect world record,edition,nerf,trick shots,trick shot,family,ping pong,bowling,clean,family friendly,bubble wrap,soccer,football,spinner,spinners,fidget spinners,dude,rage monster,office,Reeses,work,intern,meeting,undercover boss,company",17,3231,0
Medieval Battle,2024-02-10T14:59:43Z,PT14M28S,3159436,96476,N/A,Dude Perfect,UCRijo3ddMTht_IHyNSNXpNQ,"Jousting, turkey legs, weapons and more! Which dude will be knighted to be the new hand of the king?  ► Thanks for subscribing! - http://bit.ly/SubDudePerfect
► Watch behind the scenes on the DP App: https://app.dudeperfect.com/download

Thank you to everyone at Scarborough Renaissance Festival for letting us film at their location. If you want to learn more about the Scarborough Renaissance Festival or what they have to offer please visit: https://www.srfestival.com/

NEXT LEVEL STUFF 
-------------------------------------------
🎒 NEW Merch - http://bit.ly/DPStore
📱 Text us - (469) 205-7005
🔔 Hit the bell next to Subscribe so you don't miss a video!
👨🏻‍💻 Watch our newest vids! - http://bit.ly/NewDPVids
📕 Read our Book - ""101 Tips, Tricks and Cool Stuff"" - https://bit.ly/NewDPBook

Follow our Instagrams so we can be best friends 
-------------------------------------------
🏆 http://Instagram.com/DudePerfect
🧔🏻 http://Instagram.com/TylerNToney
👱🏻‍♂️ http://Instagram.com/Cody_Jones_
🙋🏻‍♂️ http://Instagram.com/CobyCotton
👨‍🦰 http://Instagram.com/GarrettHilbert
⛹🏻‍♂️ http://Instagram.com/CoryCotton
-------------------------------------------
Bonus points if you're still reading this! 
Comment: What era should be battle in next?

Click here to learn more about Dude Perfect:
http://bit.ly/AboutDudePerfect

As always...Go Big and God Bless!
- Your friends at Dude Perfect

Business or Media, please contact us at: 
Dude@DudePerfect.com

------------

5 Best Friends and a Panda.
If you like Sports + Comedy, come join the Dude Perfect team!

Best known for trick shots, stereotypes, battles, bottle flips, ping pong shots and all-around competitive fun, Dude Perfect prides ourselves in making the absolute best family-friendly entertainment possible! Welcome to the crew! 

Pound it 👊🏻 Noggin 🙇🏻‍♂️ 
- Dude Perfect","dude perfect,dude perfect stereotypes,dude perfect water bottle flip,bottle flip,water bottle flip,dude perfect bottle flip,dude perfect basketball,dp,dude perfect world record,edition,nerf,trick shots,trick shot,family,ping pong,bowling,clean,family friendly,bubble wrap,soccer,football,spinner,spinners,fidget spinners,dude,knights,king,dragon,horse,medieval,jousting,bow and arrow,sword,archery,mideval,battle,ty,wins,2024",17,2540,0
Which level took the longest?? 🏈,2024-02-01T15:48:03Z,PT43S,6279006,366451,N/A,Dude Perfect,UCRijo3ddMTht_IHyNSNXpNQ,,,17,1868,0
We Put a Rocket in a Football,2024-01-20T15:00:47Z,PT14M9S,6447498,151582,N/A,Dude Perfect,UCRijo3ddMTht_IHyNSNXpNQ,"Throwing footballs… with ROCKETS INSIDE!
Download the DP APP to watch the behind the scenes of how we pulled it off! ► https://app.dudeperfect.com/download
► Thanks for subscribing! - http://bit.ly/SubDudePerfect

Music: ""Rev It Up""
Click HERE to listen to ‘Rev It Up’ by Tryhard Society and Alive City ► https://hypeddit.com/alivecitytryhardsociety/revitup
Click HERE to for more music by ‘Alive City’ & ‘Tryhard Society' ►  https://linktr.ee/AliveCityTryhardSociety

NEXT LEVEL STUFF 
-------------------------------------------
🎒 NEW Merch - http://bit.ly/DPStore
📱 Text us - (469) 205-7005
🔔 Hit the bell next to Subscribe so you don't miss a video!
👨🏻‍💻 Watch our newest vids! - http://bit.ly/NewDPVids
📕 Read our Book - ""101 Tips, Tricks and Cool Stuff"" - https://bit.ly/NewDPBook

Follow our Instagrams so we can be best friends 
-------------------------------------------
🏆 http://Instagram.com/DudePerfect
🧔🏻 http://Instagram.com/TylerNToney
👱🏻‍♂️ http://Instagram.com/Cody_Jones_
🙋🏻‍♂️ http://Instagram.com/CobyCotton
👨‍🦰 http://Instagram.com/GarrettHilbert
⛹🏻‍♂️ http://Instagram.com/CoryCotton
-------------------------------------------
“Rev It Up”
Performed by Tryhard Society and Alive City
Written by Zachary Thomas Schossau, Madaline Joy Schossau, and Edward John McCormick
© CD Baby Alpha (ASCAP)
-------------------------------------------
Bonus points if you're still reading this! 
Comment: Should we try other Rocket Sports?

Thanks for watching #RocketFootballBattle

Click here to learn more about Dude Perfect:
http://bit.ly/AboutDudePerfect

As always...Go Big and God Bless!
- Your friends at Dude Perfect

Business or Media, please contact us at: 
Dude@DudePerfect.com

------------

5 Best Friends and a Panda.
If you like Sports + Comedy, come join the Dude Perfect team!

Best known for trick shots, stereotypes, battles, bottle flips, ping pong shots and all-around competitive fun, Dude Perfect prides ourselves in making the absolute best family-friendly entertainment possible! Welcome to the crew! 

Pound it 👊🏻 Noggin 🙇🏻‍♂️ 
- Dude Perfect","dude perfect,dude perfect stereotypes,dude perfect water bottle flip,bottle flip,water bottle flip,dude perfect bottle flip,dude perfect basketball,dp,dude perfect world record,edition,nerf,trick shots,trick shot,family,ping pong,bowling,clean,family friendly,bubble wrap,soccer,football,spinner,spinners,fidget spinners,dude,rocket,200,yards,super,far,throw,attatched,zorb,liquid,mythbusters,solid,challenge,funny,friendly,competition,cory,fail",17,3118,0
INSANE ROCKET FOOTBALL THROW 🤯🚀,2024-01-09T01:32:07Z,PT27S,2649031,150433,N/A,Dude Perfect,UCRijo3ddMTht_IHyNSNXpNQ,,,17,749,0
this stuff is CRAZY 🤯,2024-01-07T20:13:21Z,PT35S,10455138,403920,N/A,Dude Perfect,UCRijo3ddMTht_IHyNSNXpNQ,,,17,1039,0
Pet Stereotypes,2024-01-06T15:00:03Z,PT9M45S,5499919,149641,N/A,Dude Perfect,UCRijo3ddMTht_IHyNSNXpNQ,"Pet Stereotypes. Love 'em or hate 'em, we all know em!
To watch our bloopers and deleted scenes be sure to download the FREE Dude Perfect App ► https://app.dudeperfect.com/download

► Thanks for subscribing! - http://bit.ly/SubDudePerfect

NEXT LEVEL STUFF 
-------------------------------------------
🎒 NEW Merch - http://bit.ly/DPStore
📱 Text us - (469) 205-7005
🔔 Hit the bell next to Subscribe so you don't miss a video!
👨🏻‍💻 Watch our newest vids! - http://bit.ly/NewDPVids
📕 Read our Book - ""101 Tips, Tricks and Cool Stuff"" - https://bit.ly/NewDPBook

Follow our Instagrams so we can be best friends 
-------------------------------------------
🏆 http://Instagram.com/DudePerfect
🧔🏻 http://Instagram.com/TylerNToney
👱🏻‍♂️ http://Instagram.com/Cody_Jones_
🙋🏻‍♂️ http://Instagram.com/CobyCotton
👨‍🦰 http://Instagram.com/GarrettHilbert
⛹🏻‍♂️ http://Instagram.com/CoryCotton
-------------------------------------------
Bonus points if you're still reading this! 
Comment: What stereotype should we do next?

Click here to learn more about Dude Perfect:
http://bit.ly/AboutDudePerfect

As always...Go Big and God Bless!
- Your friends at Dude Perfect

Business or Media, please contact us at: 
Dude@DudePerfect.com

------------

5 Best Friends and a Panda.
If you like Sports + Comedy, come join the Dude Perfect team!

Best known for trick shots, stereotypes, battles, bottle flips, ping pong shots and all-around competitive fun, Dude Perfect prides ourselves in making the absolute best family-friendly entertainment possible! Welcome to the crew! 

Pound it 👊🏻 Noggin 🙇🏻‍♂️ 
- Dude Perfect","dude perfect,dude perfect stereotypes,dude perfect water bottle flip,bottle flip,water bottle flip,dude perfect bottle flip,dude perfect basketball,dp,dude perfect world record,edition,nerf,trick shots,trick shot,family,ping pong,bowling,clean,family friendly,bubble wrap,soccer,football,spinner,spinners,fidget spinners,dude,stereotypes,pet,animals,dog,parrot,cat,plant,types of,owners,people,stroller dog,rage,monster",17,3900,0
What was that?!? 🤣🤣 #challenge,2023-12-26T21:32:37Z,PT31S,1964881,90499,N/A,Dude Perfect,UCRijo3ddMTht_IHyNSNXpNQ,,,17,462,0
How did Zach do that?? 🤯🪄,2023-12-22T19:23:12Z,PT23S,1049583,44256,N/A,Dude Perfect,UCRijo3ddMTht_IHyNSNXpNQ,,,17,267,0
