Title,Published At,Duration,View Count,Like Count,Dislike Count,Channel Title,Channel ID,Description,Tags,Category ID,Comment Count,Favorite Count
Main Character Syndrome,2024-03-01T23:54:52Z,PT10M11S,57252,6318,N/A,NEOPUNKFM,UCHQwadnN4MCnMpunnJxZyGQ,"waving these album thumbnails in front of your face like steak to a dog

Performance: Age
Writing: Age
Art: @kid_gokart

JOIN NEOPUNKXM: https://neopunkxm.com/
GET THE SHIRTS: https://neopunkfm.com/
JOIN THE DISCORD: https://neopunkfm.com/discord
Instagram: https://www.instagram.com/neopunkfm",,22,373,0
Chronically Online Music Trivia 2,2024-01-29T02:30:16Z,PT27M58S,83066,5890,N/A,NEOPUNKFM,UCHQwadnN4MCnMpunnJxZyGQ,"when youre in a chronically online music trivia 2 video making competition and your opponent is neopunkfm

JOIN XM: https://neopunkxm.com/
JOIN THE DISCORD: https://neopunkfm.com/discord
Instagram: https://www.instagram.com/neopunkfm

Edit: @maximumjamez
Host: @katharineschulz
Music: Blaconator",,22,358,0
Have Rockstars Stopped Being Cool?,2024-01-20T23:11:19Z,PT15M23S,139788,8293,N/A,NEOPUNKFM,UCHQwadnN4MCnMpunnJxZyGQ,"why dont you ask bob dylan why he sounds just like dewey cox

writing: @kid_gokart
edit: @maximumjamez 

GET OUR DELETED VIDEOS: https://neopunkxm.com/
JOIN THE DISCORD: https://neopunkfm.com/discord
Instagram: https://www.instagram.com/neopunkfm",,22,921,0
The Viper Situation Just Got Way Worse,2024-01-17T23:12:37Z,PT17M56S,177596,6862,N/A,NEOPUNKFM,UCHQwadnN4MCnMpunnJxZyGQ,"ok lets try a more serious one one more time

GET OUR DELETED VIDEOS: https://neopunkxm.com/
JOIN THE DISCORD: https://neopunkfm.com/discord
Instagram: https://www.instagram.com/neopunkfm",,22,989,0
The 2023 Internet Music Awards,2024-01-01T04:21:10Z,PT38M49S,66413,4541,N/A,NEOPUNKFM,UCHQwadnN4MCnMpunnJxZyGQ,"JOIN NEOPUNKXM: https://NeoPunkXM.com
JOIN THE DISCORD: https://neopunkfm.com/discord
Instagram: https://www.instagram.com/neopunkfm

Music by: @Noodlecan, Tim Galvin",,22,363,0
What Is ZoomerGaze?,2023-12-13T20:59:29Z,PT18M41S,198691,13129,N/A,NEOPUNKFM,UCHQwadnN4MCnMpunnJxZyGQ,"its more of a lo-fi, hazy, dreamy, earthy kind of blend

GET MORE OF US: https://neopunkxm.com
JOIN THE DISCORD: https://neopunkfm.com/discord
Instagram: https://www.instagram.com/neopunkfm

Production: Johnny Straightedge
Writing: @h3.witz
Editing: @maximumjamez",,22,1468,0
Chronically Online Music Trivia,2023-11-19T02:32:10Z,PT30M3S,219640,13453,N/A,NEOPUNKFM,UCHQwadnN4MCnMpunnJxZyGQ,"rip to alex tribeck but im different

GET MORE OF US: https://neopunkxm.com
JOIN THE DISCORD: https://neopunkfm.com/discord
Instagram: https://www.instagram.com/neopunkfm",,22,602,0
Black Metal Lyric Or /r/atheism Post?,2023-10-13T23:00:22Z,PT14M13S,315029,24489,N/A,NEOPUNKFM,UCHQwadnN4MCnMpunnJxZyGQ,"lords of gayos

GET THE SHIRTS: https://neopunkfm.com/
JOIN THE DISCORD: https://neopunkfm.com/discord
Instagram: https://www.instagram.com/neopunkfm",,22,1704,0
Is TV Girl Misogynistic?,2023-10-11T00:58:13Z,PT7M29S,403459,23532,N/A,NEOPUNKFM,UCHQwadnN4MCnMpunnJxZyGQ,"We went to see TV Girl live in Charlotte and I think I got CTE. 

I'm gonna start using T before we go to our next big festival and walk around with OBVIOUS gyno you can see thru my shirt 

GET THE SHIRTS: https://neopunkfm.com/
JOIN THE DISCORD: https://neopunkfm.com/discord
Instagram: https://www.instagram.com/neopunkfm",,22,1168,0
Death Grips Fans in 2023,2023-10-06T22:45:24Z,PT20M34S,145331,9027,N/A,NEOPUNKFM,UCHQwadnN4MCnMpunnJxZyGQ,"An interstate double feature of epic proportions. 

who's got more baddies nashville or atlanta

GET THE SHIRTS: https://neopunkfm.com/
JOIN THE DISCORD: https://neopunkfm.com/discord
Instagram: https://www.instagram.com/neopunkfm",,22,717,0
