Title,Published At,Duration,View Count,Like Count,Dislike Count,Channel Title,Channel ID,Description,Tags,Category ID,Comment Count,Favorite Count
Wii U: Downfall of a Downfall (Part II) - Scott The Woz,2024-02-01T01:00:16Z,PT2H24M2S,1587618,44710,N/A,Scott The Woz,UC4rqhyiTs7XyuODcECvuiiQ,"The middle of the end.

Second Channel: @ScottsStash 
Highlights Channel: @ScottsSnippets 

Twitter: https://www.twitter.com/ScottTheWoz
Facebook: https://www.facebook.com/ScottTheWoz/
Instagram: https://www.instagram.com/scottthewoz/

Music Used:
Coming Soon",,20,3136,0
Have a Bootleg Gaming Christmas! - Scott The Woz,2023-12-25T03:00:07Z,PT29M55S,993050,69002,N/A,Scott The Woz,UC4rqhyiTs7XyuODcECvuiiQ,"Scott doesn't know what day it is, so it's the perfect time to celebrate Christmas. Happy Holidays!

Twitter: https://www.twitter.com/ScottTheWoz
Facebook: https://www.facebook.com/ScottTheWoz/
Instagram: https://www.instagram.com/scottthewoz/

Logo Design by
Nico Vliek (https://twitter.com/WhaddupNico)

Original Music by
The 8-Bit Big Band (@The8BitBigBand )
Garrett Williamson (@gwillymusic )
Chapman “Chipper” Hammond (https://www.chapmanhammondmusic.com)

Animation by
Adie Valavanis (https://linktr.ee/adie)
SmashToons (https://twitter.com/TheSmashToons)
CJDestroyah (https://twitter.com/calebharris496)
Addison Fujimoto (https://twitter.com/Addiefuj)
JumpNJetz (https://twitter.com/JumpNJetz)
Spencer G (https://twitter.com/artsyspencerg)
Violet Schofield (https://twitter.com/violxiv)

Music Used:
Coming Soon",,20,3040,0
The Annual Release - Scott The Woz,2023-12-02T01:00:04Z,PT16M35S,900848,62280,N/A,Scott The Woz,UC4rqhyiTs7XyuODcECvuiiQ,"Year? Scott prefers the term, ""That thing Just Dance releases in"".

Second Channel: @ScottsStash 
Highlights Channel: @ScottsSnippets 

Twitter: https://www.twitter.com/ScottTheWoz
Facebook: https://www.facebook.com/ScottTheWoz/
Instagram: https://www.instagram.com/scottthewoz/

Music Used:
Coming Soon",,20,2120,0
Candy Games - Scott The Woz,2023-11-01T01:30:09Z,PT16M43S,703681,46544,N/A,Scott The Woz,UC4rqhyiTs7XyuODcECvuiiQ,"Scott wants to find the true meaning of Halloween. He then proceeds to play M&Ms Blast for Game Boy Advance. Happy Halloween!

Second Channel: @ScottsStash 
Highlights Channel: @ScottsSnippets 

Music by
Chapman “Chipper” Hammond (https://www.chapmanhammondmusic.com/)

Twitter: https://www.twitter.com/ScottTheWoz
Facebook: https://www.facebook.com/ScottTheWoz/
Instagram: https://www.instagram.com/scottthewoz/

Music Used:
Coming Soon",,20,1981,0
Nintendo Switch: Six Years In - Scott The Woz,2023-10-30T00:00:02Z,PT2H9M32S,1900410,53050,N/A,Scott The Woz,UC4rqhyiTs7XyuODcECvuiiQ,"Scott celebrates being one year closer to never having to do this ever again.

Second Channel: @ScottsStash 
Highlights Channel: @ScottsSnippets 

Twitter: https://www.twitter.com/ScottTheWoz
Facebook: https://www.facebook.com/ScottTheWoz/
Instagram: https://www.instagram.com/scottthewoz/

Music Used:
Coming Soon",,20,3393,0
Tears of the Kingdom Isn't Perfect (Spoilers) - Scott The Woz,2023-10-02T02:00:19Z,PT35M37S,882381,52234,N/A,Scott The Woz,UC4rqhyiTs7XyuODcECvuiiQ,"Scott doesn't need credibility, he needs to complain about a Zelda game.

Second Channel: @ScottsStash 
Highlights Channel: @ScottsSnippets 

Twitter: https://www.twitter.com/ScottTheWoz
Facebook: https://www.facebook.com/ScottTheWoz/
Instagram: https://www.instagram.com/scottthewoz/

Music Used:
Coming Soon",,20,5035,0
Pro Controllers - Scott The Woz,2023-09-23T00:00:00Z,PT30M55S,1561128,75378,N/A,Scott The Woz,UC4rqhyiTs7XyuODcECvuiiQ,"Pro-Scott pro-takes pro-a pro-look pro-at pro-pro controllers.

Second Channel: @ScottsStash 
Highlights Channel: @ScottsSnippets 

Twitter: https://www.twitter.com/ScottTheWoz
Facebook: https://www.facebook.com/ScottTheWoz/
Instagram: https://www.instagram.com/scottthewoz/

Music Used:
Coming Soon",,20,3418,0
Store Exclusives - Scott The Woz,2023-09-07T00:45:02Z,PT19M49S,1330983,64992,N/A,Scott The Woz,UC4rqhyiTs7XyuODcECvuiiQ,"Scott can't get Cars on PC at Best Buy and it's another day living on this wretched planet.

Second Channel: @ScottsStash 
Highlights Channel: @ScottsSnippets 

Twitter: https://www.twitter.com/ScottTheWoz
Facebook: https://www.facebook.com/ScottTheWoz/
Instagram: https://www.instagram.com/scottthewoz/

Music Used:
Coming Soon",,20,2980,0
The Childhood Game Collection - Scott The Woz,2023-08-03T00:00:10Z,PT2H17M54S,3904263,88122,N/A,Scott The Woz,UC4rqhyiTs7XyuODcECvuiiQ,"Scott was just gonna talk about I Spy Challenger but decided to throw in some other games as well.

Second Channel: @ScottsStash 
Highlights Channel: @ScottsSnippets 

Twitter: https://www.twitter.com/ScottTheWoz
Facebook: https://www.facebook.com/ScottTheWoz/
Instagram: https://www.instagram.com/scottthewoz/

Music Used:
Coming Soon",,20,8067,0
Wii U: Birth of a Death (Part I) - Scott The Woz,2023-06-02T00:00:01Z,PT1H48M2S,4020595,106590,N/A,Scott The Woz,UC4rqhyiTs7XyuODcECvuiiQ,"The beginning of the end.

Second Channel: @ScottsStash 
Highlights Channel: @ScottsSnippets 

Twitter: https://www.twitter.com/ScottTheWoz
Facebook: https://www.facebook.com/ScottTheWoz/
Instagram: https://www.instagram.com/scottthewoz/

Music Used:
Coming Soon",,20,8162,0
