Title,Published At,Duration,View Count,Like Count,Dislike Count,Channel Title,Channel ID,Description,Tags,Category ID,Comment Count,Favorite Count
Dune Part 2 - Cosmonaut Quickie,2024-03-02T01:13:26Z,PT9M5S,259414,15244,N/A,The Cosmonaut Variety Hour,UCqTYHSnBUXZamsVcOlQf-fg,"🌏 Get exclusive NordVPN deal here ➵ https://NordVPN.com/cosmonaut It’s risk free with Nord’s 30 day money-back guarantee!✌

Patreon: https://www.patreon.com/cosmonautvarietyhour

BUY A SHIRT: https://teespring.com/stores/cosmonaut-variety-merch-store

Twitter: https://twitter.com/cosmovarietyhr",,24,994,0
Cosmonaut Catch-Up 2023,2024-01-31T20:57:17Z,PT51M32S,584024,26341,N/A,The Cosmonaut Variety Hour,UCqTYHSnBUXZamsVcOlQf-fg,"Patreon: https://www.patreon.com/cosmonautvarietyhour

BUY A SHIRT: https://teespring.com/stores/cosmonaut-variety-merch-store

Twitter: https://twitter.com/cosmovarietyhr

0:00 - Intro
1:02 - Nimona
2:07 - Holdovers
4:12 - D&D
5:17 - Poor Things
9:45 - Mando Season 3
12:19 - Kung Fu Panda
14:48 - John Wick
17:46 - TMNT
20:40 - FNAF
24:10 - Creed
26:27 - One Piece Netflix
29:04 - Talk To Me
30:40 - The Killer
31:51 - Godzilla Minus One
36:02 - MCU Power Hour",,24,1695,0
Batman - All Movies Reviewed pt. 2,2024-01-22T18:53:36Z,PT1H19M21S,1187314,57886,N/A,The Cosmonaut Variety Hour,UCqTYHSnBUXZamsVcOlQf-fg,"Use code cosmonaut at https://incogni.com/cosmonaut to get an exclusive 60% off an annual Incogni plan.

Patreon: https://www.patreon.com/cosmonautvarietyhour

BUY A SHIRT: https://teespring.com/stores/cosmonaut-variety-merch-store

Twitter: https://twitter.com/cosmovarietyhr

0:00 - Intro
2:26 - Batman Begins
13:04 - The Dark Knight
24:56 - The Dark Knight Rises
45:59 - Phantasm
50:58 - Killing Joke
54:57 - Lego Batman
58:42 - The Batman
1:12:21 - A New Challenger",,1,4931,0
Batman - All Movies Reviewed pt. 1,2023-12-12T20:03:35Z,PT1H2M12S,1206406,53237,N/A,The Cosmonaut Variety Hour,UCqTYHSnBUXZamsVcOlQf-fg,"Thanks to MANSCAPED for sponsoring today’s video! Get The Performance Package 5.0 Ultra for 20% OFF + Free International Shipping this holiday season with promo code “COSMONAUT” at https://manscaped.com/Cosmonaut

Patreon: https://www.patreon.com/cosmonautvarietyhour

BUY A SHIRT: https://teespring.com/stores/cosmonaut-variety-merch-store

Twitter: https://twitter.com/cosmonautmarcus

0:00 - Intro
2:28 - Batman '66
12:42 - Batman '89
22:00 - Batman Returns
36:13 - Batman Forever
48:38 - Batman and Robin",Batman,1,8848,0
The Highs and Lows of Spider-Man 2 (PS5),2023-10-25T22:28:48Z,PT22M6S,694817,27439,N/A,The Cosmonaut Variety Hour,UCqTYHSnBUXZamsVcOlQf-fg,"Go to https://drinkAG1.com/cosmonaut to get a free one-year supply of AG Vitamin D3+K2, plus five AG1 travel packs with your first purchase of AG1!

Patreon: https://www.patreon.com/cosmonautvarietyhour

BUY A SHIRT: https://teespring.com/stores/cosmonaut-variety-merch-store

Twitter: https://twitter.com/cosmovarietyhr",,20,3263,0
Mortal Kombat (1995) - Cosmonaut Picture Show,2023-09-29T19:37:01Z,PT20M41S,507739,27941,N/A,The Cosmonaut Variety Hour,UCqTYHSnBUXZamsVcOlQf-fg,"Get your own Snack Box Micro at https://junkfoodarcades.com/

Full commentary available on Patreon: https://www.patreon.com/cosmonautvarietyhour

BUY A SHIRT: https://teespring.com/stores/cosmonaut-variety-merch-store

Twitter: https://twitter.com/cosmovarietyhr",,24,1344,0
The Most Boring Transformers Movie So Far,2023-09-18T17:55:18Z,PT26M18S,781824,35905,N/A,The Cosmonaut Variety Hour,UCqTYHSnBUXZamsVcOlQf-fg,"Full commentary tracks can be found on Patreon: https://www.patreon.com/cosmonautvarietyhour

BUY A SHIRT: https://teespring.com/stores/cosmonaut-variety-merch-store

Twitter: https://twitter.com/cosmovarietyhr",,24,2242,0
Ranking EVERY Superhero Movie,2023-08-31T19:10:39Z,PT1H7M2S,1076286,37562,N/A,The Cosmonaut Variety Hour,UCqTYHSnBUXZamsVcOlQf-fg,"🌏 Get exclusive NordVPN deal here ➵ https://NordVPN.com/cosmonaut It’s risk free with Nord’s 30 day money-back guarantee!✌

Patreon: https://www.patreon.com/cosmonautvarietyhour

BUY A SHIRT: https://teespring.com/stores/cosmonaut-variety-merch-store

Twitter: https://twitter.com/cosmovarietyhr",,24,3854,0
Spider-Man Lotus - A Film Born From Spite,2023-08-23T23:48:59Z,PT38M16S,2566624,97635,N/A,The Cosmonaut Variety Hour,UCqTYHSnBUXZamsVcOlQf-fg,"Patreon: https://www.patreon.com/cosmonautvarietyhour

BUY A SHIRT: https://teespring.com/stores/cosmonaut-variety-merch-store

Twitter: https://twitter.com/cosmovarietyhr

0:00 - Intro
1:33 - What is Spider-Man Lotus
4:50 - Review
28:16 - Buffy Time
34:24 - Back to Spider-Man",,24,8458,0
Barbenheimer Double Feature - Cosmonaut Quickie,2023-07-25T01:07:10Z,PT10M26S,574736,31373,N/A,The Cosmonaut Variety Hour,UCqTYHSnBUXZamsVcOlQf-fg,"Use code cosmonaut at https://incogni.com/cosmonaut to get an exclusive 60% off an annual Incogni plan.

Barbenheimer poster by @seanlongmore

Patreon: https://www.patreon.com/cosmonautvarietyhour

BUY A SHIRT: https://teespring.com/stores/cosmonaut-variety-merch-store

Twitter: https://twitter.com/cosmovarietyhr

0:00 - Intro/Ad
2:00 - Oppenheimer
5:55 - Barbie",,1,1914,0
