Title,Published At,Duration,View Count,Like Count,Dislike Count,Channel Title,Channel ID,Description,Tags,Category ID,Comment Count,Favorite Count
"ONE HIT WONDERLAND: ""Relax"" by Frankie Goes to Hollywood",2024-02-25T04:24:25Z,PT22M38S,270094,16913,N/A,Todd in the Shadows,UCaTSjmqzOO-P8HmtVW3t7sA,"Let this wonderful '80s classic soothe you... 
Get Nebula using my link for 40% off an annual subscription! https://nebula.tv/todd-in-the-shadows 
Watch The Ballad of John and Yoko: https://nebula.tv/videos/lindsayellis-the-ballad-of-john-and-yoko?ref=todd-in-the-shadows
Support Todd on Patreon! https://www.patreon.com/toddintheshadows","todd in the shadows,todd's pop song reviews,pop music review",22,2383,0
PODCAST: The Grammys can't stop awarding Taylor Swift... make it stop,2024-02-06T19:03:52Z,PT1H12M37S,77386,1861,N/A,Todd in the Shadows,UCaTSjmqzOO-P8HmtVW3t7sA,"How much more acclaim does one woman need??

Support Todd on Patreon! https://www.patreon.com/toddintheshadows","todd in the shadows,todd's pop song reviews,pop music review",22,752,0
The Top Ten Best Hit Songs of 2023,2024-01-23T20:24:29Z,PT36M21S,480248,27386,N/A,Todd in the Shadows,UCaTSjmqzOO-P8HmtVW3t7sA,"Wait, was this year good actually? 
Get Nebula using my link for 40% off an annual subscription! https://nebula.tv/todd-in-the-shadows 
Watch The Ballad of John and Yoko: https://nebula.tv/videos/lindsayellis-the-ballad-of-john-and-yoko?ref=todd-in-the-shadows
Mashup by DylanGLC: https://www.youtube.com/watch?v=T17erqfqtC8&ab_channel=DylanGLC
Support Todd on Patreon! https://www.patreon.com/toddintheshadows","todd in the shadows,todd's pop song reviews,pop music review,top ten best songs of 2023,top ten song list,top 10 pop songs,2023 top song list,taylor swift best song",10,3512,0
The Top Ten Worst Hit Songs of 2023,2023-12-22T02:49:06Z,PT44M13S,1036909,50283,N/A,Todd in the Shadows,UCaTSjmqzOO-P8HmtVW3t7sA,"Let's leave this wretched year behind. 
Get Nebula using my link for 40% off an annual subscription! https://nebula.tv/todd-in-the-shadows 
Watch Danger Music: https://nebula.tv/dangermusic?ref=todd-in-the-shadows
Support Todd on Patreon! https://www.patreon.com/toddintheshadows","todd in the shadows,todd's pop song reviews,pop music review",10,8795,0
I Fact-Checked The Worst Video Essayist On YouTube,2023-12-04T03:32:16Z,PT1H42M31S,2010039,91501,N/A,Todd in the Shadows,UCaTSjmqzOO-P8HmtVW3t7sA,"A partial debunking of every false claim in fraudulent YouTuber James Somerton's videos.

Timecodes by user @6ViolinRed 
0:00 - Introduction
3:45 - 1. Gay porn invented Skype 
4:45 - 2. J.K. Rowling once said you could magically gender-transition at Hogwarts
5:50 - 3. The reason Hitler murdered Ernst Rohm is because he was fat
6:56 - 4. England had a homophobic propaganda campaign against Italian tourism because Italy was turning their kids gay
9:44 - 5. Disney stole from gay charities
10:34 - 6. Marvel Comics writer Allan Heinberg did a PR blitz to force his editors to let him write gay characters
13:22 - Bonus Claim: Michael Bendis also wasn't allowed to write gay characters
14:51 - 7. Jeffrey Dahmer inspired violent hate mobs
16:47 - 8. The SS was ""teeming with homosexuals""
17:19 - Bonus Claim: The Hitler Youth was also run by homosexuals
18:35 - 9. There was a big outrage about the gay sex scenes in ""Red, White & Royal Blue""
25:38 - 10. The life and death of gay porn star Joey Stefano
29:54 - 11. Tolkien was ""nearly laughed out of"" Oxford because LTOR was ""soft""
30:58 - 12. The record box office for a recent Chinese blockbuster was obviously faked
33:46 - 13. Disney cynically exploited Howard Ashman's death
36:46 - 14. ""Rocky Horror"" saved 20th Century Fox
37:40 - 15. ""Legend of Korra"" was moved to streaming because it was too gay for television
39:10 - 16. ""I Want to Hold Your Hand"" was controversial because any kissing or touching was taboo lyrical content
40:11 - 17. Weird Dahmer fangirls are shipping him with his first victim
42:20 - 18. Disney CEO Bob Iger has a strong pro-gay rights record
46:12 - Bonus Claim: Bob Iger wouldn't let Valkyrie be gay in ""Thor: Ragnarok""
46:50 - 19. The origin of Neil Gaiman and Terry Pratchett's ""Good Omens""
48:20 - 20. ""Yuri on Ice"" was censored because of its time slot
49:35 - 21. The case against lesbian author Radclyffe Hall was thrown out because men were uncomfortable talking about lesbianism
50:24 - 22. The Nazis invented our current body standards
55:49 - Brief tangent about co-writer Nick
59:31 - 23. NAMBLA appropriated images from Disney's ""Aladdin""
1:00:54 - 24. '90s gay rights activists weren't fighting against employment discrimination
1:04:29 - 25. China keeps jacking up their cut of the profits from imported Hollywood movies
1:05:49 - 26. Disney princesses are marketed to funerals
1:06:50 - 27. Dying AIDS patients kept a ""Beauty and the Beast"" rose by their beds
1:08:04 - 28. Bob Iger was working on the DCEU because he hates Bob Chapek
1:09:39 - 29. Major industries spend most of their budget buying and burying new technology
1:10:54 - 30. Pirates were philanthropists
1:14:24 - 31. The gay panic trial of John Parisie
1:18:55 - 32. Stan lee loves this Scarlet Witch moment
1:20:33 - 33. Janelle Monae came out because you didn't understand ""Pynk""
1:25:16 - 34. European peasants were paranoid about their friends and neighbors being vampires
1:29:27 - 35. The Hitchcock Thing
1:32:43 - Bonus Claim A: Katharine Hepburn didn't believe gay people existed
1:33:53 - Bonus Claim B: There was a deleted dickpic subplot in ""Birds of Prey""
1:35:08 - Bonus Claim C: J.K. Rowling says Draco is pro-trans
1:35:42 - Conclusion","todd in the shadows,todd's pop song reviews,pop music review,james somerton,todd in the shadows james somerton,james somerton fact check,james somerton plagiarism",22,19277,0
"TRAINWRECKORDS: Nickelback's ""No Fixed Address""",2023-11-18T23:30:13Z,PT32M58S,442129,18387,N/A,Todd in the Shadows,UCaTSjmqzOO-P8HmtVW3t7sA,"How can the most hated rock band in the world turn it around when the world has turned against rock?
Get Nebula using my link for 40% off an annual subscription! https://nebula.tv/todd-in-the-shadows 
Watch Everyone Loves Guy Fieri: https://nebula.tv/videos/lindsayellis-everyone-loves-guy-fieri-now?ref=todd-in-the-shadows
Watch Danger Music: https://nebula.tv/dangermusic?ref=todd-in-the-shadows
Support Todd on Patreon!  

 / toddintheshadows","todd in the shadows,todd's pop song reviews,pop music review",22,4003,0
"ONE HIT WONDERLAND: ""Tubular Bells"" by Mike Oldfield",2023-10-14T00:30:39Z,PT22M28S,299875,14615,N/A,Todd in the Shadows,UCaTSjmqzOO-P8HmtVW3t7sA,"😈 The Exorcist theme was a top ten hit. Seriously. There's more to it than that though.
🎨 The first 500 people to use my link will get access to one of Skillshare’s best offers: 30 days free AND 40% off your first year of Skillshare membership!  https://skl.sh/toddintheshadows1023

Support Todd on Patreon! https://www.patreon.com/toddintheshadows","todd in the shadows,todd's pop song reviews,pop music review,exorcist theme song",10,2740,0
"Songs That Stop on the Word ""STOP"" Supercut (DELUXE)",2023-09-29T21:18:33Z,PT33M22S,289150,15162,N/A,Todd in the Shadows,UCaTSjmqzOO-P8HmtVW3t7sA,"A compilation of my favorite cliche in music. Perpetually updated version here: https://nebula.tv/videos/todd-in-the-shadows-songs-that-stop-on-the-word-stop-supercut-deluxe

Ground rules: If there was even the briefest of stops, I counted it. It's okay if the band holds the note rather than complete silence. But the entire band has to stop, not just a couple instruments; the singer can keep singing though.

This was compiled through months of research and extensive crowdsourcing. If you ever left a comment suggesting a song and it wound up in this video, it was probably your suggestion that did it.

Support Todd on Patreon! https://www.patreon.com/toddintheshadows","todd in the shadows,todd's pop song reviews,pop music review,songs with the word stop,stop songs super cut",10,1945,0
PODCAST: The 2023 VMAs sure love Taylor Swift,2023-09-15T16:37:53Z,PT49M38S,62118,1449,N/A,Todd in the Shadows,UCaTSjmqzOO-P8HmtVW3t7sA,"We do our annual forced march through the VMAs again, this year's ceremony slogging through a writers strike. Does this show only exist for Taylor Swift's benefit now?

Support Todd on Patreon! https://www.patreon.com/toddintheshadows","todd in the shadows,todd's pop song reviews,pop music review",22,490,0
"POP SONG REVIEW: ""Rich Men North of Richmond"" by Oliver Anthony Music",2023-09-13T20:23:06Z,PT22M,307914,16691,N/A,Todd in the Shadows,UCaTSjmqzOO-P8HmtVW3t7sA,"It's the viral sensation that's tearing apart the nation.
Get Nebula using my link for 40% off an annual subscription! https://nebula.tv/todd-in-the-shadows 
Sign up for a lifetime membership for $300! Offer only valid until September 30, 2023.
Watch Everyone Loves Guy Fieri: https://nebula.tv/videos/lindsayellis-everyone-loves-guy-fieri-now?ref=todd-in-the-shadows
Support Todd on Patreon! https://www.patreon.com/toddintheshadows","todd in the shadows,todd's pop song reviews,pop music review",22,4666,0
"SONG VS. SONG: ""Flowers"" by Miley Cyrus vs. ""Vampire"" by Olivia Rodrigo",2023-07-27T05:28:22Z,PT1H15M48S,96726,2812,N/A,Todd in the Shadows,UCaTSjmqzOO-P8HmtVW3t7sA,"Wanna know what Todd thinks about some current songs? Todd has a podcast where he talks about this stuff! 

Support Song vs. Song! 
On Spotify: https://open.spotify.com/show/2ZPOSfyq3NwIsGGTPY1I10?si=156c20f8cb9841b0
On Apple: https://podcasts.apple.com/us/podcast/song-vs-song/id1453218334","todd in the shadows,todd's pop song reviews,pop music review",22,535,0
"ONE HIT WONDERLAND: ""Barbie Girl"" by Aqua",2023-07-21T15:28:17Z,PT26M52S,505859,25479,N/A,Todd in the Shadows,UCaTSjmqzOO-P8HmtVW3t7sA,"Mattel may like ""Barbie Girl"" now, but back in 1997, there were scandals in lawsuits when one Danish band defamed Barbie's good name with one of the maddeningly catchy songs ever made. 

Support Todd on Patreon! https://www.patreon.com/toddintheshadows","todd in the shadows,todd's pop song reviews,pop music review,barbie girl song aqua,barbie review,barbie reaction,barbie movie song,barbie girl listen,todd in the shadows barbie",10,5154,0
"POP SONG REVIEW: ""Fast Car"" by Luke Combs",2023-07-05T21:26:40Z,PT22M59S,344753,16393,N/A,Todd in the Shadows,UCaTSjmqzOO-P8HmtVW3t7sA,"It's the hot new pop song everyone's talking about: ""Fast Car."" Yes, that ""Fast Car."" 
Get Nebula using my link for 40% off an annual subscription! https://nebula.tv/todd-in-the-shadows
Watch Everyone Loves Guy Fieri: https://nebula.tv/videos/lindsayellis-everyone-loves-guy-fieri-now?ref=todd-in-the-shadows
Support Todd on Patreon! https://www.patreon.com/toddintheshadows","todd in the shadows,todd's pop song reviews,pop music review",22,2647,0
"TRAINWRECKORDS: Ringo Starr's ""Ringo the 4th""",2023-06-21T22:31:20Z,PT25M24S,447704,16290,N/A,Todd in the Shadows,UCaTSjmqzOO-P8HmtVW3t7sA,"What does Ringo sound like without a little help from his friends? 
Get Nebula using my link for 40% off an annual subscription! https://nebula.tv/todd-in-the-shadows
Watch Everyone Loves Guy Fieri: https://nebula.tv/videos/lindsayellis-everyone-loves-guy-fieri-now?ref=todd-in-the-shadows
Support Todd on Patreon! https://www.patreon.com/toddintheshadows","todd in the shadows,todd's pop song reviews,pop music review,ringo starr album review,beatles songs,beatles music review",22,2517,0
"ONE HIT WONDERLAND: ""I Wish"" by Skee-Lo",2023-05-19T20:20:57Z,PT20M42S,394427,17618,N/A,Todd in the Shadows,UCaTSjmqzOO-P8HmtVW3t7sA,"He wished he was a little bit taller, and that his career lasted a little bit longer. 

Support Todd on Patreon! https://www.patreon.com/toddintheshadows","todd in the shadows,todd's pop song reviews,pop music review,i wish skee-lo review,skee-lo music review",10,1747,0
"TRAINWRECKORDS: Run-D.M.C.'s ""Crown Royal""",2023-05-01T20:24:36Z,PT29M38S,458194,15660,N/A,Todd in the Shadows,UCaTSjmqzOO-P8HmtVW3t7sA,"Can Fred Durst, Kid Rock and the guy from Third Eye Blind save Run-DMC's career? It's tricky... 

Get Nebula using my link for 40% off an annual subscription!  https://nebula.tv/todd-in-the-shadows
What Polyphonic´s Dark Side of the moon project: https://nebula.tv/videos/polyphonic-the-dark-side-of-the-moon-project-full?ref=todd-in-the-shadows
Support Todd on Patreon! https://www.patreon.com/toddintheshadows","todd in the shadows,todd's pop song reviews,pop music review",10,1875,0
"ONE HIT WONDERLAND: ""99 Luftballons/99 Red Balloons"" by Nena",2023-03-31T19:03:40Z,PT20M41S,437557,23249,N/A,Todd in the Shadows,UCaTSjmqzOO-P8HmtVW3t7sA,"Could a bunch of balloons end humanity? The German band Nena thought so in 1983, and somehow made one of the best songs of the '80s. 

Support Todd on Patreon! https://www.patreon.com/toddintheshadows","todd in the shadows,todd's pop song reviews,pop music review,99 red balloons nena song review,99 red balloons lyrics,99 luft balloons lyrics,One hit wonder song review",22,3374,0
"POP SONG REVIEW: ""Last Night"" by Morgan Wallen",2023-03-14T15:22:27Z,PT19M42S,267563,11326,N/A,Todd in the Shadows,UCaTSjmqzOO-P8HmtVW3t7sA,"So, did Morgan Wallen survive that scandal? Oh, buddy, did he ever. 
Get Nebula using my link for 40% off an annual subscription!  https://nebula.tv/todd-in-the-shadows
What Polyphonic´s Dark Side of the moon project: https://nebula.tv/videos/polyphonic-the-dark-side-of-the-moon-project-full?ref=todd-in-the-shadows
Support Todd on Patreon! https://www.patreon.com/toddintheshadows","todd in the shadows,todd's pop song reviews,pop music review,morgan wallen,morgan wallen last night review,morgan wallen last night reaction,morgan wallen scandal,morgan wallen controversy,morgan wallen canceled,country music hits,morgan wallen playlist",10,1525,0
"ONE HIT WONDERLAND: ""Turn Up the Radio"" by Autograph",2023-02-19T03:01:59Z,PT19M27S,343699,14367,N/A,Todd in the Shadows,UCaTSjmqzOO-P8HmtVW3t7sA,"They got in on the ground floor of hair metal and then got left behind? Why couldn't Autograph turn up the radio a second time?
Get Nebula using my link for 40% off an annual subscription!  https://nebula.tv/todd-in-the-shadows
Support Todd on Patreon! https://www.patreon.com/toddintheshadows","todd in the shadows,todd's pop song reviews,pop music review,one hit wonderland,turn up the radio song review,autograph turn up the radio",10,2167,0
PODCAST: The 2023 Grammys did Beyonce wrong again!,2023-02-06T18:13:12Z,PT1H2M24S,69952,1779,N/A,Todd in the Shadows,UCaTSjmqzOO-P8HmtVW3t7sA,"The only reason the Grammys had to exist was to finally give Beyonce one of the big awards, and they couldn't do it yet again!! Incredible. The Grammys do what the Grammys do.","todd in the shadows,todd's pop song reviews,pop music review",22,542,0
