Title,Published At,Duration,View Count,Like Count,Dislike Count,Channel Title,Channel ID,Description,Tags,Category ID,Comment Count,Favorite Count
Fear of Death,2023-12-04T20:00:14Z,PT14M43S,242686,23976,N/A,Big Joel,UCaN8DZdc8EHo5y1LsQWMiig,"Womp.
My Patreon: patreon.com/bigjoel

Written, performed, and produced by me
Edited and animated by  @mothcub",,1,1608,0
Evil Lost Media: Dr Phil's House of Hatred,2023-10-28T16:00:42Z,PT39M,814640,32878,N/A,Big Joel,UCaN8DZdc8EHo5y1LsQWMiig,"It's Phil time. Get 40% discount on nebula: https://go.nebula.tv/bigjoel/
Support me on Patreon: https://www.patreon.com/bigjoel
Check out Little Joel:  @littlestjoel ​
Thumbnail art by SkutchDraws",,1,3853,0
Black Mirror: Still Bad,2023-09-01T16:34:04Z,PT27M39S,693608,26006,N/A,Big Joel,UCaN8DZdc8EHo5y1LsQWMiig,"Let's talk about Black Mirror. Get 40% discount on nebula: https://go.nebula.tv/bigjoel/
Support me on Patreon: https://www.patreon.com/bigjoel
Check out Little Joel:  @littlestjoel ​
Thumbnail art by SkutchDraws",,1,2515,0
The Minneapolis Police: A Criminal Organization,2023-07-30T16:00:46Z,PT31M56S,771561,62088,N/A,Big Joel,UCaN8DZdc8EHo5y1LsQWMiig,"Let's talk about the Minneapolis Police. Get 40% discount on nebula: https://go.nebula.tv/bigjoel/
Support me on Patreon: https://www.patreon.com/bigjoel
Check out Little Joel:  @littlestjoel ​
Edited by Mothcub
Thumbnail art by SkutchDraws",,1,6874,0
The Eggs Man of Twitter,2023-07-15T17:11:28Z,PT2M15S,234750,21523,N/A,Big Joel,UCaN8DZdc8EHo5y1LsQWMiig,"Eggs
Support me on Patreon: https://www.patreon.com/bigjoel
Check out Little Joel: @littlestjoel",,1,2246,0
Bohemian Rhapsody (2018) is a bad movie lol,2023-06-18T17:01:48Z,PT7M49S,347159,17925,N/A,Big Joel,UCaN8DZdc8EHo5y1LsQWMiig,"Let's talk about Freddie. Get 40% discount on nebula! https://go.nebula.tv/bigjoel/
Go here for a video about Whiplash: https://nebula.tv/videos/bigjoel-whiplash-has-a-happy-ending-and-that-rules
Support me on Patreon: https://www.patreon.com/bigjoel
Check out Little Joel:  @littlestjoel   
Edited by  @mothcub",,1,1349,0
The Hannah Montana Movie: An Unhinged Masterpiece,2023-06-13T16:17:01Z,PT10M53S,240237,15364,N/A,Big Joel,UCaN8DZdc8EHo5y1LsQWMiig,"Let's talk Hannah
Support me on Patreon: https://www.patreon.com/bigjoel
Check out Little Joel:  @littlestjoel 
Edited by: @mothcub",,1,1321,0
The Strangest Moment of Ricky Gervais's Career,2023-06-04T16:00:06Z,PT8M53S,435085,22607,N/A,Big Joel,UCaN8DZdc8EHo5y1LsQWMiig,"Let's talk about God and stuff.
Support me on Patreon: https://www.patreon.com/bigjoel
Check out Little Joel:  @littlestjoel",,1,3671,0
Evangelicals and the Apocalypse: A Strange Documentary,2023-05-30T16:00:07Z,PT11M25S,324855,17826,N/A,Big Joel,UCaN8DZdc8EHo5y1LsQWMiig,"Let's talk about God and stuff.
Support me on Patreon: https://www.patreon.com/bigjoel
Check out Little Joel:  @littlestjoel",,1,2000,0
let's get twisted,2023-05-25T18:44:33Z,PT3M2S,136510,12425,N/A,Big Joel,UCaN8DZdc8EHo5y1LsQWMiig,here's my second channel! @littlestjoel,,1,1034,0
