Title,Published At,Duration,View Count,Like Count,Dislike Count,Channel Title,Channel ID,Description,Tags,Category ID,Comment Count,Favorite Count
The Witch Trials of J.K. Rowling | ContraPoints,2023-04-17T22:59:53Z,PT1H55M4S,4760259,207967,N/A,ContraPoints,UCNvsIonJdJ5E4EXMa65VYpA,"Why I left the center.

Support this channel: https://www.patreon.com/contrapoints

•Donate: https://paypal.me/contrapoints
•Twitter: https://twitter.com/ContraPoints
•Instagram: https://www.instagram.com/contrapoints/
•https://www.tumblr.com/blog/nataliewynn
•Facebook: https://www.facebook.com/ContraPoints/
•Website: https://www.contrapoints.com/
•Subscribe: https://www.youtube.com/c/ContraPoints
•ContraPoints Live: https://www.youtube.com/c/ContraPointsLive

Check out my other videos:
The Hunger: https://youtu.be/RTRT794IQBg
Envy: https://youtu.be/aPhrTOg1RUk
J.K. Rowling: https://youtu.be/7gDKbT_l2us
Voting: https://youtu.be/t3Vah8sUFgI
Justice (Part 1): https://youtu.be/smQsfNw_7V4
Cringe: https://youtu.be/vRBsaJPkt2Q
Shame: https://youtu.be/K7WvHTl_Q7I
Canceling: https://youtu.be/OjMPJVmXxV8
Opulence: https://youtu.be/jD-PbF3ywGo
Men: https://youtu.be/S1xxcKCGljY
Transtrenders: https://youtu.be/EdvM_pRfuFM
Beauty: https://youtu.be/n9mspMJTNEY
Gender Critical: https://youtu.be/1pTPuoGjQsI
The Darkness: https://youtu.be/qtj7LDYaufM

▬ Contents▬
00:00 Chapter 1: Anita
10:56 Chapter 2: The Witch Trials of Anita Bryant
20:40 Chapter 3: The Witch Trials of J.K. Rowling
35:22 Chapter 4: JoRo's Transphobia
50:11 Chapter 5: Debate
1:11:25 Chapter 6: Illiberal Methods
1:26:28 Chapter 7: Why Is J.K. Rowling Like This?",,22,34165,0
The Hunger | ContraPoints,2022-05-28T22:10:35Z,PT57M34S,2674847,150942,N/A,ContraPoints,UCNvsIonJdJ5E4EXMa65VYpA,"""I spread out my hands to you; I thirst for you like a parched land."" –Psalm 143:6

Support this channel: https://www.patreon.com/contrapoints

✿Donate: https://paypal.me/contrapoints
✿Instagram: https://www.instagram.com/contrapoints/
✿Facebook: https://www.facebook.com/ContraPoints/
✿Website: https://www.contrapoints.com/
✿Twitter: https://twitter.com/ContraPoints
✿Subscribe: https://www.youtube.com/c/ContraPoints
✿https://www.youtube.com/c/ContraPointsLive

Check out my other videos:
Envy: https://youtu.be/aPhrTOg1RUk
J.K. Rowling: https://youtu.be/7gDKbT_l2us
Voting: https://youtu.be/t3Vah8sUFgI
Justice (Part 1): https://youtu.be/smQsfNw_7V4
Cringe: https://youtu.be/vRBsaJPkt2Q
Shame: https://youtu.be/K7WvHTl_Q7I
Canceling: https://youtu.be/OjMPJVmXxV8
Opulence: https://youtu.be/jD-PbF3ywGo
Men: https://youtu.be/S1xxcKCGljY
Transtrenders: https://youtu.be/EdvM_pRfuFM
Beauty: https://youtu.be/n9mspMJTNEY
Gender Critical: https://youtu.be/1pTPuoGjQsI
The Darkness: https://youtu.be/qtj7LDYaufM",,22,16520,0
Envy | ContraPoints,2021-08-07T16:48:03Z,PT1H48M16S,5690247,234699,N/A,ContraPoints,UCNvsIonJdJ5E4EXMa65VYpA,"Starting at the surface with celebrity gossip, then spiraling into the inferno of the human psyche. Virgil, get me out of here.

Support this channel: https://www.patreon.com/contrapoints

✿Donate: https://paypal.me/contrapoints
✿Instagram: https://www.instagram.com/contrapoints/
✿Facebook: https://www.facebook.com/ContraPoints/
✿Website: https://www.contrapoints.com/
✿Twitter: https://twitter.com/ContraPoints
✿Subscribe: https://www.youtube.com/c/ContraPoints
✿ContraPoints Live: https://www.youtube.com/c/ContraPointsLive

Check out my other videos:
J.K. Rowling: https://youtu.be/7gDKbT_l2us
Voting: https://youtu.be/t3Vah8sUFgI
Justice (Part 1): https://youtu.be/smQsfNw_7V4
Cringe: https://youtu.be/vRBsaJPkt2Q
Shame: https://youtu.be/K7WvHTl_Q7I
Canceling: https://youtu.be/OjMPJVmXxV8
Opulence: https://youtu.be/jD-PbF3ywGo
Men: https://youtu.be/S1xxcKCGljY
Transtrenders: https://youtu.be/EdvM_pRfuFM
Beauty: https://youtu.be/n9mspMJTNEY
Gender Critical: https://youtu.be/1pTPuoGjQsI
The Darkness: https://youtu.be/qtj7LDYaufM",,22,25422,0
J.K. Rowling | ContraPoints,2021-01-26T14:14:19Z,PT1H29M45S,6961902,291990,N/A,ContraPoints,UCNvsIonJdJ5E4EXMa65VYpA,"I did not come out of the cupboard under the stairs for this.
Support this channel: https://www.patreon.com/contrapoints

✿Donate: https://paypal.me/contrapoints
✿Instagram: https://www.instagram.com/contrapoints/
✿Facebook: https://www.facebook.com/ContraPoints/
✿Website: https://www.contrapoints.com/
✿Twitter: https://twitter.com/ContraPoints
✿Subscribe: https://www.youtube.com/c/ContraPoints
✿ContraPoints Live: https://www.youtube.com/c/ContraPointsLive

Check out my other videos:
Voting: https://youtu.be/t3Vah8sUFgI
Justice (Part 1): https://youtu.be/smQsfNw_7V4
Cringe: https://youtu.be/vRBsaJPkt2Q
Shame: https://youtu.be/K7WvHTl_Q7I
Canceling: https://youtu.be/OjMPJVmXxV8
Opulence: https://youtu.be/jD-PbF3ywGo
Men: https://youtu.be/S1xxcKCGljY
Transtrenders: https://youtu.be/EdvM_pRfuFM
Beauty: https://youtu.be/n9mspMJTNEY
Gender Critical: https://youtu.be/1pTPuoGjQsI
The Darkness: https://youtu.be/qtj7LDYaufM
""Are Traps Gay?"": https://youtu.be/PbBzhqJK3bg
The Apocalypse: https://youtu.be/S6GodWn4XMM
Pronouns: https://youtu.be/9bbINLWtMKI
Incels: https://youtu.be/fD2briZ6fB0","natalie wynn,contrapoints,j.k. rowling",22,44202,0
Voting | ContraPoints,2020-10-20T02:44:10Z,PT23M40S,1827516,132270,N/A,ContraPoints,UCNvsIonJdJ5E4EXMa65VYpA,"Smash that vote button.
Support this channel: https://www.patreon.com/contrapoints

✿Donate: https://paypal.me/contrapoints
✿Instagram: https://www.instagram.com/contrapoints/
✿Facebook: https://www.facebook.com/ContraPoints/
✿Website: https://www.contrapoints.com/
✿Twitter: https://twitter.com/ContraPoints
✿Subscribe: https://www.youtube.com/c/ContraPoints
✿ContraPoints Live: https://www.youtube.com/channel/UCGh4KSR8TZZlyq3qQDBsBLA

https://vote.gov/ 
https://www.vote.org/ 

Check out my other videos:
Justice (Part 1): https://youtu.be/smQsfNw_7V4
Cringe: https://youtu.be/vRBsaJPkt2Q
Shame: https://youtu.be/K7WvHTl_Q7I
Canceling: https://youtu.be/OjMPJVmXxV8
Opulence: https://youtu.be/jD-PbF3ywGo
Men: https://youtu.be/S1xxcKCGljY
Transtrenders: https://youtu.be/EdvM_pRfuFM
Beauty: https://youtu.be/n9mspMJTNEY
Gender Critical: https://youtu.be/1pTPuoGjQsI
The Darkness: https://youtu.be/qtj7LDYaufM
""Are Traps Gay?"": https://youtu.be/PbBzhqJK3bg
The Apocalypse: https://youtu.be/S6GodWn4XMM
Pronouns: https://youtu.be/9bbINLWtMKI
Incels: https://youtu.be/fD2briZ6fB0","contrapoints,natalie wynn,voting",22,19636,0
Justice | ContraPoints,2020-09-04T20:02:34Z,PT43M4S,2931288,145516,N/A,ContraPoints,UCNvsIonJdJ5E4EXMa65VYpA,"Let's talk about justice uwu
Support this channel: https://www.patreon.com/contrapoints

✿Donate: https://paypal.me/contrapoints
✿Instagram: https://www.instagram.com/contrapoints/
✿Facebook: https://www.facebook.com/ContraPoints/
✿Website: https://www.contrapoints.com/
✿Twitter: https://twitter.com/ContraPoints
✿Subscribe: https://www.youtube.com/c/ContraPoints
✿ContraPoints Live: https://www.youtube.com/channel/UCGh4KSR8TZZlyq3qQDBsBLA

Check out my other videos:
Cringe: https://youtu.be/vRBsaJPkt2Q
Shame: https://youtu.be/K7WvHTl_Q7I
Canceling: https://youtu.be/OjMPJVmXxV8
Opulence: https://youtu.be/jD-PbF3ywGo
Men: https://youtu.be/S1xxcKCGljY
Transtrenders: https://youtu.be/EdvM_pRfuFM
Beauty: https://youtu.be/n9mspMJTNEY
Gender Critical: https://youtu.be/1pTPuoGjQsI
The Darkness: https://youtu.be/qtj7LDYaufM
""Are Traps Gay?"": https://youtu.be/PbBzhqJK3bg
The Apocalypse: https://youtu.be/S6GodWn4XMM
Pronouns: https://youtu.be/9bbINLWtMKI
Incels: https://youtu.be/fD2briZ6fB0","contrapoints,natalie wynn,justice,justice served,instant karma",22,14537,0
Cringe | ContraPoints,2020-05-10T14:12:51Z,PT1H23M19S,4318246,194016,N/A,ContraPoints,UCNvsIonJdJ5E4EXMa65VYpA,"Step right up!
Support this channel: https://www.patreon.com/contrapoints

✿Donate: https://paypal.me/contrapoints
✿Instagram: https://www.instagram.com/contrapoints/
✿Facebook: https://www.facebook.com/ContraPoints/
✿Website: https://www.contrapoints.com/
✿Twitter: [canceled]
✿Subscribe: https://www.youtube.com/c/ContraPoints
✿ContraPoints Live: https://www.youtube.com/channel/UCGh4KSR8TZZlyq3qQDBsBLA

Florence Foster Jenkins' copyrighted singing: https://youtu.be/V6ubiUIxbWE

Check out my other videos:
Shame: https://youtu.be/K7WvHTl_Q7I
Canceling: https://youtu.be/OjMPJVmXxV8
Opulence: https://youtu.be/jD-PbF3ywGo
Men: https://youtu.be/S1xxcKCGljY
Transtrenders: https://youtu.be/EdvM_pRfuFM
Beauty: https://youtu.be/n9mspMJTNEY
Gender Critical: https://youtu.be/1pTPuoGjQsI
The Darkness: https://youtu.be/qtj7LDYaufM
""Are Traps Gay?"": https://youtu.be/PbBzhqJK3bg
The Apocalypse: https://youtu.be/S6GodWn4XMM
Pronouns: https://youtu.be/9bbINLWtMKI
The Aesthetic: https://youtu.be/z1afqR5QkDM
Incels: https://youtu.be/fD2briZ6fB0","contrapoints,natalie wynn,cringe",22,25943,0
Shame | ContraPoints,2020-02-16T02:47:40Z,PT42M3S,2949764,157018,N/A,ContraPoints,UCNvsIonJdJ5E4EXMa65VYpA,"Oops, I'm gay.
Support this channel: https://www.patreon.com/contrapoints

Read the transcript of this video here: https://www.contrapoints.com/shame

✿Donate: https://paypal.me/contrapoints
✿Instagram: https://www.instagram.com/contrapoints/
✿Facebook: https://www.facebook.com/ContraPoints/
✿Website: https://www.contrapoints.com/
✿Twitter: [canceled]
✿Subscribe: https://www.youtube.com/c/ContraPoints
✿ContraPoints Live: https://www.youtube.com/channel/UCGh4KSR8TZZlyq3qQDBsBLA

Am I a Lesbian Masterdoc: https://docs.google.com/document/d/e/2PACX-1vT3f5IIzt5PG-M7G9_Z-gjY4gZaiUneTdMlYrFAcdBGcJo0-N-RDQcj2JfxOaBTxKa6J_DiDQNgqVpg/pub

Check out my other videos:
Canceling: https://youtu.be/OjMPJVmXxV8
Opulence: https://youtu.be/jD-PbF3ywGo
Men: https://youtu.be/S1xxcKCGljY
Transtrenders: https://youtu.be/EdvM_pRfuFM
Beauty: https://youtu.be/n9mspMJTNEY
Gender Critical: https://youtu.be/1pTPuoGjQsI
The Darkness: https://youtu.be/qtj7LDYaufM
""Are Traps Gay?"": https://youtu.be/PbBzhqJK3bg
The Apocalypse: https://youtu.be/S6GodWn4XMM
Pronouns: https://youtu.be/9bbINLWtMKI
The Aesthetic: https://youtu.be/z1afqR5QkDM
Incels: https://youtu.be/fD2briZ6fB0
The West: https://youtu.be/hyaftqCORT4","contrapoints,natalie wynn,shame,coming out",22,18546,0
Canceling | ContraPoints,2020-01-02T15:33:27Z,PT1H40M28S,5553679,233136,N/A,ContraPoints,UCNvsIonJdJ5E4EXMa65VYpA,"The Truth.
Support this channel: https://www.patreon.com/contrapoints

Read the transcript here: https://www.contrapoints.com/canceling

✿Donate: https://paypal.me/contrapoints
✿Instagram: https://www.instagram.com/contrapoints/
✿Twitter: [canceled]
ref_id=5379&utm_campaign=ContraPoints&utm_medium=5379&utm_source=affiliate
✿Subscribe: https://www.youtube.com/c/ContraPoints
✿Facebook: https://www.facebook.com/ContraPoints/
✿Website: https://www.contrapoints.com/

Trashing: https://www.jofreeman.com/joreen/trashing.htm

My critics:
https://youtu.be/PwUraFNpQIE
https://youtu.be/iRMLgQsKgnw

Check out my other videos:
Opulence: https://youtu.be/jD-PbF3ywGo
Men: https://youtu.be/S1xxcKCGljY
Transtrenders: https://youtu.be/EdvM_pRfuFM
Beauty: https://youtu.be/n9mspMJTNEY
Gender Critical: https://youtu.be/1pTPuoGjQsI
The Darkness: https://youtu.be/qtj7LDYaufM
""Are Traps Gay?"": https://youtu.be/PbBzhqJK3bg
The Apocalypse: https://youtu.be/S6GodWn4XMM
Pronouns: https://youtu.be/9bbINLWtMKI
The Aesthetic: https://youtu.be/z1afqR5QkDM
Incels: https://youtu.be/fD2briZ6fB0
The West: https://youtu.be/hyaftqCORT4","contrapoints,natalie wynn,canceling",22,32465,0
Opulence | ContraPoints,2019-10-12T18:32:33Z,PT49M7S,3425633,151159,N/A,ContraPoints,UCNvsIonJdJ5E4EXMa65VYpA,"The aesthetic of owning everything.
Support this channel: https://www.patreon.com/contrapoints

✿Donate: https://paypal.me/contrapoints
✿Instagram: https://www.instagram.com/contrapoints/
ref_id=5379&utm_campaign=ContraPoints&utm_medium=5379&utm_source=affiliate
✿Subscribe: https://www.youtube.com/c/ContraPoints
✿Facebook: https://www.facebook.com/ContraPoints/
✿ContraPoints Live: https://www.youtube.com/channel/UCGh4KSR8TZZlyq3qQDBsBLA
✿Website: https://www.contrapoints.com/

With music by by Zoë Blade: http://www.zoeblade.com/
With music by OVXX: https://soundcloud.com/poorpupperdrinksbleach/opulence

Dan Bell's Dead Mall Series: https://www.youtube.com/playlist?list=PLNz4Un92pGNxQ9vNgmnCx7dwchPJGJ3IQ

Todd in the Shadows ""7 Rings"" Review: https://youtu.be/os8RpkipUz0

Voices
Shon Faye: @shonfaye
Adam Neely: https://www.youtube.com/channel/UCnkp4xDOwqqJD7sSM3xdUiQ
Olly Thorn: https://www.youtube.com/channel/UC2PA-AKmVpU6NKCGtZq_rKQ
Daniel Howell: https://www.youtube.com/channel/UCGjylN-4QCpn8XJ1uY-UOgA
Maggie Mae Fish: https://www.youtube.com/channel/UChBD4NpITiW2CzIz5GwppDA
Jo Weldon: @joweldon
Ella Grant: https://www.youtube.com/channel/UCfnJvKB2Nr55ZvHj20O5JZA
Buck Angel: @BuckAngel
Hbomberguy: https://www.youtube.com/channel/UClt01z1wHHT7c5lKcU8pxRQ

Check out my other videos:
Men: https://youtu.be/S1xxcKCGljY
Transtrenders: https://youtu.be/EdvM_pRfuFM
Beauty: https://youtu.be/n9mspMJTNEY
Gender Critical: https://youtu.be/1pTPuoGjQsI
The Darkness: https://youtu.be/qtj7LDYaufM
""Are Traps Gay?"": https://youtu.be/PbBzhqJK3bg
The Apocalypse: https://youtu.be/S6GodWn4XMM
Pronouns: https://youtu.be/9bbINLWtMKI
The Aesthetic: https://youtu.be/z1afqR5QkDM
Incels: https://youtu.be/fD2briZ6fB0
The West: https://youtu.be/hyaftqCORT4
Tiffany Tumbles: https://youtu.be/j1dJ8whOM8E
Jordan Peterson: https://youtu.be/4LqZdkkBDas

Assistant director: Theryn Meyer","contrapoints,natalie wynn,opulence,theryn meyer",22,13141,0
