Title,Published At,Duration,View Count,Like Count,Dislike Count,Channel Title,Channel ID,Description,Tags,Category ID,Comment Count,Favorite Count
Incels Make the World Go Round.,2024-02-23T18:03:55Z,PT1H41M51S,397685,22029,N/A,F.D Signifier,UCgi2u-lGY-2i2ubLsUr6FbQ,"Please support me by signing up for Nebula- http://go.nebula.tv/fdsignifier

Watch my Nebula original on the Boondocks here--- https://nebula.tv/videos/workingtitle...

Watch my Vaulted video on Tupac - https://nebula.tv/videos/signifiedbsi...

Conversation with Macken Murphy 
https://youtu.be/X8FNS_hL5i4?si=Mt-QN-SlcvcynM4v



00:00 Banger intro
01:11 The Manosphere is big business.
08:13 We still don't understand the manosphere.
19:54 What kind of man are you?
40:09 Incels make the world go round.
01:02:33 The other side of the game.
01:26:17 So what can be done?

Edited by @TheZatzman 
Intro and transition graphics by @NeedlessNick 

Interviews
@WavingtheRedFlag 
@murphymacken 
@Ahrelevant 
@ididntaskforahandle 
@NoahSamsen 
@munecat 
@ForeignManinaForeignLand 
@JordanHarrod 


featuring vocal performances by
@MavenoftheEventide 
@FoldingIdeas 
@COLORMIND.mp4 
@LindsayEllisVids 



References
1- Mapping manosphere- Han, X., & Yin, C. (2023). Mapping the manosphere. Categorization of reactionary masculinity discourses in digital environment. Feminist media studies, 23(5), 1923-1940.
2- Networked misogyny - https://www.tandfonline.com/doi/epdf/10.1080/14680777.2022.2029925?needAccess=true
http://www.michaelmessner.org/wp-content/uploads/2015/10/Gender-Society-1998-MESSNER-255-76.pdf
3- Leaving the manosphere- https://www.tandfonline.com/doi/epdf/10.1080/1057610X.2023.2244192?needAccess=true
4- Liu, A. (2021). MRAsians: A Convergence between Asian American Hypermasculine Ethnonationalism and the Manosphere. Journal of Asian American Studies 24(1), 93-112. https://doi.org/10.1353/jaas.2021.0012.
https://www.adl.org/resources/blog/two-years-ago-they-marched-charlottesville-where-are-they-now
5- AIN paper - https://datasociety.net/wp-content/uploads/2018/09/DS_Alternative_Influence.pdf
6- Levels of wellbeing for Incels - https://labs.la.utexas.edu/buss/files/2023/04/LevelsofWellbeingAmongMenWhoAreInvoluntarilyCelibate.pdf
7- You tube radicalization study - https://www.pnas.org/doi/epdf/10.1073/pnas.2101967118
8- Online radicalization argument - https://www.researchgate.net/profile/Joe-Whittaker-2/publication/363135647_Rethinking_Online_Radicalization/links/630f1d5161e4553b95520eff/Rethinking-Online-Radicalization.pdf  
9- Car killer story - https://www.cincinnati.com/story/news/local/northern-ky/2017/08/14/mom-previously-accused-charlottesville-driver-james-alex-fields-jr-beating-her/566078001/

10- (radicalization is overblown but you tube is to blame) https://www.science.org/doi/pdf/10.1126/sciadv.adk2031


11-https://journals.sagepub.com/doi/10.1177/09567976211036065",,17,3299,0
Spike Lee tried to warn us...,2024-01-10T22:49:36Z,PT1H12M21S,584948,37987,N/A,F.D Signifier,UCgi2u-lGY-2i2ubLsUr6FbQ,"Please support me by signing up for Nebula- http://go.nebula.tv/fdsignifier

Watch my Nebula original on the Boondocks here--- https://nebula.tv/videos/workingtitles-47-the-boondocks-fdsignifier

Watch my Vaulted video on Tupac - https://nebula.tv/videos/signifiedbsides-im-not-saying-tupac-was-gaybut

This video looks at the 2000s Spike Lee film ""Bamboozled"" and examines what it says about the concept of ""co*ning"", aka being a black person who explicitly works against the interests of other black people.  How and why do Co*ns do what they do? What should we understand about them in order to address the harm that they do?

00:00 I almost Quit YouTube last year
02:48 A quick look at the career of Spike Lee
10:39 Explaining Bamboozled pt 1
20:22 A quick aside on Black Radicalism
24:26 Explaining Bamboozled pt 2
29:34 What is a Co*n?
44:44 Explaining Bamboozled pt 3
5148 Are we too hard on Co*ns?
59:48 Bamboozled's hidden message

Edited by @NeedlessNick 
Featuring @Mannof1000Thoughts , @victorythecreator , and @Readus101 
Audio support @ForeignManinaForeignLand 

Works cited
Tyler Perry and the Mantan Manifesto: Critical Race Theory and the Permanence of Cinematic Anti-Blackness - https://imixwhatilike.files.wordpress.com/2016/08/tp-reader-article-routledge-edit-january-2013.pdf

In Defense of Uncle Tom Why Blacks Must Police Racial Loyalty by Brandon Starkey - https://www.amazon.com/Defense-Uncle-Tom-Blacks-Loyalty/dp/1107668344

What should Black folk do with the word coon? - https://andscape.com/features/what-should-black-folk-do-with-the-word-coon/",,17,3502,0
Eminem and the White Rapper Problem,2023-12-20T18:28:20Z,PT1H17M16S,864592,53871,N/A,F.D Signifier,UCgi2u-lGY-2i2ubLsUr6FbQ,"Ground News Holiday Sale: Compare news coverage. Spot media bias. Join Ground News today to get 40% off unlimited access: https://ground.news/fd. Sale ends December 31.

I finally did it!  Just in time for Christmas

00:00 What is the White Rapper Paradox?
08:39 A short history of White people consuming and creating black art
16:50 White Rap BE- Before Eminem
24:04 Rap's Elvis Pressley (Vanilla Ice)
30:09 What the industry learned from it's failure
33:09 The Great White Hope (Eminem)
46:28 White Rap AE-After Eminem
56:37 White Guy Got Game (Mac Miller)
1:07:50 The White Rapper Paradox



No James Somerton
White Rapper Taxonomy - https://www.theringer.com/music/2020/10/6/21502594/history-of-white-rappers-eminem-vanilla-ice-mac-miller
Everything but the Burden - https://www.penguinrandomhouse.com/books/176649/everything-but-the-burden-by-edited-by-greg-tate/",,17,11321,0
SWIRLCONOMICS! (The truth about black people and interracial relationships),2023-11-22T20:01:43Z,PT1H17M24S,775040,43435,N/A,F.D Signifier,UCgi2u-lGY-2i2ubLsUr6FbQ,"Please support me by signing up for Nebula- http://go.nebula.tv/fdsignifier

Watch my Nebula original on the Boondocks here--- https://nebula.tv/videos/workingtitles-47-the-boondocks-fdsignifier

Watch my Vaulted video on Tupac - https://nebula.tv/videos/signifiedbsides-im-not-saying-tupac-was-gaybut

Get a lifetime membership to Nebula for only $300: https://go.nebula.tv/lifetime?ref=fdsignifier

This video breaks down the complexity of why interracial dating for black people is universally controversial.

Edited by @TheZatzman 
Special Appearances by @supereyepatchwolf3007 and @KhadijaMbowe 

00:00 Intro 
07:41 It always goes back to slavery...
14:27 It's a black thing. You wouldn't understand
37:25 Swirlconomics
59:33 No seriously it's always goes back to slavery


Further viewing-
My videos referenced
Buck Breaking review - https://youtu.be/tvzS6fVaG8I?si=dk2XWKfNjrV8B0rA
Black Men's sexuality - https://www.youtube.com/watch?v=RP1YI6Wi6gs&t=1553s
Black Men and Colorism - https://www.youtube.com/watch?v=urMC_Y2mX9Y&t=1101s

@lilbilliam on Black men - https://www.youtube.com/watch?v=KIYaq_gHBdg&t=2449s
@Tirrrb on Masculinity - https://www.youtube.com/watch?v=EiIkI0JXoaw&t=1104s
@ForeignManinaForeignLand various videos - https://www.youtube.com/watch?v=7Rjf-10n3n4, https://www.youtube.com/watch?v=AGXASWS1g54&t=1712s, 

Works cited

Pew Study - https://www.pewresearch.org/social-trends/2017/05/18/1-trends-and-patterns-in-intermarriage/

intermarriage divorce – 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4183451/#:~:text=The%20descriptive%20results%20also%20confirm,and%208.4%25%20of%20Asian%2DWhite 

Reasons for Anti-Miscegenation laws- 
https://athenacommons.muw.edu/merge/vol6/iss1/1/#:~:text=The%20primary%20individuals%20focused%20on,vehicle%20of%20anti%2Dmiscegenation%20laws

Interracial couples and poverty- 
https://www.washington.edu/news/blog/study-mixed-race-couples-with-black-partners-more-likely-to-live-in-poor-neighborhoods/

Racist trends in medicine-
https://globalhealth.harvard.edu/racial-bias-in-medicine/

Multi racial people's experiences - https://www.pewresearch.org/social-trends/2015/06/11/multiracial-in-america/",,17,6985,0
The REAL reason NFL Running Backs Aren't Getting Paid,2023-10-16T17:00:11Z,PT1H15M21S,309173,15695,N/A,F.D Signifier,UCgi2u-lGY-2i2ubLsUr6FbQ,"Please support me by signing up for Nebula- http://go.nebula.tv/fdsignifier

Watch my Nebula original on the Boondocks here--- https://nebula.tv/videos/workingtitles-47-the-boondocks-fdsignifier


This video discusses the real reasons why NFL running backs have become ""devalued"" and seeks to expose how this process of devaluation is not only a deliberate alteration of the nature of the game for ""good business"" but it also fits into a historical tradition of premiere black athletes being marginalized in sports they helped to build.  

Featuring former NFL running back Arion Foster @bobbyfeeno and former 1st round draft pick Aaron Maybin @AaronMaybinArt  

special shout out to @laborkyle for helping me refine my ideas and terminology on the topic.

00:00 The Plight of Saquan Barkley
10:18 ""Workplace Evolution""
23:38 ""For the Good of the Sport""
47:09 A famous Malcom X Quote

Edited by @RealSpacial 
Graphics and support editing by @NeedlessNick

How Black Athletes are Exploited - https://www.youtube.com/watch?v=ABEa3P3a6Wk&t=3524s&pp=ygUUZi5kIHNpZ25pZmllciBzcG9ydHM%3D

@lilbilliam  on Allen Iverson's legacy - https://www.youtube.com/watch?v=aVgJmOmlS3M&t=3127s&pp=ygUQbGlsIGJpbGwgaXZlcnNvbg%3D%3D","NFL,Saquan Barkley,football,Deion Sanders,Coachprime,blackmen,black history,BLM,BlackLivesMatter,running backs,Tom Brady,soft,flag football",17,2409,0
The Police Won't Save Us.,2023-09-11T16:00:06Z,PT1H56M51S,1015012,65538,N/A,F.D Signifier,UCgi2u-lGY-2i2ubLsUr6FbQ,"Please support me by signing up for Nebula- http://go.nebula.tv/fdsignifier

Watch my Nebula original on the Boondocks here--- https://nebula.tv/videos/workingtitles-47-the-boondocks-fdsignifier

Get a lifetime membership to Nebula for only $300: https://go.nebula.tv/lifetime?ref=fdsignifier

Join my Patreon - 

Chapters
1- Intro/Statement of Purpose 00:00
2- How/why we give police power 09:00
3- Why the police need to go 33:00
4- Why prisons need to go 50:48
5- The hidden agenda of prisons 01:20:40

Edited by @NeedlessNick 
Scored and touched up by @RealSpacial 

Feat @OverthrowMedia , @olurinatti @SkipIntroYT and Tooblack of @BlackPowerMedia. 

Thank you to Ben AKA @francmono STREAM EXTORTION OUT ON ALL PLATFORMS

See full Pendleton 2 Documentary here - https://youtu.be/2h_i1IK_ZIY

Support Abolition efforts
https://communitymovementbuilders.org/
https://thepeoplesrico.org/
https://ccrjustice.org/
https://www.tenforjustice.com/demands

Shut down Lecher city prison- https://secure.everyaction.com/dPYVg1AxlkeLbHSnhlfUBQ2


Works cited
Mass incarceration causes poverty - https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1348049

Police don't have to protect you - https://www.findlaw.com/legalblogs/law-and-life/do-the-police-have-an-obligation-to-protect-you/

History of policing in America/Lexow Commission - https://www.sagepub.com/sites/default/files/upm-binaries/50819_ch_1.pdf

SA offenders and jail time - https://roar-assets-auto.rbl.ms/documents/36064/Kebodeaux-V27I1.pdf 

Idaho Study - https://www.tandfonline.com/doi/pdf/10.1080/10538712.2011.541356

Kerner Commission report - https://www.ojp.gov/ncjrs/virtual-library/abstracts/national-advisory-commission-civil-disorders-report

Black prison population dropping vs white population - https://www.pewresearch.org/short-reads/2019/04/30/shrinking-gap-between-number-of-blacks-and-whites-in-prison/

Prisons getting whiter - https://www.washingtonpost.com/outlook/prisons-are-getting-whiter-thats-one-way-mass-incarceration-might-end/2021/02/26/28db008c-7535-11eb-948d-19472e683521_story.html

Racial breakdown of county jails - https://bjs.ojp.gov/sites/g/files/xyckuh236/files/media/document/ji21st.pdf

Racial breakdown of state prisons - https://www.prisonpolicy.org/reports/beyondthecount.html#:~:text=In%20state%20prisons%2C%2034%25%20of,Hawaiian%20or%20other%20Pacific%20Islander.

Other learning
Behind the Bastards series on policing - https://open.spotify.com/show/2ejvdShhn5D9tlVbb5vj9B
Becoming an Abolitionist - https://moodle.swarthmore.edu/pluginfile.php/724099/mod_resource/content/1/Becoming%20Abolitionists%20by%20Derecka%20Purnell%20.pdf
Critical resistance- https://criticalresistance.org/
A story from a former cop - https://www.youtube.com/watch?v=_nl5zMIwcmQ&embeds_referring_euri=https%3A%2F%2Fdiscord.com%2F&source_ve_path=Mjg2NjY&feature=emb_logo
@JawnLouis  on the prison industrial complex - https://www.youtube.com/watchv=V2B3sEm_qL8&t=1009s
@ZyllasAthenaeum  on prison abolition - https://www.youtube.com/watch?v=UUonk-ZcC8U

@AnansisLibrary George Jackson video https://youtu.be/IHu5rfST_4Q?si=GrP2tIaLYjQgiFoc

Bastars of the party doc - https://vimeo.com/247366171","911,nine eleven,police,acab,ftb,nwa",27,7087,0
How I made it as a Video Essayist,2023-08-09T16:00:06Z,PT1H17M28S,209447,13194,N/A,F.D Signifier,UCgi2u-lGY-2i2ubLsUr6FbQ,"Support the sponsor and get one of the best news sources out there PERIOD here---- Get 30% off your subscription by going to https://ground.news/fd




In this video I'll explain everything...

00:00 Ad read
02:20 Disclaimer on how I escaped small channel purgatory
10:01 Advice from the Heart (my views on the video essay genre)
31:50 Advice from the HEAD (my views on working the system)
54:43 Advice Lighting Round
01:02:02 Advice from other successful Youtubers (maybe a special bonus at the end...?








about video essays and making it on YouTube.

Check out @3rdWorldMiss new joint on South African media - https://www.youtube.com/watch?v=4HVfDJ82Ogk

Edited by @NeedlessNick 

Feat-
@oliSUNvia 
@ForeignManinaForeignLand 
@MaggieMaeFish 
@T1J 
@TeeNoir 
@ToonrificTariq 
@roramdin 
@JessieGender1 
@NandovMovies 
@cjthex",,27,1247,0
Anime is GREAT. Eren Yeager is NOT...,2023-07-10T17:00:10Z,PT1H33M3S,671027,38093,N/A,F.D Signifier,UCgi2u-lGY-2i2ubLsUr6FbQ,"First 1000 people to sign up through this link get 1 free month of skillshare - https://skl.sh/fdsignifier07233

You ever wonder what it is about anime that gets so many guys DEEP into it?  Me too.  So I talked to some experts in the topic in @supereyepatchwolf3007  and @mothersbasement  and looked back at my own experiences as an Anime fan to figure out what it is about Anime that resonates so much with boys and men.

00:00 OP
01:00 I used to be a WEEB
05:55 Anime and Masculinity, a combo worthy of discussion
13:00 What makes Anime special and why you should watch it
28:35 What do boys and men like about Anime?
36:20 Boys and the Anime Power Fantasy
44:07 A quick aside on misogyny in Anime
48:30 Anime Power Fantasies Deconstructed
57:02 A roast of Eren Yeager
1:20:02 What if Eren wasn't trash?
1:29:21 Closing thoughts


Intro by @NeedlessNick 
Edited by @TheZatzman 
Feat @mothersbasement and @supereyepatchwolf3007 

special guest @roramdin

Femme Centered Videos on anime

@Noralities -  https://www.youtube.com/watch?v=Buv3TA7dvdE&t=1s
@harriyanna - https://www.youtube.com/watch?v=JfK6OLn4jTk
@hazel - https://www.youtube.com/watch?v=zHTBvvRCqmk&t=2558s

More Eren Yeager/AOT Slander

@LostFutures1 - https://www.youtube.com/watch?v=a8B-p2ke9uU&t=8s",,27,7416,0
He was supposed to be the future of hip hop...,2023-06-11T16:00:06Z,PT1H5M22S,1160091,38230,N/A,F.D Signifier,UCgi2u-lGY-2i2ubLsUr6FbQ,"First 1000 people to sign up through this link get 1 free month of skillshare - https://skl.sh/fdsignifier06235

Join me in a journey into hip hop lore to discuss one of hip hop's forgotten legends lost in time.  He's a rapper that barely anyone remembers but for a moment in the mid 90s he was considered to be one of the rappers that would lead hip hop into the next generation.  Why was he so hyped and why does nobody remember him, and how is his legacy so important in the first place?

I want to give recognition to the following sources that helped me flesh out this video.

Article on Canibus- https://theoutline.com/post/6977/canibus-internet-mic-club

My expert opinion episode with Canibus - https://www.youtube.com/watch?v=IQyg9gddUyA

Thank you to @Yharazayd  and Spacial at--- https://www.youtube.com/@RealSpacial/about for the edits",,27,7426,0
The REAL Faces of Black Conservatism,2023-05-10T16:00:08Z,PT1H47M49S,2491184,90386,N/A,F.D Signifier,UCgi2u-lGY-2i2ubLsUr6FbQ,"Please support me by signing up for Nebula- http://go.nebula.tv/fdsignifier

Watch my Nebula original on the Boondocks here--- https://nebula.tv/videos/workingtitles-47-the-boondocks-fdsignifier?ref=fdsignifier

00:00 Intro and recap
11:14- The Distraction
43:35- The Double Agent
01:10:13- The Black Capitalist

Further Learning
The Myth and Propaganda of Black Buying Power 

https://imixwhatilike.org/2020/05/25/mobpvirtuallaunchparty/

Lil Bill on Black Capitalism - https://www.youtube.com/watch?v=Uu-X_E8cwaA&pp=ygUZbGlsIGJpbGwgYmxhY2sgY2FwaXRhbGlzbQ%3D%3D

The missing story on Tulsa
https://www.leftvoice.org/from-black-wall-street-to-black-capitalism/

Orgshttps and Initiatives to support

Stop Cop City https://stopcop.city/
Atlanta Solidarity Fund https://atlsolidarity.org/
Community Movement Builders https://communitymovementbuilders.org/
https://thegroceryspot.org/


Special Guests-
Paschal Robert  @THISISREVOLUTIONpodcast  
Briahna Joy Grey  @BadFaithPodcast  
Dr. Jared Ball  @BlackPowerMedia.  

Edited by - @foreignmaninaforiegnland, (Opening review)
@needlessNick (The Distraction), 
@zatzman (The Double Agent) 
@TheStorytellerAJ (The Black Capitalist) 
Intro VFX by  @NeedlessNick  

Feat Vocal Performance by @HirotheKid",,27,11632,0
