Title,Published At,Duration,View Count,Like Count,Dislike Count,Channel Title,Channel ID,Description,Tags,Category ID,Comment Count,Favorite Count
The Slough Branch: The Office Retrospective,2024-02-23T18:04:58Z,PT1H14M49S,72525,2787,N/A,José,UCeDKIj0G5XbultKOQnacu_w,"I'm not thrilled with the title for this video, but the only alternative I could think of was ""The British Version of The Office"", and that's too obvious a troll.

I first saw The Office way back around the time it premiered. It certainly had this real air of prestige around it, and seemed to be the show everyone was talking about. Over time, the British version has faded from people's minds in a way the American one hasn't. Maybe darker, more cynical shows are more easily forgotten when there's a happier alternative. Or maybe it just didn't have enough episodes to persist in syndication. Whatever the reason, this video looks back at how this show holds up today, and what it still has to say.

Secondary sources should appear on screen as they're cited. In addition to the interviews I cited in the video, background information on the status of British television was informed by the Walters book as well. 

Follow me on Twitter: https://twitter.com/JoseNotAJay 
Follow me on BluSky: https://bsky.app/profile/josebird.bsky.social
Contribute to my Patreon: https://www.patreon.com/JoseOnYoutube 
Join this channel to get access to perks:
https://www.youtube.com/channel/UCeDKIj0G5XbultKOQnacu_w/join

Thumbnail concept by https://fluttr.me","Ricky Gervais,Stephen Merchant,The Office",24,411,0
"Reviewing Lady Ballers, The Daily Wire's Attempt at Comedy",2024-01-29T16:50:09Z,PT35M22S,286693,12054,N/A,José,UCeDKIj0G5XbultKOQnacu_w,"The Daily Wire tried to make a comedy about trans women in sports. And the result is pretty much the disaster you'd imagine it to be.

Sorry everyone for the long wait for this, but much of that was out of my hands. I'm not 100% happy with this cut of the video, but it's the best version of it I could get online. I hope people enjoy it regardless.

THR video: https://www.youtube.com/watch?v=43A_If5L1jI

Follow me on Twitter: https://twitter.com/JoseNotAJay 
Follow me on BluSky: https://bsky.app/profile/josebird.bsky.social
Contribute to my Patreon: https://www.patreon.com/JoseOnYoutube 
Join this channel to get access to perks:
https://www.youtube.com/channel/UCeDKIj0G5XbultKOQnacu_w/join

Thumbnail concept by https://fluttr.me

Sources
https://www.hollywoodreporter.com/lifestyle/lifestyle-news/producer-adam-donaghey-arrested-suspicion-sexual-assault-a-minor-1294979/
https://www.nashvillescene.com/news/pithinthewind/trans-advocates-protest-daily-wire-production-in-nashville/article_4a0226c6-15f8-11ee-97b4-af6bf5fe4626.html
https://wpln.org/post/nashville-lgbtq-actors-say-they-werent-told-theyd-signed-onto-a-daily-wire-film-ridiculing-transgender-athletes/
https://www.mediamatters.org/daily-wire/daily-wire-employs-deceptive-recruitment-tactics-anti-trans-basketball-comedy
https://deadline.com/2023/11/daily-wire-series-adam-carolla-megyn-kelly-brett-cooper-candace-owens-danny-trejo-roseanne-barr-1235643840/
https://www.theconservateur.com/interviews/the-hundred-year-battle-the-daily-wires-parallel-economy",,24,2868,0
Bentkey: The Daily Wire's Kids Streamer,2023-12-08T18:26:55Z,PT46M31S,235052,9785,N/A,José,UCeDKIj0G5XbultKOQnacu_w,"Bentkey was more interesting to cover than I expected. The shows themselves are pretty shallow, but the platform and what it might mean for the Daily Wire in the future could be very consequential. Its failure could seriously damage the company, and its success would be a major boon. So far it seems like it's trending towards failure. So if the Daily Wire crashes and burns, it'll be the children who didn't watch it that made the world a better place.

Follow me on Twitter: https://twitter.com/JoseNotAJay 
Follow me on BluSky: https://bsky.app/profile/josebird.bsky.social
Contribute to my Patreon: https://www.patreon.com/JoseOnYoutube 
Join this channel to get access to perks:
https://www.youtube.com/channel/UCeDKIj0G5XbultKOQnacu_w/join

Check out @zoe_bee.

My own videos I referenced:
https://www.youtube.com/watch?v=c49_TgLzNWA
https://www.youtube.com/watch?v=mWCoesjDqG8
https://www.youtube.com/watch?v=ICY3npmtQeg

Sources
https://variety.com/2022/digital/news/daily-wire-100-million-kids-entertainment-disney-1235219678/
https://www.foxbusiness.com/politics/disney-officials-leaked-videos-pushing-lgbt-agenda-saying-desantis-erase-gay-kids
https://www.vox.com/23811277/christopher-rufo-culture-wars-ron-desantis-florida-critical-race-theory-anti-wokeness
https://www.newswire.ca/news-releases/the-daily-wire-launches-dailywire-with-addition-of-jordan-peterson-809385540.html
https://www.axios.com/2022/11/17/daily-wire-1m-subscribers
https://deadline.com/2022/08/daily-wire-ben-shapiro-disney-rapunzel-tangled-kids-division-hires-1235088127/
https://www.dailywire.com/news/jeremy-boreing-debunks-silly-notion-that-new-bentkey-kids-show-chip-chilla-is-conservative-version-of-bluey
https://slate.com/culture/2023/10/daily-wire-bentkey-disney-snow-white-bluey-chip-chilla.html
https://www.imdb.com/title/tt19356182/reviews?ref_=tt_urv
https://www.huffpost.com/entry/the-radical-politics-of-mister-rogers-ten-fascinating-facts_b_7064322
https://voyageatl.com/interview/meet-bubba-fulcher-kid-explorer-sugar-hill-gwinnett-county/
https://deadline.com/2023/10/daily-wire-snow-white-movie-youtuber-brett-cooper-watch-1235574937/
https://www.hollywoodreporter.com/news/general-news/snow-white-live-action-works-at-disney-942601/
https://news.yahoo.com/critics-slam-wokeness-live-action-152200664.html?guccounter=1
https://www.mediamatters.org/daily-wire/taste-was-never-point-daily-wires-anti-trans-chocolate-bitter-deal
https://www.rollingstone.com/culture/culture-features/anti-woke-chocolate-razor-daily-wire-1234741151/

Thumbnail concept by https://fluttr.me",,24,1662,0
Style and Flair: A Retrospective of The Nanny,2023-11-18T00:12:19Z,PT1H27M11S,256666,10246,N/A,José,UCeDKIj0G5XbultKOQnacu_w,"I never watched The Nanny when I was younger, and watching it now made me realize I missed a show worth checking out. While it shows its age in some moments, many of the jokes and its style really hold up.

This is one of the most requested shows I've had for a while, and it's nice to finally be covering it here. I hope everyone enjoys it!

0:00 - Intro
17:00 - Something Old and Something New
23:59 - A Solid Start and a Better Future
25:47 - Since When Does a Nanny Watch Kids?
29:29 - The Chatterbox
30:42 - Fran's Faith
40:03 - Silvia is Fat
43:15 - Chester
45:10 - Niles and C.C.
50:53 - The Nanny Meta
54:17 - How He Became Mr. The Nanny
1:06:47 - The Nanny Gets Her Notice
1:10:41 - The Nanny Finale
1:15:46 - A Nanny to Remember

Follow me on Twitter: https://twitter.com/JoseNotAJay 
Follow me on BluSky: https://bsky.app/profile/josebird.bsky.social
Contribute to my Patreon: https://www.patreon.com/JoseOnYoutube 
Join this channel to get access to perks:
https://www.youtube.com/channel/UCeDKIj0G5XbultKOQnacu_w/join

Thumbnail concept by https://fluttr.me","Fran Drescher,Fran Fine,The Nanny",24,792,0
Steven Crowder: The Early Years,2023-09-28T20:28:00Z,PT45M25S,267087,10491,N/A,José,UCeDKIj0G5XbultKOQnacu_w,"Steven Crowder has always been pretty bad, but I thought it would be interesting to delve into his past to see just what he was like way back when he started on YouTube close to fifteen years ago. A lot of this commentary focuses on the past, though I do check in with more recent information as a point of comparison.

Follow me on Twitter: https://twitter.com/JoseNotAJay 
Follow me on BluSky: https://bsky.app/profile/josebird.bsky.social
Contribute to my Patreon: https://www.patreon.com/JoseOnYoutube 
Join this channel to get access to perks:
https://www.youtube.com/channel/UCeDKIj0G5XbultKOQnacu_w/join

Sources

https://www.thedailybeast.com/the-death-of-pjtv-how-aubrey-chernicks-right-wing-media-dream-died
https://www.washingtonpost.com/wp-dyn/content/article/2009/01/13/AR2009011303372.html?hpid=topnews
https://www.smithsonianmag.com/history/separating-truth-myth-so-called-golden-age-detroit-auto-industry-180972139/
https://www.theatlantic.com/magazine/archive/2020/12/the-last-children-of-down-syndrome/616928/
https://www.forbes.com/sites/gregorymcneal/2012/12/11/protesters-attack-journalist-after-michigan-passes-right-to-work-law/?sh=203151ba466b
https://www.eclectablog.com/2012/12/fox-news-steven-crowder-americans-for-prosperity-use-breitbart-style-film-editing-to-show-union-thug-brutality.html
https://www.eclectablog.com/2012/12/tentgate-what-really-happened.html
https://www.mlive.com/politics/2012/12/michigan_right_to_work_tension.html
https://www.forbes.com/sites/gregorymcneal/2012/12/11/union-protest-assault-victim-challenges-assailaint-to-mma-fight/?sh=12e73b1865ff
https://www.washingtonpost.com/blogs/erik-wemple/wp/2013/03/08/fox-newss-steven-crowder-fistfight-case-no-charges/
https://www.gawker.com/5991450/the-union-protester-who-punched-fox-news-comedian-steven-crowder-was-acting-in-self-defense-will-not-be-prosecuted
https://www.bnnbloomberg.ca/youtube-can-t-win-with-steven-crowder-1.1507090/youtube-can-t-win-with-steven-crowder-1.1507090
https://www.thedailybeast.com/the-unmaking-of-a-conservative-pundit
https://www.scientificamerican.com/article/what-science-really-says-about-spanking/
https://www.gse.harvard.edu/ideas/usable-knowledge/21/04/effect-spanking-brain
https://www.cnn.com/2015/09/20/politics/carly-fiorina-donald-trump-republican-2016-poll/index.html
https://jamanetwork.com/journals/jamapsychiatry/article-abstract/2749479
https://pubmed.ncbi.nlm.nih.gov/22736225/
https://www.foxnews.com/opinion/im-a-guy-and-ill-never-badmouth-my-wife

Thumbnail concept by https://fluttr.me",,24,1557,0
Steven Crowder's Fake Rumble Views,2023-09-22T01:00:01Z,PT15M7S,234484,12090,N/A,José,UCeDKIj0G5XbultKOQnacu_w,"This was originally part of a much bigger video, but since it didn't quite fit in, I made it its own little video. It does get pretty technical in some parts, but hopefully it's not too confusing. It should also be considered a start into this kind of investigation, as I'm hoping people more experienced in this kind of content creation (streaming specifically) might be able to delve deeper into the shenanigans happening over on Rumble.

Follow me on Twitter: https://twitter.com/JoseNotAJay 
Follow me on BluSky: https://bsky.app/profile/josebird.bsky.social
Contribute to my Patreon: https://www.patreon.com/JoseOnYoutube 
Join this channel to get access to perks:
https://www.youtube.com/channel/UCeDKIj0G5XbultKOQnacu_w/join

Thumbnail concept by https://fluttr.me",,24,1020,0
Jesse Watters As Fox News' Next Big Guy,2023-08-19T18:24:49Z,PT46M56S,231353,8706,N/A,José,UCeDKIj0G5XbultKOQnacu_w,"If you took Fox News and molded it into a man, you'd get Jesse Watters. Jesse Watters is a weird guy to watch. He isn't very bright, or charming, or particularly provocative, but he somehow embodies the worst of the network.

This video looks at the first week of his new 8 PM time slot. Some other episodes are drawn in for further context, but the picture should give you a good idea of what he's all about. With some confidence, I think I can say he's a guy who won't require much close watching in the future. He doesn't have the power of his predecessors, and if you have an idea of what Fox News is saying on its network, you know what Watters is going to say.

That said, it's possible he got suffer a gaff that brings his career crashing down. But more like I suspect he'll get got with something backstage going wrong. I suppose we'll see in time.

Follow me on Twitter: https://twitter.com/JoseNotAJay 
Follow me on BluSky: https://bsky.app/profile/josebird.bsky.social
Contribute to my Patreon: https://www.patreon.com/JoseOnYoutube 
Join this channel to get access to perks:
https://www.youtube.com/channel/UCeDKIj0G5XbultKOQnacu_w/join

Decoding Fox News: https://twitter.com/DecodingFoxNews

Thumbnail concept by https://fluttr.me

Sources:
https://www.cnn.com/2023/04/24/media/tucker-carlson-fox-news/index.html
https://www.wsj.com/articles/fox-news-names-jesse-watters-to-replace-tucker-carlson-as-anchor-of-8-p-m-hour-75a72fce
https://thehill.com/blogs/blog-briefing-room/news/299436-oreilly-factor-segment-prompts-accusations-of-racism/
https://www.mediamatters.org/fox-nation/fox-news-jesse-watters-mocks-immigrant-taxi-drivers
https://www.mediamatters.org/bill-oreilly/gay-pride-parades-are-still-funny-oreilly-factor
https://www.mediamatters.org/jesse-watters/jesse-watters-foxs-new-8-pm-host-advertisers-should-beware
https://www.pbs.org/newshour/politics/secret-service-closes-white-house-cocaine-investigation-citing-lack-of-evidence
https://twitter.com/MorningsMaria/status/1679819896434094080
https://www.indiatoday.in/fact-check/story/us-president-biden-didnt-fall-asleep-meeting-israeli-president-clipped-video-goes-viral-2408956-2023-07-19
https://www.reuters.com/article/factcheck-biden-asleep-idUSL1N2Q00H8
https://www.usatoday.com/story/sports/columnist/mike-freeman/2023/07/19/charles-barkley-defends-trans-community-bud-light/70424386007/
https://comicyears.com/tv-shows/moses-ingram-harassed-on-instagram/
https://variety.com/2018/biz/news/star-wars-kelly-marie-tran-leaves-social-media-harassment-1202830892/
https://twitter.com/etotheipie/status/1682764410224357377
https://www.courant.com/2022/08/16/heres-how-a-16-million-federal-grant-will-finish-the-last-stretch-of-the-farmington-canal-heritage-trail/
https://fchtrail.org/16-million-awarded-for-fcht-projects/
https://www.transportation.gov/RAISEgrants
https://en.wikipedia.org/wiki/New_Britain,_Connecticut#demographics 
https://www.transportation.gov/policy-initiatives/build/awards-2009-2023
https://www.foxnews.com/politics/grassley-releases-unclassified-fbi-form-containing-details-of-biden-criminal-bribery-scheme-with-burisma-ceo
https://socxfbi.org/SFSA/SFSA/Featured-Articles/Message-from-the-FBI-on-the-FD-1023-Request-from-Congress.aspx
https://ycharts.com/companies/BUD/market_cap#:~:text=Anheuser%2DBusch%20InBev%20SA%2FNV%20Market%20Cap%3A%20116.76,B%20for%20July%2028%2C%202023
https://www.chp.edu/research/areas/genetics/projects/vockley/amish
https://www.npr.org/2020/09/29/917747123/you-literally-cant-believe-the-facts-tucker-carlson-tells-you-so-say-fox-s-lawye
https://law.justia.com/cases/federal/district-courts/new-york/nysdce/1:2019cv11161/527808/39/
https://twitter.com/DecodingFoxNews/status/1515474391429230601
https://people.com/politics/jesse-watters-addresses-viral-story-about-deflating-now-wife-tires/
https://www.inquirer.com/philly/entertainment/television/fox-news-jesse-watters-affair-emma-digiovine-20180312.html",,24,968,0
Witchy Women: A Sabrina the Teenage Witch Retrospective,2023-07-21T18:11:48Z,PT1H45M32S,507961,16000,N/A,José,UCeDKIj0G5XbultKOQnacu_w,"Sabrina the Teenage Witch was a staple of the late 90's, and the last major hit from the TGIF programming block. This look back at the series examines its origins and messages throughout its entire seven year run. From its early days on ABC to its final episodes on the WB.

This show resonating with me a lot when I was younger. Maybe it was just my crush on Melissa Joan Hart, but I think it also offered some unique laughs and fun magical quirks. Definitely a show of its era.

0:00 - Intro
04:49 - The Sabrina the Teenage Witch Movie
06:40 - Becoming a Sitcom
13:52 - Season 1
32:42 - Merch!
34:28 - Seasons 2 and 3
49:21 - More TV Movies
54:02 - Season 4
1:03:28 - Network Switch
1:05:59 - Seasons 5 and 6
1:19:53 - Spin-Off Attempts
1:21:53 - Season 7
1:36:08 - Legacy

Sabrina the Teenage Witch comic articles:
https://www.cbr.com/sabrina-archie-show/
https://www.cbr.com/sabrina-teenage-witch-aunt-hilda-debuted-first/
https://www.cbr.com/sabrina-teenage-witch-filmation-bewitched/

The Only Warrior Cats Podcast:
https://www.youtube.com/@TheOnlyWarriorCatsPodcast

Follow me on Twitter: https://twitter.com/JoseNotAJay 
Contribute to my Patreon: https://www.patreon.com/JoseOnYoutube 
Join this channel to get access to perks:
https://www.youtube.com/channel/UCeDKIj0G5XbultKOQnacu_w/join

Thumbnail concept by https://fluttr.me","Melissa Joan Hart,Sitcoms,Retrospective,Beth Broderick,Caroline Rhea,Salem",24,1686,0
How the Talentless Matt Walsh Became Popular,2023-06-04T16:10:24Z,PT39M25S,443744,18902,N/A,José,UCeDKIj0G5XbultKOQnacu_w,"Matt Walsh is one of those guys who has succeeded in spite of having little to no talent. He's walking proof that to make it in the rightwing media space, all you need to do is hate the right people in a pithy way once. And then coast on that for as long as possible.

Check out the channels of the trans creators highlighted in this video:
@AdequateEmily 
@Aranock 
@BellamyJay 
@KatyMontgomerie 
@JessieGender1 
@LilySimpson 

You can find Jessie's videos here:
https://www.youtube.com/watch?v=6jJty8Dcmuk
https://www.youtube.com/watch?v=75bbNdlX2pA

Follow me on Twitter: https://twitter.com/JoseNotAJay 
Contribute to my Patreon: https://www.patreon.com/JoseOnYoutube 
Join this channel to get access to perks:
https://www.youtube.com/channel/UCeDKIj0G5XbultKOQnacu_w/join

Thumbnail concept by https://fluttr.me

Sources
https://www.scientificamerican.com/article/heres-why-human-sex-is-not-binary/
https://www.cbsnews.com/sanfrancisco/news/banko-brown-fatal-shooting-san-francisco-walgreens-security-guard-no-charges/
https://innocenceproject.org/exonerations-data/
https://deathpenaltyinfo.org/database/innocence
https://www.mediamatters.org/matt-walsh/matt-walshs-sordid-history-radio-host-exposed
https://www.rollingstone.com/politics/politics-news/cpac-speaker-transgender-people-eradicated-1234690924/
https://www.washingtonpost.com/education/2023/05/05/trans-poll-gop-politics-laws/
https://www.thestranger.com/queer/2023/05/10/78984980/washington-post-polling-on-trans-issues-misses-the-most-important-question
https://americanindependent.com/poll-finds-voters-agree-anti-lgbtq-bills-political-theater/
https://www.socialnews.xyz/2023/05/08/how-voters-view-book-bans-and-trans-rights-issues-per-cbs-news-polling-video/
https://www.cbsnews.com/news/cbs-news-poll-views-book-bans-trans-rights-issues-gop-presidential-primary/
https://rollcall.com/2023/03/31/republicans-fixation-on-trans-issues-could-backfire-pollsters-say/
https://www.pewresearch.org/social-trends/2022/06/28/americans-complex-views-on-gender-identity-and-transgender-issues/
https://www.ettingermentum.news/p/the-modern-electoral-history-of-transphobia
https://translegislation.com/
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0279363
1702150311.1673627498#epidemic-numbers
https://www.themarshallproject.org/2023/03/25/asian-hate-crime-fbi-black-lgbtq
https://globalnews.ca/news/9393280/canada-lgbtq-hate-trans-west-block/
https://www.independent.co.uk/news/uk/crime/hate-crime-transgender-uk-figures-b2196759.html",,24,6442,0
Good Karma: A My Name is Earl Retrospective,2023-05-15T19:46:55Z,PT1H12M33S,555647,18658,N/A,José,UCeDKIj0G5XbultKOQnacu_w,"Follow me on Twitter: https://twitter.com/JoseNotAJay 
Contribute to my Patreon: https://www.patreon.com/JoseOnYoutube 
Join this channel to get access to perks:
https://www.youtube.com/channel/UCeDKIj0G5XbultKOQnacu_w/join

Thumbnail concept by https://fluttr.me","My Name is Earl,Jason Lee,Greg Garcia,Sitcoms",24,1518,0
