Title,Published At,Duration,View Count,Like Count,Dislike Count,Channel Title,Channel ID,Description,Tags,Category ID,Comment Count,Favorite Count
"'Women, Money & the Nation' Post Mortem Stream",2023-12-15T20:19:04Z,PT1H29M10S,9325,573,N/A,Philosophy Tube Live,UCNL8SCfixpPsU5shwmv9Kuw,"Talking about the last episode of the show, how it was made and what the feedback was!
Patreon: http://www.patreon.com/PhilosophyTube

Get Nebula: https://go.nebula.tv/philosophytube

Subscribe! http://tinyurl.com/pr99a46

There Are Many Different Kinds of Love, Brethren Arise, Candlepower, Cylinder Five, God Be With You Till We Meet Again, I Am Running Down the…, I Dont See the Branches I See the Leaves, I Want to Fall in Love on Snapchat, Out of the Skies Under the Earth, Take off and Shoot A Zero, The House Glows with Almost No Help, There Are Many Different Kinds of Love, all  by Chris Zabriskie are licensed under a Creative Commons Attribution license (https://creativecommons.org/licenses/by/4.0/)
Source: http://chriszabriskie.com/vendaface/
Artist: http://chriszabriskie.com/",,24,28,0
'Here's What Ethical AI Really Means' Post Mortem Stream,2023-11-03T22:12:40Z,PT1H45M53S,11607,488,N/A,Philosophy Tube Live,UCNL8SCfixpPsU5shwmv9Kuw,"Talking about the last episode of the show, how it was made and what the feedback was!
Patreon: http://www.patreon.com/PhilosophyTube

Merch: https://standard.tv/collections/philosophy-tube

Subscribe! http://tinyurl.com/pr99a46

There Are Many Different Kinds of Love, Brethren Arise, Candlepower, Cylinder Five, God Be With You Till We Meet Again, I Am Running Down the…, I Dont See the Branches I See the Leaves, I Want to Fall in Love on Snapchat, Out of the Skies Under the Earth, Take off and Shoot A Zero, The House Glows with Almost No Help, There Are Many Different Kinds of Love, all  by Chris Zabriskie are licensed under a Creative Commons Attribution license (https://creativecommons.org/licenses/by/4.0/)
Source: http://chriszabriskie.com/vendaface/
Artist: http://chriszabriskie.com/",,24,35,0
'How Police Make Up the Law' Post Mortem Stream,2023-08-18T20:55:59Z,PT1H30M52S,8636,498,N/A,Philosophy Tube Live,UCNL8SCfixpPsU5shwmv9Kuw,"Talking about the last episode of the show, how it was made and what the feedback was!
Patreon: http://www.patreon.com/PhilosophyTube

Merch: https://standard.tv/collections/philosophy-tube

Subscribe! http://tinyurl.com/pr99a46

There Are Many Different Kinds of Love, Brethren Arise, Candlepower, Cylinder Five, God Be With You Till We Meet Again, I Am Running Down the…, I Dont See the Branches I See the Leaves, I Want to Fall in Love on Snapchat, Out of the Skies Under the Earth, Take off and Shoot A Zero, The House Glows with Almost No Help, There Are Many Different Kinds of Love, all  by Chris Zabriskie are licensed under a Creative Commons Attribution license (https://creativecommons.org/licenses/by/4.0/)
Source: http://chriszabriskie.com/vendaface/
Artist: http://chriszabriskie.com/",,24,30,0
Philosophy Tube NEW SETUP Stream! ✨👑,2023-07-14T20:59:35Z,PT1H31M48S,9464,525,N/A,Philosophy Tube Live,UCNL8SCfixpPsU5shwmv9Kuw,"Streaming to test my new setup, to chat about what I've been up to and the next episode of the show!
Patreon: http://www.patreon.com/PhilosophyTube

Merch: https://standard.tv/collections/philosophy-tube

Subscribe! http://tinyurl.com/pr99a46

There Are Many Different Kinds of Love, Brethren Arise, Candlepower, Cylinder Five, God Be With You Till We Meet Again, I Am Running Down the…, I Dont See the Branches I See the Leaves, I Want to Fall in Love on Snapchat, Out of the Skies Under the Earth, Take off and Shoot A Zero, The House Glows with Almost No Help, There Are Many Different Kinds of Love, all  by Chris Zabriskie are licensed under a Creative Commons Attribution license (https://creativecommons.org/licenses/by/4.0/)
Source: http://chriszabriskie.com/vendaface/
Artist: http://chriszabriskie.com/",,24,15,0
Philosophy Tube 10 YEAR ANNIVERSARY STREAM! ✨👑,2023-06-03T21:34:42Z,PT1H44M41S,11202,719,N/A,Philosophy Tube Live,UCNL8SCfixpPsU5shwmv9Kuw,"Chatting about the last episode of the show and how it was made!
Patreon: http://www.patreon.com/PhilosophyTube

Merch: https://standard.tv/collections/philosophy-tube

Subscribe! http://tinyurl.com/pr99a46

There Are Many Different Kinds of Love, Brethren Arise, Candlepower, Cylinder Five, God Be With You Till We Meet Again, I Am Running Down the…, I Dont See the Branches I See the Leaves, I Want to Fall in Love on Snapchat, Out of the Skies Under the Earth, Take off and Shoot A Zero, The House Glows with Almost No Help, There Are Many Different Kinds of Love, all  by Chris Zabriskie are licensed under a Creative Commons Attribution license (https://creativecommons.org/licenses/by/4.0/)
Source: http://chriszabriskie.com/vendaface/
Artist: http://chriszabriskie.com/",,24,28,0
'Stoic Philosophy Explained' Post Mortem Stream,2023-05-21T23:07:39Z,PT2H1M47S,12059,607,N/A,Philosophy Tube Live,UCNL8SCfixpPsU5shwmv9Kuw,"Chatting about the last episode of the show and how it was made!
Patreon: http://www.patreon.com/PhilosophyTube

Merch: https://standard.tv/collections/philosophy-tube

Subscribe! http://tinyurl.com/pr99a46

There Are Many Different Kinds of Love, Brethren Arise, Candlepower, Cylinder Five, God Be With You Till We Meet Again, I Am Running Down the…, I Dont See the Branches I See the Leaves, I Want to Fall in Love on Snapchat, Out of the Skies Under the Earth, Take off and Shoot A Zero, The House Glows with Almost No Help, There Are Many Different Kinds of Love, all  by Chris Zabriskie are licensed under a Creative Commons Attribution license (https://creativecommons.org/licenses/by/4.0/)
Source: http://chriszabriskie.com/vendaface/
Artist: http://chriszabriskie.com/",,24,33,0
'The Rich Have Their Own Ethics' Post Mortem Stream,2023-03-10T21:34:29Z,PT1H13M1S,13979,641,N/A,Philosophy Tube Live,UCNL8SCfixpPsU5shwmv9Kuw,"Chatting about the last episode of the show and how it was made!
Patreon: http://www.patreon.com/PhilosophyTube

Merch: https://standard.tv/collections/philosophy-tube

Subscribe! http://tinyurl.com/pr99a46

There Are Many Different Kinds of Love, Brethren Arise, Candlepower, Cylinder Five, God Be With You Till We Meet Again, I Am Running Down the…, I Dont See the Branches I See the Leaves, I Want to Fall in Love on Snapchat, Out of the Skies Under the Earth, Take off and Shoot A Zero, The House Glows with Almost No Help, There Are Many Different Kinds of Love, all  by Chris Zabriskie are licensed under a Creative Commons Attribution license (https://creativecommons.org/licenses/by/4.0/)
Source: http://chriszabriskie.com/vendaface/
Artist: http://chriszabriskie.com/",,24,27,0
'Welcome To 2023' Stream!,2023-01-20T22:24:14Z,PT1H27M19S,14024,774,N/A,Philosophy Tube Live,UCNL8SCfixpPsU5shwmv9Kuw,"Looking back at the last year of Philosophy Tube and chatting about what's coming up in the new year!
Patreon: http://www.patreon.com/PhilosophyTube

Merch: https://standard.tv/collections/philosophy-tube

Subscribe! http://tinyurl.com/pr99a46

There Are Many Different Kinds of Love, Brethren Arise, Candlepower, Cylinder Five, God Be With You Till We Meet Again, I Am Running Down the…, I Dont See the Branches I See the Leaves, I Want to Fall in Love on Snapchat, Out of the Skies Under the Earth, Take off and Shoot A Zero, The House Glows with Almost No Help, There Are Many Different Kinds of Love, all  by Chris Zabriskie are licensed under a Creative Commons Attribution license (https://creativecommons.org/licenses/by/4.0/)
Source: http://chriszabriskie.com/vendaface/
Artist: http://chriszabriskie.com/",,24,54,0
'I Emailed My Doctor 133 Times' Post Mortem Stream,2022-11-19T21:34:33Z,PT1H24M52S,33131,1455,N/A,Philosophy Tube Live,UCNL8SCfixpPsU5shwmv9Kuw,"Chatting about the last episode of the show and how it was made!
Patreon: http://www.patreon.com/PhilosophyTube

Merch: https://standard.tv/collections/philosophy-tube

Subscribe! http://tinyurl.com/pr99a46

There Are Many Different Kinds of Love, Brethren Arise, Candlepower, Cylinder Five, God Be With You Till We Meet Again, I Am Running Down the…, I Dont See the Branches I See the Leaves, I Want to Fall in Love on Snapchat, Out of the Skies Under the Earth, Take off and Shoot A Zero, The House Glows with Almost No Help, There Are Many Different Kinds of Love, all  by Chris Zabriskie are licensed under a Creative Commons Attribution license (https://creativecommons.org/licenses/by/4.0/)
Source: http://chriszabriskie.com/vendaface/
Artist: http://chriszabriskie.com/",,24,95,0
'Is Art Meaningless?' Post Mortem Stream,2022-08-28T20:20:37Z,PT1H16M26S,11582,591,N/A,Philosophy Tube Live,UCNL8SCfixpPsU5shwmv9Kuw,"Chatting about the last episode of the show and how it was made!
Patreon: http://www.patreon.com/PhilosophyTube

Merch: https://standard.tv/collections/philosophy-tube

Subscribe! http://tinyurl.com/pr99a46

There Are Many Different Kinds of Love, Brethren Arise, Candlepower, Cylinder Five, God Be With You Till We Meet Again, I Am Running Down the…, I Dont See the Branches I See the Leaves, I Want to Fall in Love on Snapchat, Out of the Skies Under the Earth, Take off and Shoot A Zero, The House Glows with Almost No Help, There Are Many Different Kinds of Love, all  by Chris Zabriskie are licensed under a Creative Commons Attribution license (https://creativecommons.org/licenses/by/4.0/)
Source: http://chriszabriskie.com/vendaface/
Artist: http://chriszabriskie.com/",,24,39,0
