Title,Published At,Duration,View Count,Like Count,Dislike Count,Channel Title,Channel ID,Description,Tags,Category ID,Comment Count,Favorite Count
Palestine,2024-02-26T05:23:05Z,PT1H27M21S,454442,42201,N/A,Shaun,UCJ6o36XL0CpYb6U5dNBiXHQ,"Content warning for racism and violence.

My imagined version of Omelas has a fluctuating pronunciation, deal with it.

Links:
HEAL Palestine: https://www.healpalestine.org/
Palestine Children's Relief Fund: https://www.pcrf.net/
BDS: https://bdsmovement.net/

Special thanks to Ash!

Contact:
Twitter: https://twitter.com/shaun_vids
Patreon: https://www.patreon.com/shaunfromyoutube
Twitch: https://www.twitch.tv/shaun_vids

Background art by Skutch: 
https://twitter.com/Skutchdraws",,27,7769,0
Kellie-Jay & the Neo-Nazis,2023-07-11T18:47:27Z,PT1H56M58S,1516445,55896,N/A,Shaun,UCJ6o36XL0CpYb6U5dNBiXHQ,"Content warning: Transphobia, homophobia, racism, antisemitism, suicide, sexual abuse, child sexual abuse, violence, abortion 

Videos I mentioned:

The Witch Trials of J.K. Rowling | ContraPoints
https://www.youtube.com/watch?v=EmT0i0xG6zg&ab_channel=ContraPoints

Transphobia: The Far Right and Liberalism
https://www.youtube.com/watch?v=cgypiy9F5Bw&ab_channel=JohntheDuncan

What Is The Deal With The ""Trans Debate""? | Mia Mulder
https://www.youtube.com/watch?v=nWGodiQ6Vuo&ab_channel=MiaMulder

Special thanks to: Ash, Kat Lo, Georg Kraml, Ryan, & Alex!
Translations by: Sophie L

Contact:
Twitter: https://twitter.com/shaun_vids
Patreon: https://www.patreon.com/shaunfromyoutube
Twitch: https://www.twitch.tv/shaun_vids

Background art by Skutch: 
https://twitter.com/Skutchdraws",,27,16381,0
PragerU & Fatherhood,2023-03-05T16:43:46Z,PT17M33S,578236,33288,N/A,Shaun,UCJ6o36XL0CpYb6U5dNBiXHQ,"Just a lil fun one.

Contact:
Twitter: https://twitter.com/shaun_vids
Patreon: https://www.patreon.com/shaunfromyoutube
Twitch: https://www.twitch.tv/shaun_vids

Articles: 
https://www.theatlantic.com/magazine/archive/2010/07/are-fathers-necessary/308136/
https://www.nytimes.com/roomfordebate/2013/06/03/what-are-fathers-for/fathers-need-their-children
https://www.huffpost.com/entry/fathers-are-not-needed_b_5362429

Background art by Skutch: 
https://twitter.com/Skutchdraws",,27,2530,0
Andrew Tate: How to be a Real Man,2023-02-11T09:53:47Z,PT38M50S,1453911,72305,N/A,Shaun,UCJ6o36XL0CpYb6U5dNBiXHQ,"""divisive""

Contact:
Twitter: https://twitter.com/shaun_vids
Patreon: https://www.patreon.com/shaunfromyoutube
Twitch: https://www.twitch.tv/shaun_vids

hbomberguy video: https://www.youtube.com/watch?v=jbZo4x0NbbI

Content warning: sexual assault, misogyny 

Wonderful background art by Skutch: 
https://twitter.com/Skutchdraws",,27,10394,0
JK Rowling's New Friends,2022-10-14T10:09:50Z,PT28M51S,1518428,72664,N/A,Shaun,UCJ6o36XL0CpYb6U5dNBiXHQ,"This all sucks!

Content warning: sexual assault, violent threats, all the bigotry

Special thanks to very good streamer CaseyExplosion for providing useful feedback!

Casey: https://twitter.com/CaseyExplosion

Contact:
Twitter: https://twitter.com/shaun_vids
Patreon: https://www.patreon.com/shaunfromyoutube
Twitch: https://www.twitch.tv/shaun_vids

Wonderful background art by Skutch: 
https://twitter.com/Skutchdraws",,27,18110,0
How Wikipedia Got Ex Machina (2014) Wrong,2022-07-15T00:01:10Z,PT18M41S,618463,41441,N/A,Shaun,UCJ6o36XL0CpYb6U5dNBiXHQ,"i refuse to say 'gynoid'

content warning: sexual assault, violence, self-harm

Wonderful background art by Skutch: 
https://twitter.com/Skutchdraws

Contact:
Twitter: https://twitter.com/shaun_vids
Patreon: https://www.patreon.com/shaunfromyoutube
Twitch: https://www.twitch.tv/shaun_vids

ape escape",,27,4957,0
BBC Transphobia Part 4:  The ECU Response,2022-06-17T13:37:30Z,PT21M30S,365936,25623,N/A,Shaun,UCJ6o36XL0CpYb6U5dNBiXHQ,"Content warning for transphobia, descriptions of violence & sexual assault.

Links:
ECU Response: https://www.bbc.co.uk/contact/ecu/newsonlineoctober2021
Trans Activism UK Response: https://laurakbuzz.com/2022/05/31/6963/
Ofcom complaints form: https://ofcomforms.secure.force.com/formentry/SitesFormBBCOnlineMaterial
BBC Complaints page: https://www.bbc.co.uk/contact/complaints

Wonderful background art by Skutch: 
https://twitter.com/Skutchdraws

Contact:
Twitter: https://twitter.com/shaun_vids
Patreon: https://www.patreon.com/shaunfromyoutube
Twitch: https://www.twitch.tv/shaun_vids

Text of my new complaint:

The ECU finding titled “We’re being pressured into sex by some trans women, bbc.co.uk Finding by the Head of the Executive Complaints Unit (ECU)” contains a serious oversight.

As explained in the finding, the article originally titled “We’re being pressured into sex by some trans women” received complaints about incorrect pronouns being used when referring to trans women. The ECU addresses these complaints by referring to quotes from a contributor named “Jennie,” who speaks about threats from an unnamed third party referred to as “they.” The ECU conclude that Jennie “said nothing to indicate that the comments in question were made by a trans woman, and the Head of the ECU saw no basis for assuming that they had been. Consequently, he did not accept that this was an instance of misgendering.”

The finding furthermore states that the Head of the ECU “... found no example of misgendering or bioessentialist language in the author’s own words.”

My complaint is that another instance of misgendering that matches these exact criteria is found in the article, in the author’s own words, and has been overlooked by the ECU. This is the relevant passage from the article:

“Another reported a trans woman physically forcing her to have sex after they went on a date.

""[They] threatened to out me as a terf and risk my job if I refused to sleep with [them],"" she wrote. ""I was too young to argue and had been brainwashed by queer theory so [they were] a 'woman' even if every fibre of my being was screaming throughout so I agreed to go home with [them].”

As we can see, the article specifies that the person in question is in fact a trans woman, but then goes on to refer to her as ‘they’ several times in the next paragraph. Additionally, these are the “author’s own words,” as the original text being quoted used ‘he’ and ‘him.’ By the criteria the ECU finding uses to identify misgendering, (using ‘they’ to refer to someone known to be a trans woman) this passage counts as misgendering.",,27,2022,0
Harry Potter,2022-03-03T23:20:47Z,PT1H45M50S,5685386,174278,N/A,Shaun,UCJ6o36XL0CpYb6U5dNBiXHQ,"Wonderful background art by Skutch: 
https://twitter.com/Skutchdraws

JK Rowling's transphobia:
https://www.youtube.com/watch?v=7gDKbT_l2us&ab_channel=ContraPoints
https://www.youtube.com/watch?v=m-rh-N4eFDU&ab_channel=SarahZ

Contact:
Twitter: https://twitter.com/shaun_vids
Patreon: https://www.patreon.com/shaunfromyoutube
Twitch: https://www.twitch.tv/shaun_vids",,27,31557,0
BBC Transphobia Part 3,2022-01-20T22:06:16Z,PT9M30S,356393,27572,N/A,Shaun,UCJ6o36XL0CpYb6U5dNBiXHQ,"Content warning for transphobia and sexual assault, same as the previous videos.

Previous video #1: https://youtu.be/b4buJMMiwcg
Previous video #2: https://www.youtube.com/watch?v=qfjTG6SVjmQ
Complaints page: https://www.bbc.co.uk/contact/complaints


Contact:
Twitter: https://twitter.com/shaun_vids
Patreon: https://www.patreon.com/shaunfromyoutube
Twitch: https://www.twitch.tv/shaun_vids

Text of my protest complaint:

On Saturday 8th January, a protest was held in front of the BBC’s Broadcasting House in opposition to the BBC’s recent coverage of trans issues. The event was reported on by other news organisations, but received no coverage by the BBC.

The protest was in part a response to an article published on the BBC news website on 26 October 2021 titled 'We're being pressured into sex by some trans women,' which has been widely criticised as biased and transphobic.

In response to accusations of transphobia, the BBC has defended its coverage of trans issues by invoking impartiality, stating that it has a responsibility to make sure a wide range of voices are heard. This claim is dubious, as the BBC is proudly not impartial when it comes to other types of discrimination, but it would be stronger if the BBC did not ignore the protests held in response to its coverage of trans issues.

As things stand, the BBC is giving the impression that its claimed impartiality on this issue is nothing more than an excuse to publish attacks upon trans people. 

Thanks, 
Shaun",,27,2440,0
BBC Transphobia Part 2,2021-12-03T20:12:08Z,PT15M37S,455594,34037,N/A,Shaun,UCJ6o36XL0CpYb6U5dNBiXHQ,"Content warning for transphobia and sexual assault, same as the previous video.

Previous video: https://youtu.be/b4buJMMiwcg
Complaints page: https://www.bbc.co.uk/contact/complaints
Awful article: https://www.bbc.co.uk/news/uk-england-57853385

Contact:
Twitter: https://twitter.com/shaun_vids
Patreon: https://www.patreon.com/shaunfromyoutube
Twitch: https://www.twitch.tv/shaun_vids

Text of my escalated complaint:

This response does not answer my initial complaint. It responds as though my complaint was that Chelsea Poe was not included in the article, but this is not the case. My complaint was not that Chelsea Poe was not included. My complaint was that the author of the article both 1) interviewed Chelsea Poe and 2) claims in the article that no high-profile trans women who have spoken about sex and relationships wanted to speak to her. This is not true, because she spoke to Chelsea Poe.

Chelsea Poe is a trans woman. She has spoken about sex and relationships in various media outlets. She was interviewed for the article. This is all beyond dispute. 

Chelsea Poe is also indisputably high profile, by the definition of high profile used by the article. Firstly, she was high profile enough to be contacted and interviewed for the article in the first place. Secondly, the examples given in the article of trans women the author does consider high profile are people who have similar or smaller profiles than Chelsea Poe. It is impossible for those women to be high profile and Chelsea Poe to not be high profile. 

Chelsea Poe has over 20,000 social media followers and has been quoted in Slate, The Huffington Post, Glamour, Paper magazine, and other media outlets. The article includes quotes from people with much smaller profiles than this. 

I understand fully that the author can include or not include whoever she likes in her article and do not need this explained to me. What she cannot do is make false claims about who was interviewed. The article’s claim that no high profile trans women who have spoken about sex and relationships wanted to speak to the author is provably false, and that is what I require a response from the BBC about.

Text of my new complaint:

My complaint is about language used by a source in an article posted on the BBC news website on the 26th October titled 'We're being pressured into sex by some trans women'

The article includes as a source a survey released by the group Get The L Out, which it links to. This survey deliberately and repeatedly refuses to gender trans people correctly. It also approvingly includes a quote which says “All transsexuals rape women’s bodies,” & states in reference to this quote that this “analysis remains as relevant as ever.”

I would like to state that my complaint is solely about the transphobic language present in the survey which is being given a platform by the BBC. I have absolutely no complaints about the sample size, distribution method, or findings of the survey. I have zero issues whatsoever with the survey or the article in which it appears, with the singular exception of the transphobic language and attitudes being shared in the survey. The transphobic language and attitudes are the only thing about which I am complaining, and the only thing for which I require a response.

Does the BBC agree with the attitudes and language expressed in the survey linked in the article? Is it considered acceptable to misgender trans people by the BBC? Are quotes likening all trans people to rapists considered ‘relevant analysis’ by the BBC? Is it acceptable for the BBC to platform such language and attitudes?",,27,2122,0
